'ccattari	<i>verb</i><br><ol><li>to buy, to purchase</li></ol>
'ddrummintari	<i>verb</i><br><ol><li>to send to sleep</li><li>To go to sleep (person or limb); to fall asleep</li><li>To grow numb</li></ol>
'ddumari|'ddumirannu|'ddumirissi|'ddumau|'ddumamu|'ddumirìavu|'ddumatu|'ddumàvavu|'ddumàstivu|'ddumirìamu|'ddumirìa|'ddùmanu|'ddumàvanu|'ddùmunu|'ddumavu|'ddumaru|'ddumavi|'ddumassi|'ddumava|'ddumannu|'ddumirai|'ddumiriti|'ddumirìanu|'ddumirà|'ddumàrunu|'ddumiremu|'ddumi|'ddumàvunu|'ddumirò|'ddumu|'ddumò|'ddumireti|'ddumati|'dduma|'ddumai|'ddumasti|'ddumàssiru|'ddumirogghiu|'ddumàvamu|'ddumàssivu|'ddumammu|'ddumàssimu	<i>verb</i><br><ol><li>Aphetic form of addumari</li></ol>
'ffruntari	<i>verb</i><br><ol><li>to shame</li><li>to embarrass</li><li>to be ashamed, to feel ashamed</li><li>to feel embarrassed, to be shy</li></ol>
'mbari|’mbari	<i>noun</i><br><ol><li>male baptismal sponsor of one's child, co-father, godfather</li><li>male witness at one's wedding, best man</li><li>close male friend, (slang) guy</li></ol>
'n	<i>prep</i><br><ol><li>in</li></ol>
'nduja	<i>noun</i><br><ol><li>(originally in the Southern Calabrian dialect) nduja (spicy spreadable sausage from Calabria)</li></ol>
'rruspigghiari	<i>verb</i><br><ol><li>to awaken</li><li>to stimulate</li></ol>
Afganistàn	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Albanìa	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alicudi	<i>name</i><br><ol><li>Alicudi (a small island of the Aeolian Islands, in the Tyrrhenian Sea in Sicily, Italy)</li></ol>
Arbanìa	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Argintina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Aristòtili	<i>name</i><br><ol><li>Aristotle</li></ol>
Ateni	<i>name</i><br><ol><li>Athens (the capital of Greece)</li></ol>
Australia	<i>name</i><br><ol><li>Australia (a country in Oceania)</li><li>Australia (a continent)</li></ol>
Azzirbaiggian	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Belgiu	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belizi	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Berna	<i>name</i><br><ol><li>Bern (the capital of Switzerland)</li></ol>
Bielorussia|Bielurussia	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Birlinu	<i>name</i><br><ol><li>Berlin (the capital of Germany)</li></ol>
Bosnia-Erzegovina|Bosnia-Erzegòvina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Botsuana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Brasili	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bulgarìa	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Burchina Fasu	<i>name</i><br><ol><li>Burkina Faso (a country in West Africa)</li></ol>
Buscema	<i>name</i><br><ol><li>Buscemi (a small town on the Hyblaean Mountains, in Sicily, Italy)</li></ol>
Cairu	<i>name</i><br><ol><li>Cairo (the capital and largest city of Egypt)</li></ol>
Cala Muschi|cala muschi	<i>noun</i><br><ol><li>(hydronym) A cove in Sicily, Italy, specifically placed inside the nature reserve of Vendicari.</li></ol>
Camboggia	<i>name</i><br><ol><li>Cambodia</li></ol>
Canadà	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Castigghia	<i>name</i><br><ol><li>(geography, historical) Castile (a region of Spain)</li></ol>
Catania	<i>name</i><br><ol><li>Catania (a metropolitan city of Sicily, Italy)</li><li>Catania (the capital city of the Metropolitan City of Catania, Sicily, Italy)</li></ol>
Ciad	<i>name</i><br><ol><li>Chad</li></ol>
Cili	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Cipru	<i>name</i><br><ol><li>Cyprus (a country in Europe)</li></ol>
Cità dû Vaticanu	<i>name</i><br><ol><li>Vatican City (a city-state in Southern Europe, an enclave within the city of Rome, Italy)</li></ol>
Concu	<i>name</i><br><ol><li>Congo</li></ol>
Coppa dû Munnu	<i>name</i><br><ol><li>the World Cup</li></ol>
Cosa Nostra	<i>name</i><br><ol><li>Alternative letter-case form of Cosa nostra</li></ol>
Craxi	<i>name</i><br><ol><li>(Mispelled variant) Alternative form of Crascì</li></ol>
Croazzia	<i>name</i><br><ol><li>Croatia (a country in Europe)</li></ol>
Cubba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Càgliari	<i>name</i><br><ol><li>Cagliari (a city in Sardinia, Italy)</li></ol>
Cìnisi	<i>name</i><br><ol><li>A town and comune of the Metropolitan City of Palermo, Sicily, Italy</li></ol>
Còmisu	<i>noun</i><br><ol><li>(Variant without the definite article) Alternative form of U Còmisu</li></ol>
Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Deu	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Diu	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Dublinu	<i>name</i><br><ol><li>Dublin (the capital of Ireland)</li></ol>
Dumìnicu	<i>name</i><br><ol><li>a Sicilian surname originating as a patronymic, a variant of Di Dumìnicu</li></ol>
Eggittu	<i>name</i><br><ol><li>Egypt (a country in Africa)</li></ol>
Erzegovina	<i>name</i><br><ol><li>Herzegovina</li></ol>
Erzegòvina	<i>name</i><br><ol><li>Herzegovina</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Europa	<i>name</i><br><ol><li>(continent) Europe (the portion of Eurasia west of the Urals, traditionally considered a continent in its own right, located north of Africa, west of Asia and east of the Atlantic Ocean)</li><li>(astronomy, natural satellite) Europa</li><li>(astronomy, asteroid) 62 Europa</li><li>(mythology, Greek mythology) Europa (consort of Zeus, daughter of Agenor)</li><li>(mythology, Greek mythology) Europa (daughter of Oceanus and Tethys)</li></ol>
Figgi	<i>name</i><br><ol><li>Fiji (a country in Oceania)</li></ol>
Filicudi	<i>name</i><br><ol><li>Filicudi (a small island of the Aeolian Islands, in the Tyrrhenian Sea in Sicily, Italy)</li></ol>
Francia	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Gesù Cristu	<i>name</i><br><ol><li>Jesus Christ</li></ol>
Giappuni	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Gibbilterra	<i>name</i><br><ol><li>Gibraltar (a peninsula and overseas territory of the United Kingdom, at the southern end of Iberia)</li></ol>
Giordania	<i>name</i><br><ol><li>Jordan</li></ol>
Girgenti	<i>noun</i><br><ol><li>Agrigento (a province and city in Sicily, Italy)</li></ol>
Girmania	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Giurdania	<i>name</i><br><ol><li>Jordan (a country in Asia)</li></ol>
Grecia	<i>name</i><br><ol><li>(geography) Greece</li></ol>
Groenlannia	<i>name</i><br><ol><li>Greenland</li></ol>
Guinia	<i>name</i><br><ol><li>Guinea (a country in Africa)</li></ol>
