A	<i>character</i><br><ol><li>The first letter of the Silesian alphabet, called a and written in the Latin script.</li></ol>
Albańijo	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Andora	<i>name</i><br><ol><li>Andorra (a country in Europe)</li><li>Andorra la Vella (the capital city of Andorra)</li></ol>
Armyńijo	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Australijo	<i>name</i><br><ol><li>Australia</li></ol>
Austrijo	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azerbejdżůn	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Belgijo	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Biblijo	<i>name</i><br><ol><li>(Christianity) Bible (Christian holy book)</li><li>(Judaism) Bible (Jewish holy book)</li></ol>
Bjołoruś	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bośńa a Hercegowina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Bułgaryjo	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Chorwacyjo	<i>name</i><br><ol><li>Croatia</li></ol>
Cypr	<i>name</i><br><ol><li>Cyprus</li></ol>
Czechy	<i>name</i><br><ol><li>Bohemia</li></ol>
Czesko Republika	<i>name</i><br><ol><li>Czech Republic</li></ol>
Czŏrnŏ Gōra	<i>name</i><br><ol><li>Montenegro (a country in Europe)</li></ol>
Dańijo	<i>name</i><br><ol><li>Denmark</li></ol>
Estůńijo	<i>name</i><br><ol><li>Estonia</li></ol>
Finlandyjo	<i>name</i><br><ol><li>Finland</li></ol>
Francuz	<i>name</i><br><ol><li>Frenchman</li></ol>
Francuzka	<i>name</i><br><ol><li>Frenchwoman</li></ol>
Francyjo	<i>name</i><br><ol><li>France</li></ol>
Gabōn	<i>name</i><br><ol><li>Gabon (a country in Africa)</li></ol>
Gambijŏ	<i>name</i><br><ol><li>Gambia (a country in Africa)</li></ol>
Grecyjo	<i>name</i><br><ol><li>Greece</li></ol>
Gruzyjo	<i>name</i><br><ol><li>Georgia</li></ol>
Indōnezyjŏ	<i>name</i><br><ol><li>Indonesia (a country in Asia)</li></ol>
Irlandyjo	<i>name</i><br><ol><li>Ireland (an island in Europe)</li><li>Ireland (a country in Europe)</li></ol>
Islandyjo	<i>name</i><br><ol><li>Iceland (an island in Europe)</li><li>Iceland (a country in Europe)</li></ol>
Italijo	<i>name</i><br><ol><li>Italy</li></ol>
Kamerōn	<i>name</i><br><ol><li>Cameroon (a country in Africa)</li></ol>
Katalōnijŏ	<i>name</i><br><ol><li>Catalonia (an autonomous community of Spain)</li></ol>
Kolōmbijŏ	<i>name</i><br><ol><li>Colombia (a country in South America)</li></ol>
Kynijŏ	<i>name</i><br><ol><li>Kenya (a country in Africa)</li></ol>
Libijŏ	<i>name</i><br><ol><li>Libya (a country in Africa)</li></ol>
Liechtenstein	<i>name</i><br><ol><li>Liechtenstein</li></ol>
Litwa	<i>name</i><br><ol><li>Lithuania</li></ol>
Luksymburg	<i>name</i><br><ol><li>Luxembourg (country)</li><li>Luxembourg (city)</li></ol>
Madźary	<i>name</i><br><ol><li>Hungary</li></ol>
Mjymcy	<i>name</i><br><ol><li>Germany</li></ol>
Mjymjec	<i>name</i><br><ol><li>German (person)</li></ol>
Mōngolijŏ	<i>name</i><br><ol><li>Mongolia (a country in Asia)</li></ol>
Ojropa	<i>name</i><br><ol><li>Europe</li></ol>
Polsko	<i>name</i><br><ol><li>Poland (a country in Central Europe; capital: Warsaw)</li></ol>
Połedniowŏ Koryjŏ	<i>name</i><br><ol><li>South Korea (a country in Asia)</li></ol>
Pōłnocnŏ Koryjŏ	<i>name</i><br><ol><li>North Korea (a country in Asia)</li></ol>
Rusyjŏ	<i>name</i><br><ol><li>Russia</li></ol>
Saudyjskŏ Arabijŏ	<i>name</i><br><ol><li>Saudi Arabia (a country in Asia)</li></ol>
Syrbijŏ	<i>name</i><br><ol><li>Serbia</li></ol>
Syryjŏ	<i>name</i><br><ol><li>Syria (a country in Asia)</li></ol>
Szpanijŏ	<i>name</i><br><ol><li>Spain</li></ol>
Ukrajina	<i>name</i><br><ol><li>Ukraine (a country in Eastern Europe; capital and largest city: Kyiv)</li></ol>
Wikipedyjo	<i>name</i><br><ol><li>Wikipedia</li></ol>
Wilijŏ	<i>noun</i><br><ol><li>Christmas Eve (the evening before Christmas Day)</li></ol>
Yngland	<i>name</i><br><ol><li>England</li></ol>
Zambijŏ	<i>name</i><br><ol><li>Zambia (a country in Africa)</li></ol>
afa	<i>noun</i><br><ol><li>ape, monkey</li><li>(colloquial) silly face</li><li>(vulgar) cunt, pussy, snatch (female genitalia)</li></ol>
ajchla	<i>noun</i><br><ol><li>acorn</li></ol>
ajmer	<i>noun</i><br><ol><li>bucket</li></ol>
ajnfachowy	<i>adj</i><br><ol><li>simple</li></ol>
