A|a	<i>character</i><br><ol><li>The first letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
Aanarjäuʹrr	<i>name</i><br><ol><li>Inari (lake)</li></ol>
B|b	<i>character</i><br><ol><li>The third letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
C|c	<i>character</i><br><ol><li>The fourth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
D|d	<i>character</i><br><ol><li>The eighth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
E|e	<i>character</i><br><ol><li>The tenth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
F|f	<i>character</i><br><ol><li>The eleventh letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
G|g	<i>character</i><br><ol><li>The twelfth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
H|h	<i>character</i><br><ol><li>The fifteenth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
Heʹlssen|Heʹlssnest|Heʹlssentää|Heʹlssna|Term?|Heʹlssentaa	<i>name</i><br><ol><li>Helsinki</li></ol>
I|i	<i>character</i><br><ol><li>The sixteenth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
J|j	<i>character</i><br><ol><li>The seventeenth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
K|k	<i>character</i><br><ol><li>The eighteenth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
L|l	<i>character</i><br><ol><li>The twentieth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
Lääʹddjânnam	<i>name</i><br><ol><li>Finland</li></ol>
M|m	<i>character</i><br><ol><li>The twenty-first letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
N|n	<i>character</i><br><ol><li>The twenty-second letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
Njauddâm	<i>name</i><br><ol><li>Neiden</li></ol>
O|o	<i>character</i><br><ol><li>The twenty-fourth letter of the Skolt Sami alphabet, written in the Latin script.</li></ol>
