A|Ā-ji|a-ju|a|a-jema|Ā-jem|a-jem|Ā-jih|Ā|Ā-ja|Ā-je|Ā-ju|a-jev|a-jih|Ā-jev|a-je|a-ja|Ā-jema|a-ji	<i>character</i><br><ol><li>The first letter of the Slovene alphabet, written in the Latin script.</li><li>The first letter of the Resian alphabet, written in the Latin script.</li><li>The first letter of the Natisone Valley dialect alphabet, written in the Latin script.</li></ol><br><i>noun</i><br><ol><li>The name of the Latin script letter A / a.</li></ol>
Afganistan|Afgánistana|Afgánistanom|Afgánistanu|Afgánistan|Afgȃnistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika|Áfriko|Áfrika|Áfriki|Ȃfrika|Áfrike	<i>name</i><br><ol><li>Africa</li></ol>
Ahil|Ahíl|Ahílom|Ahílu|Ahȋl|Ahíla	<i>name</i><br><ol><li>Achilles (greek mythical hero)</li></ol>
Albanec|Albáncev|Albáncema|Albáncih|Albánci|Albȃnka|Albáncem|Albánca|Albȃnəc|Albánce|Albánec|Albáncu	<i>noun</i><br><ol><li>Albanian (male person)</li></ol>
Albanija|Albánija|Albániji|Albánije|Albánijo	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Albanka|Albȃnec|Albánkami|Albȃnka|Albánka|Albánkama|Albánk|Albánkam|Albánkah|Albánki|Albánke|Albánko	<i>noun</i><br><ol><li>Albanian (female)</li></ol>
Aleksander Veliki|Aleksándər Vẹ̑liki	<i>name</i><br><ol><li>Alexander the Great</li></ol>
Aljaska|Aljáske|Aljásko|Aljáski|Aljȃska|Aljáska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Alžirija|Alžírijo|Alžȋrija|Alžírija|Alžíriji|Alžírije	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Aman|Ȃman	<i>name</i><br><ol><li>Amman</li></ol>
Amerika|Amêriko|Amêrike|Amêriki|Amȇrika|Amêrika	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Andaluzija|Andalúzijo|Andalúzija|Andalúziji|Andalúzije	<i>name</i><br><ol><li>Andalusia (an autonomous community of Spain)</li></ol>
Andora|Andóra|Andóre|Andóro|Andóri|Andọ̑ra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Anglež|Angléžih|Angléžinja|Angléžu|Angléž|Angléže|Angléžema|Angléža|Anglẹ̑ž|Angléžem|Angléži|Angléžev	<i>noun</i><br><ol><li>Englishman (male person)</li></ol>
Angležinja|Angléžinjo|Angléžinjama|Anglẹ̑žinja|Angléžinja|Angléžinje|Angléž|Angléžinjami|Angléžinjah|Angléžinji|Angléžinjam|Angléžinj	<i>noun</i><br><ol><li>Englishwoman (female person)</li></ol>
Anglija|Ánglija|Ánglijo|Ȃnglija|Ángliji|Ánglije	<i>name</i><br><ol><li>England</li></ol>
Antarktika|Antárktiki|Antárktiko|Antárktika|Antárktike	<i>name</i><br><ol><li>Antarctica</li></ol>
Antigva in Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Aristotel|Aristótela|Aristótel|Aristótelu|Aristọ̑tel|Aristótelom	<i>name</i><br><ol><li>Aristotle</li></ol>
Armenija|Arméniji|Armẹ́nija|Arménija|Arménije|Arménijo	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Asklepij|Asklépijem|Asklépija|Asklẹ́pij|Asklépij|Asklépiju	<i>name</i><br><ol><li>(Greek mythology) Asclepius</li></ol>
Atena|Aténi|Aténa|Aténe|Aténo|Atẹ̑na	<i>name</i><br><ol><li>(Greek mythology) Athena</li></ol>
Atene|Atẹ̑ne|Aténami|Aténe|Atén|Aténah|Aténam	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Avstralija|Avstráliji|Avstrálija|Avstrálije|Avstrálijo	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Avstrija|Ávstriji|Ávstrijo|Ávstrije|Ávstrija|Ȃvstrija	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Avstrijec|Avstríjci|Avstríjcev|Avstríjcem|Avstríjec|Avstrȋjəc|Avstríjcema|Avstríjcih|Avstríjcu|Avstrȋjka|Avstríjce|Avstríjca	<i>noun</i><br><ol><li>Austrian (male person)</li></ol>
Avstrijka|Avstríjke|Avstríjk|Avstríjkama|Avstríjkam|Avstríjkami|Avstrȋjec|Avstríjko|Avstríjkah|Avstríjka|Avstrȋjka|Avstríjki	<i>noun</i><br><ol><li>Austrian (female person)</li></ol>
Avstro-Ogrska|Ȃvstro-Ọ̑grska|Ávstro-Ógrski|Ávstro-Ógrsko|Ávstro-Ógrska|Ávstro-Ógrske	<i>name</i><br><ol><li>Austria-Hungary</li></ol>
