'|' upper case	<i>character</i><br><ol><li>The first letter of the Somali alphabet, called alef and written in the Latin script.</li></ol>
A|a	<i>character</i><br><ol><li>The twenty-third letter of the Somali alphabet, called a and written in the Latin script.</li></ol>
B|B upper case|b	<i>character</i><br><ol><li>The second letter of the Somali alphabet, called ba and written in the Latin script.</li></ol>
Bada Cas	<i>name</i><br><ol><li>Red Sea</li></ol>
Bookh	<i>name</i><br><ol><li>An administrative division in the Doollo Zone of Ogadenia which is settled by reer darawiish.</li></ol>
C|c|C upper case|c lower case	<i>character</i><br><ol><li>The twelfth letter of the Somali alphabet, called cayn and written in the Latin script.</li></ol>
Cayn	<i>name</i><br><ol><li>A reer darawiish region between Nugaal and Haud that was historically part of the Dhulbahante garaadship and then its successor state Darwiish.</li></ol>
D|D upper case|d	<i>character</i><br><ol><li>The seventh letter of the Somali alphabet, called deel and written in the Latin script.</li></ol>
DH|Dh|dh|DH upper case	<i>character</i><br><ol><li>The eleventh letter of the Somali alphabet, called dha and written in the Latin script.</li></ol>
Dar al-wiish	<i>name</i><br><ol><li>Synonym of Darwiish</li></ol>
Daraawiishnimo	<i>noun</i><br><ol><li>Siciid Harti solidarity.</li></ol>
Darawiish	<i>name</i><br><ol><li>(history) The Dhulbahante anti-colonial state established by the xarunta (haroun) that existed between 1895 C.E. and 1920 C.E. corresponding with modern-day Khaatumo; the successor state to the treatyless Dhulbahante garadship led by Sayyidka founded in Dareema Caddo.</li></ol>
Darwiish	<i>name</i><br><ol><li>A kingdom from 1896 to 1921 and successor state to the Dhulbahante garaadship centered in the Nugaal valley.</li></ol>
Darwiishi	<i>noun</i><br><ol><li>An affiliate or inhabitant of Darwiish or Darwiishia.</li><li>An epithet for the Dhulbahante due to them historically being the primary backbone of the Darwiish.</li></ol>
Darwiishia	<i>name</i><br><ol><li>A historical region centered in Cayn, Sool and Haylaan in the former territories of Darwiish or its predecessor states of Dhulbahante garaadship and Warsangeli sultanate.</li></ol>
Darwiishian	<i>noun</i><br><ol><li>Synonym of Darwiishi</li></ol>
Darwiishland	<i>name</i><br><ol><li>A historical region centered in Cayn, Sool and Haylaan in the former territories of the Dhulbahante garaadship and Warsangeli sultanate and the successor state of Darwiish.</li></ol>
Darwiishnimo	<i>noun</i><br><ol><li>Siciid Harti solidarity.</li></ol>
E|E upper case|e	<i>character</i><br><ol><li>The twenty-fourth letter of the Somali alphabet, called e and written in the Latin script.</li></ol>
F|F upper case|f	<i>character</i><br><ol><li>The fourteenth letter of the Somali alphabet, called fa and written in the Latin script.</li></ol>
G|g|G upper case	<i>character</i><br><ol><li>The thirteenth letter of the Somali alphabet, called ga and written in the Latin script.</li></ol>
Gaarhaye	<i>noun</i><br><ol><li>A bodyguard of the khusuusi and Sayyid</li></ol>
