Labobedi	<i>noun</i><br><ol><li>Tuesday</li></ol>
Labohlano	<i>noun</i><br><ol><li>Friday</li></ol>
Labone	<i>noun</i><br><ol><li>Thursday</li></ol>
Laboraro	<i>noun</i><br><ol><li>Wednesday</li></ol>
Lamorena	<i>noun</i><br><ol><li>Sunday</li></ol>
Leburu|Maburu	<i>noun</i><br><ol><li>Afrikaner</li></ol>
Mantaha	<i>noun</i><br><ol><li>Monday</li></ol>
Mofora|Bafora	<i>noun</i><br><ol><li>French person</li></ol>
Moqebelo	<i>noun</i><br><ol><li>Saturday</li></ol>
Morwa|Barwa	<i>noun</i><br><ol><li>a Bushman, San, Basarwa</li></ol>
Mosotho|Basotho	<i>noun</i><br><ol><li>Sotho person</li></ol>
Sefora	<i>noun</i><br><ol><li>French language</li></ol>
Sontaha	<i>noun</i><br><ol><li>Sunday</li></ol>
aha	<i>verb</i><br><ol><li>to build</li></ol>
ahlola	<i>verb</i><br><ol><li>to judge</li></ol>
alosa	<i>verb</i><br><ol><li>to herd</li></ol>
amoha	<i>verb</i><br><ol><li>to take away from</li></ol>
amohela	<i>verb</i><br><ol><li>to receive</li><li>to welcome</li></ol>
apara	<i>verb</i><br><ol><li>to wear (clothing)</li></ol>
araba	<i>verb</i><br><ol><li>to answer</li></ol>
arola	<i>verb</i><br><ol><li>to divide</li></ol>
ata	<i>verb</i><br><ol><li>to increase, to multiply</li></ol>
atamela	<i>verb</i><br><ol><li>to come near, to approach</li></ol>
bala	<i>verb</i><br><ol><li>to read</li></ol>
baleha	<i>verb</i><br><ol><li>to run away, to flee</li></ol>
bapala	<i>verb</i><br><ol><li>to play</li></ol>
bata	<i>verb</i><br><ol><li>to be cold</li></ol>
batho	<i>noun</i><br><ol><li>people</li></ol>
batla	<i>verb</i><br><ol><li>to want</li><li>to search for, to look for</li></ol>
batlisisa	<i>verb</i><br><ol><li>to investigate</li></ol>
batsi	<i>conj</i><br><ol><li>wide</li></ol>
be	<i>adj</i><br><ol><li>bad</li></ol>
bela	<i>verb</i><br><ol><li>to boil (something)</li></ol>
besa	<i>verb</i><br><ol><li>to roast</li></ol>
bina	<i>verb</i><br><ol><li>to sing</li></ol>
bipa	<i>verb</i><br><ol><li>to swell</li></ol>
bitsa	<i>verb</i><br><ol><li>to call</li></ol>
bjarana	<i>verb</i><br><ol><li>to break apart</li></ol>
bobe	<i>noun</i><br><ol><li>ugliness</li></ol>
bodutu	<i>noun</i><br><ol><li>loneliness</li></ol>
bohale	<i>noun</i><br><ol><li>anger</li></ol>
bohlale	<i>noun</i><br><ol><li>intelligence</li></ol>
bohloko	<i>noun</i><br><ol><li>pain</li></ol>
bohobe	<i>noun</i><br><ol><li>bread</li></ol>
boikarabelo	<i>noun</i><br><ol><li>responsibility</li></ol>
bolaya	<i>verb</i><br><ol><li>to kill</li></ol>
bolela	<i>verb</i><br><ol><li>to say something</li></ol>
bona	<i>verb</i><br><ol><li>to see</li></ol>
bongata	<i>noun</i><br><ol><li>quantity</li></ol>
bontsha	<i>verb</i><br><ol><li>to show</li></ol>
bopa	<i>verb</i><br><ol><li>to mould</li></ol>
boroko	<i>noun</i><br><ol><li>sleep</li></ol>
borwa	<i>noun</i><br><ol><li>south</li></ol>
bosiu	<i>noun</i><br><ol><li>night</li></ol>
bothata	<i>noun</i><br><ol><li>difficulty</li></ol>
botho	<i>noun</i><br><ol><li>humanity, mankind</li></ol>
botle	<i>noun</i><br><ol><li>beauty</li></ol>
botsa	<i>verb</i><br><ol><li>to ask</li></ol>
botswa	<i>verb</i><br><ol><li>to be lazy</li></ol>
boya	<i>verb</i><br><ol><li>to return</li></ol>
bua	<i>verb</i><br><ol><li>to speak</li></ol>
buka|dibuka	<i>noun</i><br><ol><li>book</li></ol>
bukantswe|dibukantswe	<i>noun</i><br><ol><li>dictionary</li></ol>
bula	<i>verb</i><br><ol><li>to open</li></ol>
busa	<i>verb</i><br><ol><li>to govern</li></ol>
dihlong	<i>noun</i><br><ol><li>shame</li></ol>
dijo	<i>noun</i><br><ol><li>food</li></ol>
dikahare	<i>noun</i><br><ol><li>guts</li></ol>
dipompong	<i>noun</i><br><ol><li>sweets</li></ol>
dula	<i>verb</i><br><ol><li>to sit</li></ol>
e-e	<i>intj</i><br><ol><li>no</li></ol>
ela	<i>verb</i><br><ol><li>to flow</li></ol>
elellwa	<i>verb</i><br><ol><li>to realise</li></ol>
ella	<i>verb</i><br><ol><li>to move towards</li></ol>
ema	<i>verb</i><br><ol><li>to stand</li></ol>
epa	<i>verb</i><br><ol><li>to dig</li></ol>
eta	<i>verb</i><br><ol><li>to walk</li><li>to go</li></ol>
etsa	<i>verb</i><br><ol><li>to do, to make</li></ol>
etsolla	<i>verb</i><br><ol><li>to undo</li></ol>
fa	<i>verb</i><br><ol><li>to give</li></ol>
falla	<i>verb</i><br><ol><li>to emigrate</li></ol>
fatshe	<i>noun</i><br><ol><li>down</li></ol>
fefola	<i>verb</i><br><ol><li>to blow</li></ol>
fela	<i>adv</i><br><ol><li>only</li></ol><br><i>conj</i><br><ol><li>but</li></ol>
fepa	<i>verb</i><br><ol><li>to feed</li></ol>
festere|difestere	<i>noun</i><br><ol><li>window</li></ol>
fetola	<i>verb</i><br><ol><li>to change</li><li>to translate</li></ol>
fihla	<i>verb</i><br><ol><li>to arrive</li></ol>
fofa	<i>verb</i><br><ol><li>to fly</li></ol>
fofonela	<i>verb</i><br><ol><li>to smell</li></ol>
fubedu	<i>adj</i><br><ol><li>red</li></ol>
fumana	<i>verb</i><br><ol><li>to find</li></ol>
fupara	<i>verb</i><br><ol><li>to clench the hand</li></ol>
ha	<i>conj</i><br><ol><li>if</li><li>when</li></ol>
hahola	<i>verb</i><br><ol><li>to tear</li></ol>
