ء ك د	<i>root</i><br><ol><li>Related to confirmation</li></ol>
ء ك ل	<i>root</i><br><ol><li>Related to food and eating</li></ol>
آب|ʔāb	<i>name</i><br><ol><li>(formal) August</li></ol>
آخر|ʔāḵer	<i>noun</i><br><ol><li>end</li></ol><br><i>adj</i><br><ol><li>last, final</li><li>last, most recent</li></ol>
آخرة|ʔāḵre	<i>noun</i><br><ol><li>the hereafter</li></ol>
آذار|آدار|ʔādār|ʔāḏār	<i>name</i><br><ol><li>(formal) March</li></ol>
آسف|ʔāsef|آسفة	<i>adj</i><br><ol><li>sorry</li></ol>
آسيا|ʔāsya	<i>name</i><br><ol><li>Asia (continent)</li></ol>
آلة|آلات|ʔāle	<i>noun</i><br><ol><li>machine, device</li><li>apparatus, instrument</li></ol>
آلة تصوير|آلات تصوير|ʔālet taṣwīr	<i>noun</i><br><ol><li>camera</li></ol>
آمن|منآمن|ʔāman|يآمنو|تآمني|آمنتو|آمني|يآمن|بتآمنو|آمنو|بآمن|بآمنو|نآمن|بتآمني|اآمن|آمنتي|بتآمن|تآمن|تآمنو|آمننا|آمنت	<i>verb</i><br><ol><li>to believe, to have faith</li></ol>
آنس|آنستو|منآنس|تآنسو|يآنسو|آنسنا|بآنس|نآنس|آنست|بتآنس|آنسي|بآنسو|آنسو|آنستي|ʔānas|بتآنسي|بتآنسو|اآنس|تآنسي|يآنس|تآنس	<i>verb</i><br><ol><li>to keep company</li></ol>
آه|ʔā	<i>particle</i><br><ol><li>yes</li></ol>
أباجور|ʔabājōr	<i>noun</i><br><ol><li>shutters, blinds (of a window)</li></ol>
أبدا|ʔabadan	<i>adv</i><br><ol><li>never</li><li>not at all</li></ol>
أبرز|أبرزت|أبرزنا|ابرزي|نبرز|ببرزو|ابرز|بتبرزي|يبرزو|تبرزو|ببرز|أبرزو|منبرز|بتبرز|يبرز|تبرز|ابرزتي|بتبرزو|تبرزي|أبرزتو|ʔabraz|ابرزو	<i>verb</i><br><ol><li>to emphasize, to highlight, to accentuate</li></ol>
أبسط|بتبسطي|ببسطو|أبسطو|تبسطو|ابسطتي|منبسط|ابسطو|تبسط|بتبسط|بتبسطو|نبسط|أبسطت|يبسطو|ابسط|ابسطي|تبسطي|أبسطنا|يبسط|ببسط|ʔabsaṭ|أبسطتو	<i>verb</i><br><ol><li>(transitive) to gladden</li></ol>
أبصر|ʔabṣar	<i>intj</i><br><ol><li>I don't know</li></ol>
أبطل|ابطل|ابطلو|ببطلو|بتبطل|ابطلتي|أبطلنا|بتبطلي|تبطلي|أبطلو|أبطلت|أبطلتو|ببطل|منبطل|تبطلو|نبطل|بتبطلو|ʔabṭal|ابطلي|يبطلو|تبطل|يبطل	<i>verb</i><br><ol><li>to neutralize, to dismantle, to disarm</li></ol>
أبعد|نبعد|أبعدت|يبعد|ببعدو|تبعد|يبعدو|تبعدي|ابعدي|ابعدتي|ابعدو|مبعد|منبعد|ابعد|تبعدو|ʔabʕad|أبعدو|أبعدتو|بتبعدو|بتبعدي|ببعد|أبعدنا|بتبعد	<i>verb</i><br><ol><li>to move away</li><li>(by extension) to deport, to banish, to exile, to expel</li></ol>
