Алтай|Altay	<i>name</i><br><ol><li>Altay, Altai (a mountain range in Central Asia); see Altai Mountains</li><li>Altai Republic (a republic of Russia)</li><li>Altai Krai (a krai of Russia)</li><li>A prefecture of Xinjiang, China</li><li>A city in Altay prefecture, Xinjiang, China</li><li>A town in the East Kazakhstan Region, Kazakhstan</li><li>The capital city of Govi-Altai Province, Mongolia</li></ol>
Кадын|Kadïn	<i>name</i><br><ol><li>Katun (tributary of the Ob)</li></ol>
Кыдат|Kïdat	<i>name</i><br><ol><li>China</li><li>a unisex given name from Oirat, meaning "Chinese"</li></ol>
Моол|Mool	<i>name</i><br><ol><li>Mongolia (a country in inner Asia)</li></ol>
Тӱҥӱр|Tüŋür	<i>noun</i><br><ol><li>a village in the Altai Republic.</li></ol>
Эдил|Edil	<i>noun</i><br><ol><li>Volga</li></ol>
Энесей|Enesey	<i>name</i><br><ol><li>Yenisei (a major river in Russia)</li></ol>
Эртиш|Ertiš	<i>noun</i><br><ol><li>Irtish</li></ol>
аару|aaru	<i>noun</i><br><ol><li>bee</li></ol>
абра|abra	<i>noun</i><br><ol><li>cart, araba</li></ol>
агалу-ийиндӱ|agalu-iyindü	<i>noun</i><br><ol><li>younger brother and elder brother</li></ol>
агар|agar	<i>verb</i><br><ol><li>to flow</li></ol>
агас|aɣas	<i>noun</i><br><ol><li>ermine</li></ol>
агаш|agaš	<i>noun</i><br><ol><li>tree</li></ol>
агын|agïn	<i>noun</i><br><ol><li>flow</li></ol>
ада|ada	<i>noun</i><br><ol><li>father</li></ol>
ада-эне|ada-ene	<i>noun</i><br><ol><li>parent</li></ol>
адалгы|adalgı	<i>noun</i><br><ol><li>oar</li></ol>
адалгыш|adalgış	<i>noun</i><br><ol><li>(linguistics) noun</li></ol>
адар|adar	<i>verb</i><br><ol><li>to shoot</li></ol>
адару|adaru	<i>noun</i><br><ol><li>bee</li></ol>
азык-тӱлӱк|azïk-tülük	<i>noun</i><br><ol><li>food</li></ol>
ай|айларга|айды|айда|айларда|айга|айдаҥ|айдыҥ|айларды|айлардаҥ|айлардыҥ|айлар|ay	<i>noun</i><br><ol><li>moon</li></ol>
айак|айактарды|айактардыҥ|айактар|айакта|айактардаҥ|айактарда|айак|ayak|айакка|айакты|айактаҥ|айактарга|айактыҥ	<i>noun</i><br><ol><li>leg</li><li>foot</li><li>cup</li></ol>
айас|ayas	<i>adj</i><br><ol><li>clear</li></ol>
айгыр|aygïr	<i>noun</i><br><ol><li>stallion</li></ol>
айдар|aydar	<i>verb</i><br><ol><li>to tell, to say</li></ol>
айланар|aylanar	<i>verb</i><br><ol><li>to rotate</li></ol>
айран|ayran	<i>noun</i><br><ol><li>airan</li></ol>
айрыыр|ayrïïr	<i>verb</i><br><ol><li>to separate</li></ol>
айу|ayu	<i>noun</i><br><ol><li>bear</li></ol>
айыл|ayïl	<i>noun</i><br><ol><li>yurt, village</li></ol>
ак|ak	<i>adj</i><br><ol><li>white</li></ol>
ака|aka	<i>noun</i><br><ol><li>elder brother</li></ol>
аксагал|aksagal	<i>noun</i><br><ol><li>old man</li></ol>
аксак|aksak	<i>adj</i><br><ol><li>lame</li></ol>
акча|akča	<i>noun</i><br><ol><li>money</li></ol>
акырын|akïrïn	<i>adv</i><br><ol><li>slowly</li></ol>
алабуга|alabuga	<i>noun</i><br><ol><li>perch</li></ol>
алакан|alakan	<i>noun</i><br><ol><li>palm</li></ol>
алар|alar	<i>verb</i><br><ol><li>to take</li></ol>
албаты|albatï	<i>noun</i><br><ol><li>(historical) subject</li><li>people</li></ol>
алд|ald	<i>noun</i><br><ol><li>front</li></ol>
алдында|aldïnda	<i>postp</i><br><ol><li>in front of, before</li></ol>
алкыш|alkïš	<i>noun</i><br><ol><li>blessing</li></ol>
алкыш-быйан|alkïš-bïyan	<i>noun</i><br><ol><li>gratitude</li></ol>
алту|altu	<i>num</i><br><ol><li>six in group together</li></ol>
алты|altı	<i>num</i><br><ol><li>six</li></ol>
алтын|altïn	<i>noun</i><br><ol><li>gold</li></ol>
алтынчы|altïnčï	<i>num</i><br><ol><li>sixth</li></ol>
алып|alïp	<i>noun</i><br><ol><li>hero</li></ol>
амаду|amadu	<i>noun</i><br><ol><li>goal</li></ol>
ар|ar	<i>adj</i><br><ol><li>every</li></ol>
ара|ara	<i>noun</i><br><ol><li>space</li></ol>
аразында|arazïnda	<i>adv</i><br><ol><li>between, among</li></ol>
аракы|arakı	<i>noun</i><br><ol><li>vodka</li></ol>
аракызак|arakızak	<i>noun</i><br><ol><li>drunkard</li></ol>
арба|arba	<i>noun</i><br><ol><li>barley</li></ol>
арка|arka	<i>noun</i><br><ol><li>back</li></ol>
аркан|arkan	<i>noun</i><br><ol><li>rope</li></ol>
аркар|arkar	<i>noun</i><br><ol><li>argali</li></ol>
арслан|arslan	<i>noun</i><br><ol><li>lion</li></ol>
арт	<i>noun</i><br><ol><li>back, rear</li></ol>
артык|artïk	<i>adj</i><br><ol><li>excessive</li></ol>
ару|aru	<i>adj</i><br><ol><li>clear</li></ol>
ас|as	<i>adj</i><br><ol><li>a little</li><li>a few</li></ol>
ат|атка|аттардаҥ|атта|аттарда|аттаҥ|at|атты|аттыҥ|аттар|аттарга|аттарды|ат|аттардыҥ	<i>noun</i><br><ol><li>name</li><li>horse</li></ol>
атар|atar	<i>verb</i><br><ol><li>to shoot</li></ol>
ач|ač	<i>adj</i><br><ol><li>hungry</li></ol>
ачар|ačar	<i>verb</i><br><ol><li>to open</li></ol>
ачкыч|açkíç	<i>noun</i><br><ol><li>key</li></ol>
ачу|aču	<i>noun</i><br><ol><li>anger, wrath</li></ol><br><i>adj</i><br><ol><li>bitter</li></ol>
ачык|ačïk	<i>adj</i><br><ol><li>open</li></ol>
аш|aš	<i>noun</i><br><ol><li>food, meal</li></ol>
ашкана|aškana	<i>noun</i><br><ol><li>canteen, cafeteria, restaurant</li></ol>
аҥ|aŋ	<i>noun</i><br><ol><li>beast, wild animal</li></ol>
аҥчы|aŋčï	<i>noun</i><br><ol><li>hunter</li></ol>
баа|baa	<i>noun</i><br><ol><li>price</li></ol>
баатыр|baatïr	<i>noun</i><br><ol><li>hero</li></ol>
бадар|badar	<i>verb</i><br><ol><li>to come in</li></ol>
базар|bazar	<i>noun</i><br><ol><li>market</li></ol><br><i>verb</i><br><ol><li>to press</li></ol>
бай|bay	<i>adj</i><br><ol><li>rich</li></ol>
байа|baya	<i>adv</i><br><ol><li>recently</li></ol>
байлу|baylu	<i>noun</i><br><ol><li>tying</li></ol>
байлык|baylïk	<i>noun</i><br><ol><li>wealth</li></ol>
байрам|bayram	<i>noun</i><br><ol><li>holiday</li></ol>
байтал|baytal	<i>noun</i><br><ol><li>mare that has not yet produced young</li></ol>
байыыр|bayïïr	<i>verb</i><br><ol><li>(intransitive) to grow rich</li></ol>
бака|baka	<i>noun</i><br><ol><li>frog</li></ol>
бакана|bakana	<i>noun</i><br><ol><li>pillar, column</li></ol>
бакыр|bakïr	<i>adj</i><br><ol><li>poor</li></ol>
бал|bal	<i>noun</i><br><ol><li>honey</li></ol>
бала|bala	<i>noun</i><br><ol><li>child</li></ol>
балтыр|baltïr	<i>noun</i><br><ol><li>roe</li></ol>
балык|balïk	<i>noun</i><br><ol><li>fish</li></ol>
балыкчы|balïkčï	<i>noun</i><br><ol><li>fisherman</li></ol>
