aba	<i>verb</i><br><ol><li>to divide, to distribute</li></ol>
akha	<i>verb</i><br><ol><li>to build</li></ol>
ala	<i>verb</i><br><ol><li>to refuse</li></ol>
amanga|ámánga	<i>noun</i><br><ol><li>lies</li></ol>
amanzi	<i>noun</i><br><ol><li>water</li></ol>
anda	<i>verb</i><br><ol><li>to increase, multiply</li></ol>
azi	<i>verb</i><br><ol><li>to know</li></ol>
baba	<i>verb</i><br><ol><li>to be bitter</li></ol>
bala	<i>verb</i><br><ol><li>to count</li></ol>
banzi|okubanzi|ubanzi|nibanzi|esibanzi|ezibanzi|zibanzi|obanzi|ababanzi|bubanzi|ebanzi|elibanzi|kubanzi|enibanzi|engibanzi|libanzi|abanzi|sibanzi|babanzi|obubanzi|ngibanzi|ibanzi	<i>conj</i><br><ol><li>wide</li></ol>
bawa	<i>verb</i><br><ol><li>to request, to ask</li></ol>
beletha	<i>verb</i><br><ol><li>to give birth</li></ol>
bhala	<i>verb</i><br><ol><li>to write</li></ol>
bhema	<i>noun</i><br><ol><li>to smoke (tobacco)</li></ol>
bhunubhunu|engibhunubhunu|ubhunubhunu|ezibhunubhunu|ebhunubhunu|obubhunubhunu|zibhunubhunu|ngibhunubhunu|nibhunubhunu|sibhunubhunu|libhunubhunu|bubhunubhunu|abhunubhunu|obhunubhunu|elibhunubhunu|kubhunubhunu|okubhunubhunu|ababhunubhunu|ibhunubhunu|enibhunubhunu|babhunubhunu|esibhunubhunu	<i>conj</i><br><ol><li>naked</li></ol>
bi	<i>adj</i><br><ol><li>bad</li><li>evil</li><li>ugly</li></ol>
bila	<i>verb</i><br><ol><li>to boil</li></ol>
bili	<i>adj</i><br><ol><li>two</li></ol>
biza	<i>verb</i><br><ol><li>to call</li></ol>
bomvu|kubomvu|sibomvu|elibomvu|ebomvu|esibomvu|obubomvu|libomvu|ezibomvu|ubomvu|nibomvu|engibomvu|enibomvu|okubomvu|obomvu|ibomvu|babomvu|ababomvu|zibomvu|ngibomvu|bubomvu|abomvu	<i>conj</i><br><ol><li>red</li></ol>
bona|boná	<i>verb</i><br><ol><li>to see</li></ol><br><i>pron</i><br><ol><li>they, them; class 2 absolute pronoun.</li><li>it; class 14 absolute pronoun.</li></ol>
bonisa	<i>verb</i><br><ol><li>to show</li></ol>
budisi|engibudisi|babudisi|sibudisi|enibudisi|kubudisi|libudisi|nibudisi|esibudisi|obubudisi|abudisi|bubudisi|zibudisi|elibudisi|obudisi|ababudisi|ibudisi|ezibudisi|ubudisi|ebudisi|okubudisi|ngibudisi	<i>conj</i><br><ol><li>heavy, difficult</li></ol>
buhlungu|ngibuhlungu|obubuhlungu|babuhlungu|abuhlungu|ezibuhlungu|kubuhlungu|engibuhlungu|enibuhlungu|elibuhlungu|ubuhlungu|ebuhlungu|nibuhlungu|okubuhlungu|bubuhlungu|esibuhlungu|obuhlungu|ibuhlungu|zibuhlungu|ababuhlungu|sibuhlungu|libuhlungu	<i>conj</i><br><ol><li>sore, aching, painful</li></ol>
bulala	<i>verb</i><br><ol><li>to kill</li></ol>
bulenda|ibulenda|ezibulenda|sibulenda|engibulenda|abulenda|libulenda|kubulenda|nibulenda|ebulenda|elibulenda|zibulenda|enibulenda|ubulenda|obubulenda|okubulenda|bubulenda|esibulenda|ngibulenda|babulenda|ababulenda|obulenda	<i>conj</i><br><ol><li>soft, jelly-like</li></ol>
busa	<i>verb</i><br><ol><li>to rule</li></ol>
busisa	<i>verb</i><br><ol><li>to bless</li></ol>
buya	<i>verb</i><br><ol><li>to return [+locative = from]</li></ol>
buza	<i>verb</i><br><ol><li>to ask</li><li>to interrogate, to question</li></ol>
cabanga	<i>verb</i><br><ol><li>to think</li></ol>
cela	<i>verb</i><br><ol><li>to request</li></ol>
chatjha	<i>verb</i><br><ol><li>to hire</li></ol>
chaza	<i>verb</i><br><ol><li>to make happy</li></ol>
chisa	<i>verb</i><br><ol><li>to prepare (bed, table)</li></ol>
chitha	<i>verb</i><br><ol><li>to waste</li></ol>
cima	<i>verb</i><br><ol><li>to extinguish, to switch off</li></ol>
coca	<i>verb</i><br><ol><li>to chat, to discuss</li></ol>
dala	<i>adj</i><br><ol><li>old</li></ol><br><i>verb</i><br><ol><li>to create</li></ol>
de	<i>adj</i><br><ol><li>tall</li></ol>
dla	<i>verb</i><br><ol><li>to eat</li></ol>
dlala	<i>verb</i><br><ol><li>to play</li></ol>
dlula	<i>verb</i><br><ol><li>to pass</li></ol>
dubula	<i>verb</i><br><ol><li>to shoot</li></ol>
duma|uduma|kuduma|eziduma|okuduma|iduma|siduma|buduma|ngiduma|obuduma|baduma|eduma|niduma|esiduma|ziduma|oduma|abaduma|aduma|engiduma|eniduma|liduma|eliduma	<i>conj</i><br><ol><li>tasteless, flavourless</li></ol>
dzubhula	<i>verb</i><br><ol><li>to pick up</li><li>to quote</li></ol>
eba	<i>verb</i><br><ol><li>to steal</li></ol>
ehla	<i>verb</i><br><ol><li>to descend, to go down [+full or locative]</li></ol>
emba	<i>verb</i><br><ol><li>to dig</li></ol>
embatha	<i>verb</i><br><ol><li>to wear, to put on clothes</li></ol>
enda	<i>verb</i><br><ol><li>to marry, to be married</li></ol>
engeza	<i>verb</i><br><ol><li>to add</li></ol>
enza	<i>verb</i><br><ol><li>to do, to make</li></ol>
eqela	<i>verb</i><br><ol><li>to jump over</li></ol>
fa	<i>verb</i><br><ol><li>to die</li></ol>
fafaza	<i>verb</i><br><ol><li>to spray with water</li></ol>
fika	<i>verb</i><br><ol><li>to arrive</li></ol>
fitjhani	<i>adj</i><br><ol><li>short</li></ol>
funa	<i>verb</i><br><ol><li>to want</li></ol>
funda	<i>verb</i><br><ol><li>(intransitive) to learn</li><li>(transitive) to read</li></ol>
fundisa	<i>verb</i><br><ol><li>to teach, to instruct</li></ol>
gada	<i>verb</i><br><ol><li>to watch</li></ol>
gcina	<i>verb</i><br><ol><li>to keep</li></ol>
gcoka	<i>verb</i><br><ol><li>to put on clothes, to dress, to wear</li></ol>
gcugcuzela	<i>verb</i><br><ol><li>to encourage</li></ol>
geza	<i>verb</i><br><ol><li>to wash</li></ol>
gida	<i>verb</i><br><ol><li>to dance</li></ol>
gijima	<i>verb</i><br><ol><li>to run</li></ol>
goba	<i>verb</i><br><ol><li>to bend</li></ol>
gqaba	<i>verb</i><br><ol><li>to inject</li></ol>
guga	<i>verb</i><br><ol><li>to pick up, to lift</li></ol>
guqa	<i>verb</i><br><ol><li>to kneel</li></ol>
hlaba	<i>verb</i><br><ol><li>to stab, to slaughter</li></ol>
hlakanipha	<i>verb</i><br><ol><li>to be clever, to be wise</li></ol>
hlala	<i>verb</i><br><ol><li>to sit, to stay</li></ol>
hlanu	<i>adj</i><br><ol><li>five</li></ol>
hlathulula	<i>verb</i><br><ol><li>to explain</li></ol>
hlaza|ihlaza|kuhlaza|ahlaza|nihlaza|zihlaza|buhlaza|abahlaza|elihlaza|okuhlaza|ezihlaza|engihlaza|enihlaza|lihlaza|ohlaza|uhlaza|esihlaza|obuhlaza|ngihlaza|bahlaza|ehlaza|sihlaza	<i>conj</i><br><ol><li>blue, green</li></ol>
hle	<i>adj</i><br><ol><li>beautiful, handsome</li></ol>
hleba	<i>verb</i><br><ol><li>to whisper, to gossip</li></ol>
hlukana	<i>verb</i><br><ol><li>to separate</li></ol>
ibhande|amabhande	<i>noun</i><br><ol><li>belt</li></ol>
ibhoksi|amabhoksi	<i>noun</i><br><ol><li>box</li></ol>
ibholo|ámábhólo|íbhólo	<i>noun</i><br><ol><li>ball</li></ol>
ibisi|íbîsi	<i>noun</i><br><ol><li>milk</li></ol>
