a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
a2	<i>romanization</i><br><ol><li>Romanization of 𒀉 (a₂)</li></ol>
a5	<i>romanization</i><br><ol><li>Romanization of 𒀝 (a₅)</li></ol>
ab	<i>romanization</i><br><ol><li>Romanization of 𒀊 (ab)</li></ol>
ab2	<i>romanization</i><br><ol><li>Romanization of 𒀖 (ab₂)</li></ol>
aba	<i>romanization</i><br><ol><li>Romanization of 𒀊 (aba)</li></ol>
aba4	<i>romanization</i><br><ol><li>Romanization of 𒀕 (aba₄)</li></ol>
abba2	<i>romanization</i><br><ol><li>Romanization of 𒀋 (abba₂)</li></ol>
abgal	<i>romanization</i><br><ol><li>Romanization of 𒉣𒈨 (abgal)</li></ol>
abgal2	<i>romanization</i><br><ol><li>Romanization of 𒉣𒈨𒅤 (abgal₂)</li></ol>
ablal	<i>romanization</i><br><ol><li>Romanization of 𒆼 (ablal)</li></ol>
ablal3	<i>romanization</i><br><ol><li>Romanization of 𒇦 (ablal₃)</li></ol>
absin3	<i>romanization</i><br><ol><li>Romanization of 𒀳 (absin₃)</li></ol>
abula	<i>romanization</i><br><ol><li>Romanization of 𒆍𒃲 (abula)</li></ol>
ad	<i>romanization</i><br><ol><li>Romanization of 𒀜 (ad)</li></ol>
ad2	<i>romanization</i><br><ol><li>Romanization of 𒄉 (ad₂)</li></ol>
ad5	<i>romanization</i><br><ol><li>Romanization of 𒌑𒄉 (ad₅)</li></ol>
ad6	<i>romanization</i><br><ol><li>Romanization of 𒇿 (ad₆)</li></ol>
ad7	<i>romanization</i><br><ol><li>Romanization of 𒈕 (ad₇)</li></ol>
adda	<i>romanization</i><br><ol><li>Romanization of 𒇿 (adda)</li><li>Romanization of 𒇽𒁁 (adda(LU₂.BAD))</li></ol>
adda2	<i>romanization</i><br><ol><li>Romanization of 𒇼 (adda₂)</li></ol>
aga3	<i>romanization</i><br><ol><li>Romanization of 𒂆 (aga₃)</li></ol>
agam	<i>romanization</i><br><ol><li>Romanization of 𒀂 (agam)</li></ol>
agar2	<i>romanization</i><br><ol><li>Romanization of 𒇋 (agar₂)</li></ol>
agar4	<i>romanization</i><br><ol><li>Romanization of 𒅊 (agar₄)</li></ol>
ah	<i>romanization</i><br><ol><li>Romanization of 𒄴 (aḫ)</li></ol>
ah3	<i>romanization</i><br><ol><li>Romanization of 𒌓 (aḫ₃)</li></ol>
aj2	<i>romanization</i><br><ol><li>Romanization of 𒉘 (ag̃₂)</li></ol>
ak	<i>romanization</i><br><ol><li>Romanization of 𒀝 (ak)</li></ol>
akan	<i>romanization</i><br><ol><li>Romanization of 𒁛 (akan)</li></ol>
akan3	<i>romanization</i><br><ol><li>Romanization of 𒇖 (akan₃)</li></ol>
al	<i>romanization</i><br><ol><li>Romanization of 𒀠 (al)</li></ol>
alad	<i>romanization</i><br><ol><li>Romanization of 𒆘 (alad)</li></ol>
alad2	<i>romanization</i><br><ol><li>Romanization of 𒆗 (alad₂)</li></ol>
alan	<i>romanization</i><br><ol><li>Romanization of 𒀩 (alan)</li></ol>
alim	<i>romanization</i><br><ol><li>Romanization of 𒄋 (alim)</li></ol>
am	<i>romanization</i><br><ol><li>Romanization of 𒄠 (am)</li></ol>
am3	<i>romanization</i><br><ol><li>Romanization of 𒀀𒀭 (am₃)</li></ol>
am6	<i>romanization</i><br><ol><li>Romanization of 𒀭 (am₆)</li></ol>
ama	<i>romanization</i><br><ol><li>Romanization of 𒂼 (ama)</li></ol>
ama5	<i>romanization</i><br><ol><li>Romanization of 𒃣 (ama₅)</li></ol>
amar	<i>romanization</i><br><ol><li>Romanization of 𒀫 (amar)</li></ol>
amasz	<i>romanization</i><br><ol><li>Romanization of 𒁦 (amaš)</li></ol>
an	<i>romanization</i><br><ol><li>Romanization of 𒀭 (an)</li></ol>
ansze	<i>romanization</i><br><ol><li>Romanization of 𒀲 (anše)</li></ol>
apin	<i>romanization</i><br><ol><li>Romanization of 𒀳 (apin)</li></ol>
ar2	<i>romanization</i><br><ol><li>Romanization of 𒄱 (ar₂)</li></ol>
ar3	<i>romanization</i><br><ol><li>Romanization of 𒄯 (ar₃)</li></ol>
ara3	<i>romanization</i><br><ol><li>Romanization of 𒄯 (ara₃)</li></ol>
arad	<i>romanization</i><br><ol><li>Romanization of 𒀴 (arad)</li></ol>
arad2	<i>romanization</i><br><ol><li>Romanization of 𒀵 (arad₂)</li></ol>
aratta	<i>romanization</i><br><ol><li>Romanization of 𒇶 (aratta)</li></ol>
arhusz	<i>romanization</i><br><ol><li>Romanization of 𒃣 (arḫuš)</li></ol>
arhusz2	<i>romanization</i><br><ol><li>Romanization of 𒉦 (arḫuš₂)</li></ol>
arhusz3	<i>romanization</i><br><ol><li>Romanization of 𒉥 (arḫuš₃)</li></ol>
arhusz4	<i>romanization</i><br><ol><li>Romanization of 𒂼 (arḫuš₄)</li></ol>
arhusz5	<i>romanization</i><br><ol><li>Romanization of 𒀉𒌉 (arḫuš₅)</li></ol>
arhusz6	<i>romanization</i><br><ol><li>Romanization of 𒀉𒊩 (arḫuš₆)</li></ol>
arhusz7	<i>romanization</i><br><ol><li>Romanization of 𒀉𒃣 (arḫuš₇)</li></ol>
arhuszX	<i>romanization</i><br><ol><li>Romanization of 𒂑 (arḫušₓ(E₂×SAL))</li></ol>
arkab2	<i>romanization</i><br><ol><li>Romanization of 𒀶 (arkab₂)</li></ol>
asal2	<i>romanization</i><br><ol><li>Romanization of 𒀀𒌅𒃮𒇺 (asal₂)</li></ol>
asal3	<i>romanization</i><br><ol><li>Romanization of 𒀀𒌅𒉪 (asal₃)</li></ol>
asz	<i>romanization</i><br><ol><li>Romanization of 𒀸 (aš)</li></ol>
asz11	<i>romanization</i><br><ol><li>Romanization of 𒀹 (aš₁₁)</li></ol>
asz2	<i>romanization</i><br><ol><li>Romanization of 𒀾 (aš₂)</li></ol>
asz3	<i>romanization</i><br><ol><li>Romanization of 𒐋 (aš₃)</li></ol>
asz4	<i>romanization</i><br><ol><li>Romanization of 𒐄 (aš₄)</li></ol>
aszag	<i>romanization</i><br><ol><li>Romanization of 𒃷 (ašag)</li></ol>
aszdar	<i>romanization</i><br><ol><li>Romanization of 𒌋𒁯 (ašdar)</li></ol>
aszdar2	<i>romanization</i><br><ol><li>Romanization of 𒁹𒁯 (ašdar₂)</li></ol>
aya2	<i>romanization</i><br><ol><li>Romanization of 𒀀 (aya₂)</li></ol>
aya4	<i>romanization</i><br><ol><li>Romanization of 𒆹 (aya₄)</li></ol>
az	<i>romanization</i><br><ol><li>Romanization of 𒊍 (az)</li></ol>
ba	<i>romanization</i><br><ol><li>Romanization of 𒁀 (ba)</li></ol>
ba3	<i>romanization</i><br><ol><li>Romanization of 𒌍 (ba₃)</li></ol>
ba7	<i>romanization</i><br><ol><li>Romanization of 𒈦 (ba₇)</li></ol>
babbar	<i>romanization</i><br><ol><li>Romanization of 𒌓 (babbar)</li></ol>
babbar2	<i>romanization</i><br><ol><li>Romanization of 𒌓𒌓 (babbar₂)</li></ol>
babilim2	<i>romanization</i><br><ol><li>Romanization of 𒆍𒀭𒊏𒆠 (babilim₂)</li></ol>
bad	<i>romanization</i><br><ol><li>Romanization of 𒁁 (bad)</li></ol>
bad3	<i>romanization</i><br><ol><li>Romanization of 𒂦 (bad₃)</li></ol>
bad5	<i>romanization</i><br><ol><li>Romanization of 𒅆 (bad₅)</li></ol>
bal	<i>romanization</i><br><ol><li>Romanization of 𒁄 (bal)</li></ol>
bala	<i>romanization</i><br><ol><li>Romanization of 𒁄 (bala)</li></ol>
balaj	<i>romanization</i><br><ol><li>Romanization of 𒁆 (balag̃)</li></ol>
ban3	<i>romanization</i><br><ol><li>Romanization of 𒌉 (ban₃)</li></ol>
banda3	<i>romanization</i><br><ol><li>Romanization of 𒌉 (banda₃)</li></ol>
banszur	<i>romanization</i><br><ol><li>Romanization of 𒍎 (banšur)</li></ol>
bar	<i>romanization</i><br><ol><li>Romanization of 𒁇 (bar)</li></ol>
bar6	<i>romanization</i><br><ol><li>Romanization of 𒌓 (bar₆)</li></ol>
be	<i>romanization</i><br><ol><li>Romanization of 𒁁 (be)</li></ol>
be2	<i>romanization</i><br><ol><li>Romanization of 𒁉 (be₂)</li></ol>
be3	<i>romanization</i><br><ol><li>Romanization of 𒉌 (be₃)</li></ol>
be4	<i>romanization</i><br><ol><li>Romanization of 𒁀 (be₄)</li></ol>
be6	<i>romanization</i><br><ol><li>Romanization of 𒉿 (be₆)</li></ol>
bi2	<i>romanization</i><br><ol><li>Romanization of 𒉈 (bi₂)</li></ol>
bi3	<i>romanization</i><br><ol><li>Romanization of 𒉿 (bi₃)</li></ol>
bil2	<i>romanization</i><br><ol><li>Romanization of 𒉋 (bil₂)</li></ol>
bil3	<i>romanization</i><br><ol><li>Romanization of 𒄑𒉋 (bil₃)</li></ol>
biluda	<i>romanization</i><br><ol><li>Romanization of 𒉺𒀭 (biluda)</li></ol>
bir	<i>romanization</i><br><ol><li>Romanization of 𒄵 (bir)</li></ol>
bir5	<i>romanization</i><br><ol><li>Romanization of 𒉆 (bir₅)</li></ol>
bisaj	<i>romanization</i><br><ol><li>Romanization of 𒂷 (bisag̃)</li></ol>
bisaj2	<i>romanization</i><br><ol><li>Romanization of 𒋃 (bisaŋ₂)</li></ol>
bisaj3	<i>romanization</i><br><ol><li>Romanization of 𒋄 (bisaŋ₃)</li></ol>
bu3	<i>romanization</i><br><ol><li>Romanization of 𒅤 (bu₃)</li></ol>
