Hyang	<i>noun</i><br><ol><li>God</li><li>goddess</li><li>divinity</li><li>deified being</li></ol>
Jepang	<i>name</i><br><ol><li>Japan</li></ol>
Jumaah	<i>romanization</i><br><ol><li>Romanization of ᮏᮥᮙᮃᮂ</li></ol>
Kandang	<i>noun</i><br><ol><li>kennel</li><li>stable</li><li>corral</li><li>pen</li><li>chickenrun</li></ol>
Ki balanak	<i>noun</i><br><ol><li>Avicennia officinalis L.</li></ol>
Lapang	<i>noun</i><br><ol><li>unbuilt terrain</li><li>flat block of land</li><li>(sports, playing) field</li><li>square</li></ol>
Nini Darugi	<i>noun</i><br><ol><li>kind of evil spirit</li></ol>
Nusantara	<i>name</i><br><ol><li>the archipelagic region known as 'Indonesian Archipelago' in modern-day.</li></ol>
Pangbanyu	<i>noun</i><br><ol><li>(Jhon) the Baptist</li></ol>
Rebo	<i>noun</i><br><ol><li>Wednesday</li></ol>
Salasa	<i>noun</i><br><ol><li>Tuesday</li></ol>
Saptu	<i>noun</i><br><ol><li>Saturday</li></ol>
Senén	<i>noun</i><br><ol><li>Monday</li></ol>
Sieng	<i>noun</i><br><ol><li>description of a whistling or zooming sound through the air, e.g. of a flying arrow, bullet, stone, etc.</li></ol>
aa	<i>noun</i><br><ol><li>older brother</li></ol>
abah	<i>romanization</i><br><ol><li>Romanization of ᮃᮘᮂ; father (male parent)</li></ol>
abah-abah	<i>romanization</i><br><ol><li>Romanization of ᮃᮘᮂ-ᮃᮘᮂ</li></ol>
abdi	<i>pron</i><br><ol><li>(polite) I</li></ol><br><i>noun</i><br><ol><li>servant</li><li>dependant</li><li>subordinate</li></ol>
abot	<i>romanization</i><br><ol><li>Romanization of ᮃᮘᮧᮒ᮪</li></ol>
abring	<i>verb</i><br><ol><li>(vi) troop out in a group somewhere; (vt.) accompany/walk behind so./st. in group</li></ol>
abrul	<i>verb</i><br><ol><li>go/move out/ come (out) in a crowd/throng</li></ol>
absés	<i>noun</i><br><ol><li>abscess</li></ol>
acreug	<i>verb</i><br><ol><li>jump</li><li>hop</li></ol>
acrig	<i>verb</i><br><ol><li>hop</li></ol>
adat	<i>romanization</i><br><ol><li>Romanization of ᮃᮓᮒ᮪.</li></ol>
adeg	<i>romanization</i><br><ol><li>Romanization of ᮃᮓᮨᮌ᮪</li></ol>
