IKhuroshiya	<i>name</i><br><ol><li>Croatia</li></ol>
Lesibili|Lésíbilí	<i>noun</i><br><ol><li>Tuesday</li></ol>
Lesihlanu|Lésíhlánu	<i>noun</i><br><ol><li>Friday</li></ol>
Lesine|Lésíne	<i>noun</i><br><ol><li>Thursday</li></ol>
Lesitsatfu|Lésítsâtfu	<i>noun</i><br><ol><li>Wednesday</li></ol>
Nkulunkulu|Nkúlúnkûlu	<i>noun</i><br><ol><li>God</li></ol>
Somandla|Sómándla	<i>noun</i><br><ol><li>the Almighty</li></ol>
aba	<i>verb</i><br><ol><li>(transitive) to share</li><li>(transitive) to distribute</li></ol>
akha	<i>verb</i><br><ol><li>to build</li></ol>
ala	<i>verb</i><br><ol><li>to refuse</li></ol>
anyanisi|bó-ányánisi|ányánisi	<i>noun</i><br><ol><li>onion</li></ol>
ati	<i>verb</i><br><ol><li>to know</li></ol>
atisa	<i>verb</i><br><ol><li>to inform, to announce</li></ol>
ba	<i>verb</i><br><ol><li>to be</li><li>to become</li></ol>
baba	<i>verb</i><br><ol><li>(intransitive) to taste bitter</li></ol>
babe|babé|bóbabé	<i>noun</i><br><ol><li>my father</li></ol>
bala	<i>verb</i><br><ol><li>to count</li></ol>
baleka	<i>verb</i><br><ol><li>to run away, to flee</li></ol>
bamba	<i>verb</i><br><ol><li>to get hold of, to catch, to grasp, to hold</li></ol>
bambelela	<i>verb</i><br><ol><li>to lean on</li></ol>
bandza	<i>verb</i><br><ol><li>to be cold</li></ol>
banga	<i>verb</i><br><ol><li>to quarrel, to fight over</li></ol>
banti|lesibanti|libanti|lenibanti|lobanti|nibanti|babanti|lebanti|ibanti|lokubanti|lababanti|abanti|kubanti|lengibanti|labanti|bubanti|lobubanti|ubanti|tibanti|ngibanti|sibanti|lolubanti|lelibanti|letibanti|lubanti	<i>conj</i><br><ol><li>wide, broad</li></ol>
basa	<i>verb</i><br><ol><li>to light, to kindle</li></ol>
beka	<i>verb</i><br><ol><li>to put, place</li></ol>
bela	<i>verb</i><br><ol><li>to steal from</li></ol>
betsa	<i>verb</i><br><ol><li>to hit, to strike</li></ol>
bhabha	<i>verb</i><br><ol><li>to float</li></ol>
bhaca	<i>verb</i><br><ol><li>to hide</li></ol>
bhadala	<i>verb</i><br><ol><li>to pay</li></ol>
bhaka	<i>verb</i><br><ol><li>to bake</li></ol>
bhakela	<i>verb</i><br><ol><li>to kick</li></ol>
bhala	<i>verb</i><br><ol><li>to write</li></ol>
bhalasha	<i>verb</i><br><ol><li>to begin to bloom, to blossom</li></ol>
bhanana|bóbhanána|bhanána	<i>noun</i><br><ol><li>banana</li></ol>
bhanga	<i>verb</i><br><ol><li>to bank money</li></ol>
bhatata|bóbhatáta|bhatáta	<i>noun</i><br><ol><li>sweet potato</li></ol>
bhedla	<i>verb</i><br><ol><li>to insist</li></ol>
bhejane|bóbhéjane|bhéjane	<i>noun</i><br><ol><li>rhinoceros</li></ol>
bheka	<i>verb</i><br><ol><li>to go somewhere</li></ol>
bhema	<i>verb</i><br><ol><li>to smoke (tobacco)</li></ol>
bhica	<i>verb</i><br><ol><li>to mix</li></ol>
bhiya|bóbhiyá|bhiyá	<i>noun</i><br><ol><li>beer</li></ol>
bhoba	<i>verb</i><br><ol><li>to chew bones</li></ol>
bhobosa	<i>verb</i><br><ol><li>to put a hole through or into</li></ol>
bhola	<i>verb</i><br><ol><li>to drill</li></ol>
bhonga	<i>verb</i><br><ol><li>to bellow</li></ol>
bhongwane|bóbhóngwane	<i>noun</i><br><ol><li>throat</li><li>larynx</li></ol>
bhudza	<i>verb</i><br><ol><li>to dream</li></ol>
bhuka	<i>verb</i><br><ol><li>to reserve</li></ol>
bhula	<i>verb</i><br><ol><li>to flail</li><li>to foretell</li></ol>
bhunga	<i>verb</i><br><ol><li>to caucus</li></ol>
bhuti|bóbhutí|bhutí	<i>noun</i><br><ol><li>brother</li></ol>
bhuza	<i>verb</i><br><ol><li>to rush in a group</li></ol>
bi|sibi|ngimubi|babi|lembi|mibi|mabi|lelibi|lenibabi|lengimubi|lesibabi|libi|letimbi|lemibi|bubi|mubi|lolubi|lamabi|lobubi|lababi|lesibi|nibabi|sibabi|umubi|imbi|kubi|timbi|lokubi|lomubi|lubi	<i>adj</i><br><ol><li>bad</li><li>evil</li><li>ugly</li></ol>
bika	<i>verb</i><br><ol><li>to report</li></ol>
bila	<i>verb</i><br><ol><li>to boil</li></ol>
bili|bubili|lesibabili|umbili|libili|mabili|lombili|lubili|lelibili|lobubili|mbili|babili|mibili|lembili|imbili|lababili|lamabili|lesibili|lenibabili|lemibili|nibabili|kubili|sibili|sibabili|timbili|letimbili|lengimbili|lokubili|lolubili|ngimbili	<i>adj</i><br><ol><li>two</li></ol>
bindza	<i>verb</i><br><ol><li>to be quiet</li></ol>
bingelela	<i>verb</i><br><ol><li>to greet</li></ol>
bita	<i>verb</i><br><ol><li>to call</li></ol>
bola	<i>verb</i><br><ol><li>to rot, to decay</li></ol>
boleka	<i>verb</i><br><ol><li>(transitive) to lend</li></ol>
bona|boná	<i>pron</i><br><ol><li>they, them; class 2 absolute pronoun.</li><li>it; class 14 absolute pronoun.</li></ol><br><i>verb</i><br><ol><li>to see</li></ol>
bonakala	<i>verb</i><br><ol><li>(intransitive) to appear</li></ol>
bonakalisa	<i>verb</i><br><ol><li>to put within sight</li></ol>
bondza	<i>verb</i><br><ol><li>to stir</li></ol>
bonga	<i>verb</i><br><ol><li>to thank</li><li>to praise</li></ol>
bongela	<i>verb</i><br><ol><li>to congratulate</li></ol>
bonisa	<i>verb</i><br><ol><li>to advise</li></ol>
bonya	<i>verb</i><br><ol><li>to be sick</li></ol>
bopha	<i>verb</i><br><ol><li>(transitive) to tie</li></ol>
bovu|labovu|kubovu|bubovu|libovu|lolubovu|sibovu|tibovu|lelibovu|lobovu|ibovu|lesibovu|lebovu|lengibovu|nibovu|abovu|lobubovu|bôvú|lubovu|lenibovu|lokubovu|lababovu|letibovu|ubovu|babovu|ngibovu	<i>conj</i><br><ol><li>red</li></ol><br><i>noun</i><br><ol><li>pus</li></ol>
bubanti|búbantí	<i>noun</i><br><ol><li>broad</li></ol>
