'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
'ka|ka|ᜃ	<i>noun</i><br><ol><li>Contraction of wika</li></ol>
'no	<i>particle</i><br><ol><li>(tag question) Sentence-final question marker particle indicating emphasis and asking for confirmation: right?; eh?; isn't it, innit?</li><li>meaningless filler particle, which may also have a softening effect when introducing information: well...; you see...</li></ol>
't|ᜆ᜔	<i>conj</i><br><ol><li>Contraction of at, after a word ending in a vowel, primarily used as a clitic in informal writing or recorded speech.</li></ol>
'tsaka|tsaka|'tsaká|ᜆ᜔ᜐᜃ|tsaká|chaka	<i>conj</i><br><ol><li>contraction of at saka</li></ol>
'y	<i>particle</i><br><ol><li>Contraction of ay following a word ending in a vowel, primarily used in informal writing or recording speech.</li></ol>
'yo	<i>noun</i><br><ol><li>Contraction of iyo</li></ol>
1 Cronica|ᜂᜈᜅ᜔ ᜃ᜔ᜇᜓᜈᜒᜃ|1 Crónica	<i>name</i><br><ol><li>1 Chronicles</li></ol>
1 Mga Hari|ᜂᜈᜅ᜔ ᜋᜅ ᜑᜇᜒ|1 Mga Harì	<i>name</i><br><ol><li>(biblical) 1 Kings</li></ol>
2	<i>symbol</i><br><ol><li>An iteration mark used as an abbreviation for the second part of a reduplicated compound word.</li></ol>
2 Mga Hari|2 Mga Harì	<i>name</i><br><ol><li>(biblical) 2 Kings</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Tagalog alphabet, called a and written in the Latin script.</li></ol>
AP	<i>noun</i><br><ol><li>(education) Initialism of araling panlipunan (“social studies”).</li></ol>
Aba Ginoong Maria|Abá Ginoóng Maria	<i>noun</i><br><ol><li>(Christianity) Hail Mary</li></ol>
Abdurahman	<i>name</i><br><ol><li>a Muslim Filipino surname from Arabic</li></ol>
Abe	<i>name</i><br><ol><li>a Filipino-Japanese surname from Japanese</li></ol>
Abr.	<i>name</i><br><ol><li>Abbreviation of Abril: Apr.</li></ol>
Abra	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Abra (a province of the Philippines)</li></ol>
Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
Abucay|Abúcay	<i>name</i><br><ol><li>Abucay (a municipality of Bataan, Philippines).</li></ol>
Adan|Adán	<i>name</i><br><ol><li>(biblical) Adam</li></ol>
Adbentista	<i>adj</i><br><ol><li>Adventist</li></ol><br><i>noun</i><br><ol><li>Adventist</li></ol>
Adbiyento	<i>noun</i><br><ol><li>(Christianity) Advent</li></ol>
Agdangan	<i>name</i><br><ol><li>Agdangan (a municipality of Quezon, Philippines)</li></ol>
Ago.	<i>name</i><br><ol><li>Abbreviation of Agosto: Aug.</li></ol>
Agosto	<i>name</i><br><ol><li>August</li></ol>
Agta|Agtá	<i>noun</i><br><ol><li>Aeta people (indigenous people of Negrito origin of the mountainous parts of Luzon)</li></ol>
Aguilar	<i>name</i><br><ol><li>Aguilar (a municipality of Pangasinan, Philippines).</li></ol>
Aguinaldo	<i>name</i><br><ol><li>Emilio Aguinaldo (president of the first Philippine republic)</li></ol>
Agusan	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Agusan (a former province of the Philippines)</li></ol>
Agusan del Norte	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Agusan del Norte (a province of the Philippines)</li></ol>
Agusan del Sur	<i>name</i><br><ol><li>(lalawigan/probinsiya ng ~) Agusan del Sur (a province of the Philippines)</li></ol>
Agustino	<i>noun</i><br><ol><li>(Catholicism) Augustinian</li></ol><br><i>adj</i><br><ol><li>(Catholicism) Augustinian</li></ol>
Ahiya	<i>noun</i><br><ol><li>(Chinese Filipino, colloquial) honorific used before the name of an elder brother or young male senior: Brother; Mister</li></ol>
