𖿠	<i>symbol</i><br><ol><li>An iteration mark denoting the repetition of the previous character.</li></ol>
𗀀|⿱𘠀⿰𘢰𘠆|𘠀+5	<i>character</i><br><ol><li>poison</li><li>poisoner</li><li>death by poison</li></ol>
𗀀𗴐	<i>noun</i><br><ol><li>torture, torment</li></ol>
𗀀𗻊	<i>noun</i><br><ol><li>poison</li></ol>
𗀀𘉹	<i>noun</i><br><ol><li>utter hatred</li></ol>
𗀀𘊄	<i>noun</i><br><ol><li>malice</li></ol>
𗀀𘔳	<i>noun</i><br><ol><li>noxious fumes</li></ol>
𗀀𘟥	<i>noun</i><br><ol><li>poisonous insect</li></ol>
𗀁|⿱𘠀⿵𘠒𘡯|𘠀+6	<i>character</i><br><ol><li>to suck</li></ol>
𗀁𗡕	<i>verb</i><br><ol><li>to suck (with one's mouth)</li></ol>
𗀁𗢯	<i>noun</i><br><ol><li>prattler; chatterbox</li></ol>
𗀂|⿱𘠀⿰𘠨𘢓|𘠀+7	<i>character</i><br><ol><li>strong</li><li>rigid; firm; hard; stiff</li><li>upright</li></ol>
𗀂𗣙	<i>noun</i><br><ol><li>resolute; unyielding</li><li>(figuratively) honest; upright (in character)</li></ol>
𗀃|⿱𘠀⿰𘣣𘠐|𘠀+7	<i>character</i><br><ol><li>to mate; to copulate</li><li>to mate livestock</li><li>mating</li></ol>
𗀄|⿱𘠀⿰𘣴𘠢|𘠀+7	<i>character</i><br><ol><li>territory; place; region</li><li>limit; boundary; edge</li><li>collar; neckband</li><li>neck; opening</li></ol>
𗀅|⿱𘠀⿲𘠐𘠳𘠢|𘠀+7	<i>character</i><br><ol><li>to undergo; to suffer</li><li>to guard</li><li>to test</li><li>end; finish</li><li>catastrophe; suffering</li></ol>
𗀆|⿱𘠀⿰𘤊𘠢|𘠀+7	<i>character</i><br><ol><li>back (of a body)</li><li>back (of a chair)</li></ol>
𗀇|⿱𘠀𘨐|𘠀+7	<i>character</i><br><ol><li>to be able to; can</li><li>to win; to defeat; to be victorious</li><li>Transliteration of Middle Chinese 俄 (/ŋɑ/).</li><li>Transliteration of Middle Chinese 娥 (/ŋɑ/).</li><li>Transliteration of Middle Chinese 虞 (/ŋɨo/).</li></ol>
