adùbiʼíne|adùbiʼíne III.6	<i>noun</i><br><ol><li>adobe</li></ol>
belísena|belísena III.5|belísene	<i>noun</i><br><ol><li>suitcase, valise</li></ol>
benę̀nuʼúne|benę̀nuʼúne III.6	<i>noun</i><br><ol><li>poison</li></ol>
biną̀greʼéne|biną̀greʼéne III.6	<i>noun</i><br><ol><li>vinegar</li></ol>
butéyoną|butéyoną II.3|butèyo’óne	<i>noun</i><br><ol><li>bottle</li></ol>
bòyiʼína|bòyiʼína III.5|local	<i>noun</i><br><ol><li>valley</li></ol>
bósuną|bósuną III.5|bòsu’úne	<i>noun</i><br><ol><li>glass tumbler, glass</li></ol>
bùtúnena|bùtúnene|bùtúnena III.5	<i>noun</i><br><ol><li>button</li></ol>
bútoną|bùto’óne|bútoną II.3	<i>noun</i><br><ol><li>boot (footwear)</li></ol>
cikulòtiʼína|cikulòtiʼína III.5	<i>noun</i><br><ol><li>chocolate</li></ol>
cìakǫʼóna|cìakǫʼóna III.5|cìakǫ́ne	<i>noun</i><br><ol><li>question</li></ol>
cìatúną|cìatúną II.3|cìatúne	<i>noun</i><br><ol><li>legging</li></ol>
cìatʼáwaną|cìatʼáwaną II.3	<i>noun</i><br><ol><li>knife wheel</li></ol>
cìaʼáne|cìaʼáne III.6	<i>noun</i><br><ol><li>walk</li></ol>
cìbikína|cìbikína I.1|cìbíkiną	<i>noun</i><br><ol><li>robin</li></ol>
cìlithə̀oʼóne|cìlithə̀oʼóne III.6	<i>noun</i><br><ol><li>chili powder</li></ol>
cìlixòyʼȕʼúna|cìlixòyʼȕʼúna III.5	<i>noun</i><br><ol><li>string of chilis</li></ol>
cìliłə̀ʼə́ne|cìliłə̀ʼə́ne III.6	<i>noun</i><br><ol><li>chili soup</li></ol>
cìliʼíne|cìliʼíne III.6	<i>noun</i><br><ol><li>chili</li></ol>
cìp’ȍxwìliʼíne|cìp’ȍxwìliʼíne III duoplural	<i>noun</i><br><ol><li>eyeglasses</li></ol>
cìwyuʼúna|cíwyuną|cìwyuʼúna I.1	<i>noun</i><br><ol><li>bird</li></ol>
