'a|le	<i>article</i><br><ol><li>the</li></ol>
'mbormàteche	<i>noun</i><br><ol><li>computing, computer science, informatics</li></ol>
'mbortanze	<i>noun</i><br><ol><li>importance</li></ol>
'mbracidite	<i>adj</i><br><ol><li>rotten</li></ol>
'mbrà	<i>prep</i><br><ol><li>between, among</li></ol>
'na|'nu	<i>article</i><br><ol><li>a</li></ol>
'nde	<i>prep</i><br><ol><li>in</li></ol>
'ndernètte	<i>noun</i><br><ol><li>Internet</li></ol>
'ndestine	<i>noun</i><br><ol><li>guts, intestines</li></ol>
'nflusse	<i>noun</i><br><ol><li>influence</li></ol>
'nformazione	<i>noun</i><br><ol><li>information</li></ol>
'ngeclopedije	<i>noun</i><br><ol><li>encyclopedia</li></ol>
'nglese	<i>adj</i><br><ol><li>English</li></ol><br><i>noun</i><br><ol><li>English (language)</li></ol>
'nu|'na	<i>article</i><br><ol><li>a</li></ol>
'nvìerne	<i>noun</i><br><ol><li>winter</li></ol>
'nzeccate	<i>adj</i><br><ol><li>near</li></ol>
'u|le	<i>article</i><br><ol><li>the</li></ol>
Ciele	<i>name</i><br><ol><li>Heaven</li></ol>
Inghiltèrre	<i>name</i><br><ol><li>England</li></ol>
Itaglie	<i>name</i><br><ol><li>Italy</li></ol>
Lune	<i>name</i><br><ol><li>the Moon</li></ol>
Pugghie	<i>name</i><br><ol><li>Apulia (a region of Italy)</li></ol>
Tarde	<i>name</i><br><ol><li>Taranto (city and province)</li></ol>
Terre	<i>name</i><br><ol><li>the Earth (planet)</li></ol>
a	<i>prep</i><br><ol><li>in</li><li>at</li><li>to</li></ol>
a'	<i>prep</i><br><ol><li>at the</li></ol>
a'ô	<i>prep</i><br><ol><li>at the</li></ol>
abbottare|abbottàssere|abbottàme|abbottàte|abbottávene|abbottámme|abbottávve|abbottáme|abbott?|abbottànne|abbottene|abbottáveve|abbotte|abbottàste|abbottàrene|abbottáve|abbottéve|abbottóje|abbottàmme|abbottàsse|abbottáte	<i>verb</i><br><ol><li>To fill up</li></ol>
abbrile	<i>noun</i><br><ol><li>April</li></ol>
abbàsce	<i>prep</i><br><ol><li>under, beneath</li></ol>
