A|a	<i>character</i><br><ol><li>the 1st letter of Jaꞑalif</li></ol>
Albaniä	<i>name</i><br><ol><li>Albania</li></ol>
Berlin|Berlinnıñ|Berlinnı|Berlinda|Berlinga|Berlindan	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li><li>Berlin (a state of Germany, containing the capital city)</li></ol>
Chicago|Chicagoda|Chicagonı|Chicagonıñ|Chicagodan|Chicagoga	<i>name</i><br><ol><li>Chicago (a large city in Illinois, United States)</li></ol>
Cir|Cirdä|Cirne|Cirdän|Cirneñ|Cirgä	<i>name</i><br><ol><li>Earth (planet)</li></ol>
Dania|Daniadan|Daniaga|Daniada|Danianı|Danianıñ	<i>name</i><br><ol><li>Denmark</li></ol>
Ecuador|Ecuadorda|Ecuadornı|Ecuadorga|Ecuadordan|Ecuadornıñ	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Finlândiä	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Hindostan|Hindostandan|Hindostanda|Hindostannıñ|Hindostanga|Hindostannı	<i>name</i><br><ol><li>India</li></ol>
Hollandia|Hollandianıñ|Hollandiaga|Hollandiadan|Hollandiada|Hollandianı	<i>name</i><br><ol><li>Holland</li></ol>
Honduras|Hondurasnı|Hondurasga|Hondurasnıñ|Hondurasda|Hondurasdan	<i>name</i><br><ol><li>Honduras (a country in Central America)</li></ol>
Jordan	<i>name</i><br><ol><li>Jordan (country)</li></ol>
Kuwait|Kuwaitta|Kuwaittan|Kuwaitnı|Kuwaitnıñ|Kuwaitga	<i>name</i><br><ol><li>Kuwait (a country in Western Asia, in the Middle East)</li></ol>
London|Londonnı|Londonnıñ|Londondan|Londonda|Londonga	<i>name</i><br><ol><li>London (the capital city of the United Kingdom; capital city of England)</li></ol>
Madrid|Madridnıñ|Madridga|Madriddan|Madridnı|Madridda	<i>name</i><br><ol><li>Madrid (the capital city of Spain)</li><li>Madrid, Community of Madrid (an autonomous community of Spain)</li><li>Madrid (a province of the Community of Madrid, Spain)</li></ol>
Mars|Marsnıñ|Marstan|Marsnı|Marsta|Marsqa	<i>name</i><br><ol><li>Mars (planet)</li></ol>
Merkuri|Merkurida|Merkuridan|Merkurinı|Merkuriga|Merkurinıñ	<i>name</i><br><ol><li>Mercury (planet)</li></ol>
Neptun|Neptunnıñ|Neptunga|Neptunda|Neptunnı|Neptundan	<i>name</i><br><ol><li>Neptune (planet)</li><li>(Roman mythology) Neptune (god)</li></ol>
New Orleans	<i>name</i><br><ol><li>New Orleans (the largest city in Louisiana, United States)</li></ol>
Niderland|Niderlandnıñ|Niderlandnı|Niderlandda|Niderlanddan|Niderlandga	<i>name</i><br><ol><li>The Netherlands</li></ol>
Pakistan|Pakistanga|Pakistannı|Pakistandan|Pakistanda|Pakistannıñ	<i>name</i><br><ol><li>Pakistan</li></ol>
Paris|Parisnı|Parisdan|Parisnıñ|Parisda|Parisga	<i>name</i><br><ol><li>Paris (the capital and largest city of France)</li></ol>
Pluto	<i>name</i><br><ol><li>Pluto (dwarf planet)</li></ol>
Praga|Pragadan|Pragada|Praganıñ|Praganı|Pragaga	<i>name</i><br><ol><li>Prague (the capital city of the Czech Republic)</li></ol>
Saturn|Saturnnıñ|Saturnnı|Saturndan|Saturnga|Saturnda	<i>name</i><br><ol><li>Saturn (planet)</li></ol>
Sedna	<i>name</i><br><ol><li>Sedna, a large trans-Neptunian object.</li></ol>
Senegal|Senegalda|Senegaldan|Senegalga|Senegalnı|Senegalnıñ	<i>name</i><br><ol><li>Senegal (a country in West Africa)</li></ol>
Sierra Leone	<i>name</i><br><ol><li>Sierra Leone (a country in West Africa)</li></ol>
Tehran|Tehrannı|Tehrandan|Tehrannıñ|Tehranga|Tehranda	<i>name</i><br><ol><li>Tehran (the capital city of Iran)</li></ol>
Uran|Uranda|Uranga|Urannı|Urannıñ|Urandan	<i>name</i><br><ol><li>Uranus</li></ol>
Venera|Venerada|Veneraga|Veneranı|Veneradan|Veneranıñ	<i>name</i><br><ol><li>Venus (planet)</li></ol>
Venezuela|Venezueladan|Venezuelaga|Venezuelanıñ|Venezuelada|Venezuelanı	<i>name</i><br><ol><li>Venezuela (a country in South America)</li></ol>
Washington	<i>name</i><br><ol><li>Washington (a state of the United States)</li><li>Washington, D.C. (the capital city of the United States)</li></ol>
Yupiter|Yupiterga|Yupiternıñ|Yupiternı|Yupiterda|Yupiterdan	<i>name</i><br><ol><li>Jupiter (planet).</li></ol>
alafa	<i>noun</i><br><ol><li>European</li></ol>
aywa	<i>noun</i><br><ol><li>quince</li></ol>
aşlama|ашлама	<i>noun</i><br><ol><li>fertilizer</li></ol>
bal	<i>noun</i><br><ol><li>honey</li></ol>
bala	<i>noun</i><br><ol><li>young animal,nestling</li><li>child</li></ol>
balan	<i>noun</i><br><ol><li>viburnum</li></ol>
balaq	<i>noun</i><br><ol><li>ankle</li><li>trouser leg</li></ol>
baldaq	<i>noun</i><br><ol><li>hilt</li></ol>
baldız	<i>noun</i><br><ol><li>a man's wife's younger sister</li></ol>
balta	<i>noun</i><br><ol><li>axe</li></ol>
baltır	<i>noun</i><br><ol><li>calf of leg</li></ol>
balçıq	<i>noun</i><br><ol><li>mud,clay</li></ol>
balıq	<i>noun</i><br><ol><li>fish</li></ol>
baqa	<i>noun</i><br><ol><li>frog</li></ol>
baqır	<i>noun</i><br><ol><li>copper</li></ol>
barmaq	<i>noun</i><br><ol><li>finger, thumb</li></ol>
bas	<i>noun</i><br><ol><li>price</li></ol>
basaw	<i>noun</i><br><ol><li>field,cornfield</li></ol>
baw	<i>noun</i><br><ol><li>bundle</li><li>bond,rope</li></ol>
bawır	<i>noun</i><br><ol><li>liver</li></ol>
bay	<i>adj</i><br><ol><li>rich, noble</li></ol>
baya	<i>adv</i><br><ol><li>recently</li></ol>
baybaq	<i>noun</i><br><ol><li>marmot</li></ol>
bayraq	<i>noun</i><br><ol><li>flag,banner</li></ol>
baytaq	<i>adj</i><br><ol><li>many</li></ol>
bazıq	<i>noun</i><br><ol><li>stubby man</li></ol>
baş	<i>noun</i><br><ol><li>head</li></ol>
başmaq	<i>noun</i><br><ol><li>boot,shoe</li></ol>
ber|ʙer|бер	<i>num</i><br><ol><li>one</li></ol>
bez	<i>noun</i><br><ol><li>awl</li></ol>
bik	<i>adj</i><br><ol><li>firm,stable</li></ol>
bil	<i>noun</i><br><ol><li>a kind of salmon (Salmo Taimen)</li></ol>
biyek	<i>adj</i><br><ol><li>high</li></ol>
biñ	<i>noun</i><br><ol><li>a mole in the face</li></ol>
biş	<i>num</i><br><ol><li>five</li></ol>
bolan	<i>noun</i><br><ol><li>elk</li></ol>
bolaq	<i>noun</i><br><ol><li>spring, well</li></ol>
