Ahad	<i>noun</i><br><ol><li>Sunday</li></ol>
Awrusalam	<i>noun</i><br><ol><li>Jerusalem</li></ol>
Daud	<i>name</i><br><ol><li>David (king of Judah)</li></ol>
Isnin	<i>noun</i><br><ol><li>Monday</li></ol>
Istanbul	<i>name</i><br><ol><li>Istanbul</li></ol>
Jawa	<i>name</i><br><ol><li>Java</li></ol>
Jumaat	<i>noun</i><br><ol><li>Friday</li></ol>
Makka	<i>name</i><br><ol><li>Mecca</li></ol>
Misil	<i>name</i><br><ol><li>Egypt</li></ol>
Nū	<i>name</i><br><ol><li>Noah</li></ol>
Salasa	<i>noun</i><br><ol><li>Tuesday</li></ol>
Sūg	<i>name</i><br><ol><li>Jolo (an island in Sulu, Philippines)</li><li>Tausug area</li></ol>
Tausug	<i>name</i><br><ol><li>The Tausug people, an ethnic group who live mainly in Sulu, other parts of Mindanao, Indonesia and Malaysia.</li></ol>
Yahudi	<i>noun</i><br><ol><li>Jew</li></ol>
abaga	<i>noun</i><br><ol><li>shoulder</li></ol>
abu	<i>noun</i><br><ol><li>ashes</li></ol>
abuhan	<i>noun</i><br><ol><li>stove</li></ol>
ad|ād	<i>noun</i><br><ol><li>fence</li><li>wall</li></ol>
adab	<i>noun</i><br><ol><li>manners</li></ol>
adlaw	<i>noun</i><br><ol><li>day</li></ol>
adlaw-adlaw	<i>adv</i><br><ol><li>every day</li></ol>
agap	<i>noun</i><br><ol><li>parrot</li></ol>
agasi	<i>noun</i><br><ol><li>ogre, legendary giant</li></ol>
agung	<i>noun</i><br><ol><li>brazen gong</li></ol>
ajab	<i>noun</i><br><ol><li>curse</li></ol>
akkal	<i>noun</i><br><ol><li>intellect</li></ol>
aku	<i>pron</i><br><ol><li>I</li></ol>
alkansiya	<i>noun</i><br><ol><li>piggy bank</li></ol>
alpa	<i>noun</i><br><ol><li>harp</li></ol>
alupan	<i>noun</i><br><ol><li>front (of something)</li><li>(euphemistic) private parts</li></ol>
aluwa	<i>noun</i><br><ol><li>spirit (usually of a dead person)</li></ol>
ama	<i>noun</i><br><ol><li>father</li></ol>
aman	<i>verb</i><br><ol><li>to boil</li></ol>
ambak	<i>noun</i><br><ol><li>frog</li></ol>
ambaw	<i>noun</i><br><ol><li>mouse, rat, vermin</li></ol>
amu	<i>noun</i><br><ol><li>monkey</li></ol>
anak	<i>noun</i><br><ol><li>child</li><li>offspring</li></ol>
anak-kampung	<i>noun</i><br><ol><li>relatives</li></ol>
anay	<i>noun</i><br><ol><li>termite</li></ol>
andukang	<i>noun</i><br><ol><li>buffoon; clown</li></ol>
andum	<i>noun</i><br><ol><li>dark cloud</li></ol>
ani	<i>noun</i><br><ol><li>harvest</li></ol>
anjibi	<i>noun</i><br><ol><li>dye; coloring</li></ol>
antib	<i>noun</i><br><ol><li>granary; storage barn</li></ol>
antil	<i>noun</i><br><ol><li>smelly pus from one's ear</li></ol>
apam	<i>noun</i><br><ol><li>pancake</li></ol>
apdu	<i>noun</i><br><ol><li>gall; bile</li></ol>
api	<i>noun</i><br><ol><li>fire</li></ol>
apul	<i>noun</i><br><ol><li>coagulated blood</li></ol>
apus	<i>noun</i><br><ol><li>gambling</li></ol>
araru	<i>noun</i><br><ol><li>plow</li></ol>
asam	<i>noun</i><br><ol><li>tamarind</li></ol>
asang	<i>noun</i><br><ol><li>gills (of a fish)</li></ol>
asawa	<i>noun</i><br><ol><li>wife</li></ol>
asin	<i>noun</i><br><ol><li>salt</li></ol>
aslag	<i>noun</i><br><ol><li>thickness</li></ol>
assang	<i>noun</i><br><ol><li>pigeon</li></ol>
asu	<i>noun</i><br><ol><li>smoke</li><li>steam, vapor</li></ol>
atal	<i>noun</i><br><ol><li>lipstick</li></ol>
atay	<i>noun</i><br><ol><li>liver</li></ol>
atay-itum	<i>noun</i><br><ol><li>treachery</li></ol>
atis	<i>noun</i><br><ol><li>sugar apple (Annona squamosa)</li></ol>
atu	<i>noun</i><br><ol><li>enemy; opponent</li></ol>
atup	<i>noun</i><br><ol><li>roof</li></ol>
awwal	<i>noun</i><br><ol><li>origin</li></ol>
ayl	<i>noun</i><br><ol><li>(Islam) ablution</li></ol>
baat	<i>noun</i><br><ol><li>A kind of ballad or song sung in Tausug for entertainment or self-enjoyment, which deals with the themes of love, sadness, or joy and is frequently sung to the bride or groom at weddings.</li></ol>
babai	<i>noun</i><br><ol><li>woman</li></ol>
babat	<i>noun</i><br><ol><li>(derogatory) belly</li></ol>
babayu	<i>noun</i><br><ol><li>small pestle</li></ol>
babbal	<i>adj</i><br><ol><li>foolish; stupid; idiotic</li></ol>
babuy	<i>noun</i><br><ol><li>pig</li></ol>
bagid	<i>noun</i><br><ol><li>match (for lighting fires)</li></ol>
bagu	<i>adj</i><br><ol><li>new</li></ol>
bagunbun	<i>noun</i><br><ol><li>dust</li></ol>
bahasa	<i>noun</i><br><ol><li>language</li></ol>
bahu	<i>noun</i><br><ol><li>smell; odor</li></ol>
baka	<i>noun</i><br><ol><li>cow</li></ol>
baldi	<i>noun</i><br><ol><li>bucket, pail</li></ol>
balik	<i>verb</i><br><ol><li>to repeat</li></ol>
balu	<i>noun</i><br><ol><li>widow</li></ol>
bana	<i>noun</i><br><ol><li>husband</li></ol>
bangaw|bāngaw	<i>noun</i><br><ol><li>raibow</li></ol>
bangka	<i>noun</i><br><ol><li>a boat; a canoe</li></ol>
bangkay	<i>noun</i><br><ol><li>corpse</li></ol>
bantuk	<i>noun</i><br><ol><li>shape</li></ol>
banyaga'	<i>noun</i><br><ol><li>slave</li></ol>
basa	<i>adj</i><br><ol><li>wet</li></ol>
basag	
bastun	<i>noun</i><br><ol><li>cane, walking stick</li></ol>
bata	<i>noun</i><br><ol><li>child</li></ol>
batu	<i>noun</i><br><ol><li>stone</li></ol>
batung	<i>noun</i><br><ol><li>bean</li></ol>
bay|bāy	<i>noun</i><br><ol><li>house</li></ol>
bayad|magbayad	<i>noun</i><br><ol><li>payment</li></ol><br><i>verb</i><br><ol><li>to pay</li></ol>
bibang	<i>noun</i><br><ol><li>monitor lizard</li></ol>
bigi	<i>noun</i><br><ol><li>seed</li></ol>
