Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
Bacaa	<i>noun</i><br><ol><li>the island of Bacan</li></ol>
Falilat	<i>name</i><br><ol><li>the month of Rabiʽ al-Awwal</li></ol>
Robo|Rabo	<i>noun</i><br><ol><li>Wednesday</li></ol>
Salasa	<i>noun</i><br><ol><li>Tuesday</li></ol>
Saptu	<i>noun</i><br><ol><li>Saturday</li></ol>
Sawal	<i>name</i><br><ol><li>the month of Shawwal</li></ol>
Selong|سيلوڠ	<i>noun</i><br><ol><li>(archaic) Ceylon</li></ol>
Senen	<i>noun</i><br><ol><li>Monday</li></ol>
Tarinate|ترناتي	<i>name</i><br><ol><li>the island of Ternate</li></ol>
Tobaru|تبارو	<i>name</i><br><ol><li>(historical) an administrative district on the west coast of North Halmahera</li><li>a kecamatan in the North Halmahera regency</li></ol>
Todore|تدوري	<i>name</i><br><ol><li>the island of Tidore</li><li>the city of Tidore</li><li>the sultanate of Tidore</li></ol>
Yaba|يابة	<i>name</i><br><ol><li>Ambon</li></ol>
aba	<i>noun</i><br><ol><li>father</li></ol>
abo|foabo|noabo|miabo|oabo|yoabo|toabo|moabo|niabo|iabo	<i>verb</i><br><ol><li>(transitive) to hack off, chop</li></ol>
aca|miaca|iaca|toaca|yoaca|foaca|oaca|moaca|noaca|niaca	<i>verb</i><br><ol><li>(transitive) to sweep</li></ol>
acabu	<i>adv</i><br><ol><li>soon, in a short while</li></ol>
ace	<i>noun</i><br><ol><li>a trace, mark</li></ol>
aci|toaci|miaci|iaci|moaci|foaci|niaci|oaci|noaci|yoaci	<i>verb</i><br><ol><li>(stative) to be torn</li></ol>
aco	<i>noun</i><br><ol><li>a blade</li><li>a kind of spear</li></ol>
adati|adat	<i>noun</i><br><ol><li>tradition</li></ol>
adi|noadi|moadi|miadi|toadi|foadi|oadi|iadi|niadi|yoadi	<i>verb</i><br><ol><li>(intransitive) to change</li></ol><br><i>adv</i><br><ol><li>again</li></ol>
ado|yoado|niado|iado|toado|noado|oado|moado|miado|foado	<i>verb</i><br><ol><li>(intransitive) to arrive</li></ol>
adu	<i>noun</i><br><ol><li>spleen</li></ol>
afa	<i>particle</i><br><ol><li>sentence-final negative imperative particle; do not!</li></ol>
afaafa|iafaafa|niafaafa|yoafaafa|miafaafa|toafaafa|oafaafa|noafaafa|moafaafa|foafaafa	<i>verb</i><br><ol><li>(stative) to be impolite</li></ol>
afu|foafu|moafu|toafu|noafu|miafu|niafu|iafu|yoafu|oafu	<i>noun</i><br><ol><li>Endospermum moluccanum</li></ol><br><i>verb</i><br><ol><li>(transitive) to release, let go</li></ol>
age	<i>noun</i><br><ol><li>the trunk of a tree, tree trunk</li><li>levee, embankment</li></ol>
ago	<i>noun</i><br><ol><li>a kind of root crop</li></ol>
aha	<i>noun</i><br><ol><li>a sago plantation</li></ol>
ahali	<i>noun</i><br><ol><li>one's relatives</li></ol>
ahi|foahi|iahi|noahi|moahi|أهي|miahi|toahi|oahi|niahi|yoahi	<i>noun</i><br><ol><li>skin</li><li>rind</li><li>shell</li><li>cover</li></ol><br><i>verb</i><br><ol><li>to swat</li></ol>
ahu|iahu|toahu|noahu|moahu|oahu|miahu|niahu|foahu|yoahu	<i>verb</i><br><ol><li>(intransitive) to live, grow</li></ol>
ajali	<i>noun</i><br><ol><li>the limit of one's life, one's allotted lifespan</li></ol>
ajimat	<i>noun</i><br><ol><li>a charm, amulet, talisman</li></ol>
aka|toaka|moaka|noaka|iaka|foaka|oaka|niaka|yoaka|miaka	<i>verb</i><br><ol><li>(transitive) to toss, throw</li></ol>
akal	<i>noun</i><br><ol><li>the mind</li></ol>
ake	<i>noun</i><br><ol><li>water</li></ol>
ake sahu|أکي ساهو	<i>noun</i><br><ol><li>tea</li></ol>
akeake|oakeake|miakeake|iakeake|niakeake|moakeake|noakeake|foakeake|yoakeake|toakeake	<i>verb</i><br><ol><li>(stative) to be watery, tasteless, bland</li></ol>
aki	<i>noun</i><br><ol><li>tongue</li></ol>
ako	<i>noun</i><br><ol><li>penis</li></ol>
aku|toaku|niaku|moaku|miaku|yoaku|noaku|oaku|foaku|أكو|iaku	<i>verb</i><br><ol><li>(auxiliary) to be allowed, may</li></ol>
alam	<i>noun</i><br><ol><li>world, universe</li></ol>
ale|toale|noale|yoale|moale|iale|niale|miale|foale|oale	<i>verb</i><br><ol><li>(transitive) to coil</li></ol>
aliali	<i>noun</i><br><ol><li>(jewelry) a ring</li></ol>
alifuru	<i>noun</i><br><ol><li>a barbarian</li><li>the Alfurs</li></ol>
aliguro	<i>noun</i><br><ol><li>the flower Tabernaemontana divaricata</li></ol>
almanio	<i>noun</i><br><ol><li>aluminium</li></ol>
alo|oalo|toalo|moalo|nialo|noalo|foalo|ialo|yoalo|mialo	<i>verb</i><br><ol><li>(stative) to be cold</li></ol>
alus|oalus|moalus|ialus|foalus|nialus|yoalus|mialus|toalus|noalus	<i>verb</i><br><ol><li>(stative) to be smooth</li><li>(stative) to be polite</li><li>(stative) to be refined (culturally)</li></ol>
amalaha|moamalaha|miamalaha|yoamalaha|niamalaha|oamalaha|foamalaha|iamalaha|noamalaha|toamalaha	<i>verb</i><br><ol><li>(stative) to be lucky</li></ol>
amflop	<i>noun</i><br><ol><li>envelope</li></ol>
amo|miamo|oamo|foamo|noamo|toamo|yoamo|iamo|moamo|niamo	<i>noun</i><br><ol><li>the breadfruit tree (Artocarpus altilis)</li></ol><br><i>verb</i><br><ol><li>(stative) to be thick, viscous (of liquids)</li></ol>
ana|na|nga|أن|i	<i>pron</i><br><ol><li>(human groups) third-person plural pronoun, they</li><li>(polite, unknown gender) third-person singular pronoun, he, she, the singular they</li><li>preceding a name, indicates a family or group of people</li></ol>
anga|noanga|oanga|mianga|yoanga|moanga|toanga|foanga|ianga|nianga	<i>verb</i><br><ol><li>(stative) to be cracked</li></ol>
ao	<i>noun</i><br><ol><li>planks for a canoe</li></ol>
aoao|noaoao|iaoao|oaoao|niaoao|miaoao|foaoao|yoaoao|toaoao|moaoao	<i>verb</i><br><ol><li>(transitive) to slice fish</li></ol>
apang	<i>noun</i><br><ol><li>appam</li></ol>
apel	<i>noun</i><br><ol><li>apple</li></ol>
ara	<i>noun</i><br><ol><li>the moon</li><li>calendar</li></ol>
arababu	<i>noun</i><br><ol><li>rabab</li></ol>
are|oare|iare|noare|moare|niare|foare|miare|toare|yoare	<i>verb</i><br><ol><li>(transitive) to scratch</li></ol>
