Capichtlö	<i>name</i><br><ol><li>Yecapixtla (a town in Morelos, Mexico)</li></ol>
Cuabi̱tlixco	<i>name</i><br><ol><li>Cuautlixco (a neighborhood of Cuautla, Morelos, Mexico)</li></ol>
Cuöjtlö	<i>name</i><br><ol><li>Cuautla (a city in Morelos, Mexico)</li></ol>
Huaxtepiec	<i>name</i><br><ol><li>Oaxtepec (a town in Yautepec, Morelos, Mexico)</li></ol>
Miexi̱jco	<i>name</i><br><ol><li>Mexico City (the capital city of Mexico)</li><li>Mexico (a country)</li></ol>
adube|adubes	<i>noun</i><br><ol><li>Adobe.</li></ol>
ajalactli̱	<i>noun</i><br><ol><li>mallow (Malva spp.)</li></ol>
ajtöl|ajtölte	<i>noun</i><br><ol><li>Altar.</li></ol>
alemu|alemunte	<i>noun</i><br><ol><li>lemon</li></ol>
alemuncuabi̱tl	<i>noun</i><br><ol><li>lemon tree</li></ol>
almu	<i>noun</i><br><ol><li>Almud, a unit of volume.</li></ol>
alöxöx|alöxöxte	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
alöxöxcuabi̱tl|alöxöxcuajme	<i>noun</i><br><ol><li>orange tree</li></ol>
alöxöxtla	<i>noun</i><br><ol><li>orange grove</li></ol>
amo	<i>adv</i><br><ol><li>Not, negation.</li></ol>
arus	<i>noun</i><br><ol><li>Rice.</li></ol>
aröro|arörojte	<i>noun</i><br><ol><li>Plough.</li></ol>
asucatl	<i>noun</i><br><ol><li>sugar</li></ol>
baröto	<i>adj</i><br><ol><li>cheap</li></ol>
bendi̱seyu	<i>noun</i><br><ol><li>blessing</li></ol>
bentli̱	<i>noun</i><br><ol><li>(religion) offering</li></ol>
bescomatl	<i>noun</i><br><ol><li>granary</li></ol>
betzca	<i>verb</i><br><ol><li>(intransitive) laugh</li></ol>
bexulutl|bexulume	<i>noun</i><br><ol><li>turkey</li></ol>
beyoli̱	<i>noun</i><br><ol><li>Violin.</li></ol>
bictla	<i>adv</i><br><ol><li>the day after tomorrow</li></ol>
bieyi̱|bejfei̱|bejfeyi̱	<i>adj</i><br><ol><li>big, large</li></ol>
bieyi̱ ojtli̱	<i>noun</i><br><ol><li>highway</li></ol>
bilutl|bilume	<i>noun</i><br><ol><li>a kind of dove</li></ol>
bi̱csi̱c	<i>adj</i><br><ol><li>ripe</li><li>cooked</li></ol>
bi̱jfi̱tzyo	<i>adj</i><br><ol><li>spiny, spined</li></ol>
bi̱tztli̱	<i>noun</i><br><ol><li>thorn</li></ol>
botieya|botieyajte	<i>noun</i><br><ol><li>Bottle.</li></ol>
bute|butejte	<i>noun</i><br><ol><li>can, tin</li></ol>
böca|böcajte	<i>noun</i><br><ol><li>cow</li></ol>
bögre|bögres	<i>noun</i><br><ol><li>Catfish.</li></ol>
cacahuatl	<i>noun</i><br><ol><li>Cacao.</li></ol>
cacatu|cacatotu	<i>noun</i><br><ol><li>toad</li></ol>
cachopi|cachopinte	<i>noun</i><br><ol><li>Spaniard</li></ol>
cactli̱	<i>noun</i><br><ol><li>sandal</li></ol>
cafie	<i>noun</i><br><ol><li>coffee</li></ol>
cafienti̱c|cafienti̱qui̱	<i>adj</i><br><ol><li>brown</li></ol>
cali̱|calte	<i>noun</i><br><ol><li>house</li></ol>
calnielo|calnielojme	<i>noun</i><br><ol><li>sheep</li></ol>
calnielojpi̱xqui̱|calnielojpi̱xcötzi̱tzi	<i>noun</i><br><ol><li>shepherd</li></ol>
calpi̱ntiero|calpi̱ntieros	<i>noun</i><br><ol><li>Woodpecker.</li></ol>
cameyu|cameyunte	<i>noun</i><br><ol><li>truck</li><li>bus</li></ol>
camixajtli̱|camixajme	<i>noun</i><br><ol><li>shirt</li></ol>
canguro	<i>noun</i><br><ol><li>kangaroo</li></ol>
canteliex|canteliexte	<i>noun</i><br><ol><li>rooster</li></ol>
cantiela|cantielajte	<i>noun</i><br><ol><li>candle</li></ol>
caqui̱xtuctli̱	<i>noun</i><br><ol><li>belt, band</li></ol>
caraböto|carabötos	<i>noun</i><br><ol><li>Tick.</li></ol>
carabötotututl|carabötotutume	<i>noun</i><br><ol><li>bronzed cowbird (Molothrus aeneus)</li></ol>
caretu|caretotu	<i>noun</i><br><ol><li>wheel</li></ol>
caribú	<i>noun</i><br><ol><li>Caribou, reindeer.</li></ol>
cariena|carienajte	<i>noun</i><br><ol><li>chain</li></ol>
carucha|caruchajme	<i>noun</i><br><ol><li>pole</li></ol>
casfiela|casfielajte	<i>noun</i><br><ol><li>pot</li></ol>
