.|link=	<i>character</i><br><ol><li>Visual rendering of Morse code for เ.</li></ol>
.--.|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ป.</li></ol>
.--..|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for พ.</li><li>Visual rendering of Morse code for ภ.</li></ol>
.-.|link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ร.</li></ol>
.-.-.|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for +.</li><li>Visual rendering of Morse code for ◌๋.</li></ol>
.-..|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ล.</li><li>Visual rendering of Morse code for ฬ.</li></ol>
.-...|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ะ.</li></ol>
..|link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ◌ี.</li></ol>
..--.|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ◌ึ.</li></ol>
..-.|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ฟ.</li></ol>
..-..|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ◌ิ.</li></ol>
...|link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ศ.</li><li>Visual rendering of Morse code for ษ.</li><li>Visual rendering of Morse code for ส.</li></ol>
...-.|link=link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ำ.</li></ol>
....|link=link=link=link=	<i>character</i><br><ol><li>Visual rendering of Morse code for ห.</li></ol>
555|hâa-hâa-hâa	<i>intj</i><br><ol><li>(Internet slang) LOL</li></ol>
ka	<i>romanization</i><br><ol><li>Romanization of ค่ะ</li></ol>
kha	<i>romanization</i><br><ol><li>Romanization of ค่ะ</li></ol>
krap	<i>romanization</i><br><ol><li>Romanization of ครับ</li></ol>
ก|gɔɔ	<i>character</i><br><ol><li>gɔɔ gài (ก ไก่), the first consonant letter of the Thai alphabet</li></ol>
ก กา|gɔɔ-gaa	<i>noun</i><br><ol><li>(grammar) (แม่~, มาตรา~) a group of words/syllables without ending consonant, including ones that spell with -ำ, ใ-, ไ-, and เ-า.</li></ol>
ก.|gɔɔ	<i>noun</i><br><ol><li>Initialism of กรัม (gram).</li><li>(dictionary) Initialism of กริยา (grì-yaa).</li></ol>
ก.ค.|gɔɔ-kɔɔ	<i>name</i><br><ol><li>Initialism of กรกฎาคม (gà-rá-gà-daa-kom, “July”).</li></ol>
ก.พ.|gɔɔ-pɔɔ	<i>name</i><br><ol><li>Initialism of กุมภาพันธ์ (gum-paa-pan, “February”).</li><li>Initialism of คณะกรรมการข้าราชการพลเรือน (ká-ná-gam-má-gaan-kâa-râat-chá-gaan-pon-lá-rʉʉan, “Civil Service Commission”).</li></ol>
ก.ย.|gɔɔ-yɔɔ	<i>name</i><br><ol><li>Initialism of กันยายน (gan-yaa-yon, “September”).</li></ol>
กก|gòk	<i>noun</i><br><ol><li>reed (plant).</li><li>base.</li><li>(grammar) (แม่~, มาตรา~) a group of words/syllables ending with -k sound.</li></ol>
