༁|gter yig mgo a chung	<i>name</i><br><ol><li>Truncated form of letter 'a chung' (ཨ་ཆུང), the specific terma head mark (Unicode 0F01: ༁). The name of the sign in the Tibetan script is written thus: གཏེར་ཡིག་མགོ་ཨ་ཆུང.</li></ol>
༂|gter yig mgo um rnam bcad ma	<i>name</i><br><ol><li>A terma head mark (Unicode 0F02: ༂). In the Tibetan script the sign is known thus: གཏེར་ཡིག་མགོ་ཨུམ་རྣམ་བཅད་མ</li></ol>
༃|gter yig mgo um gter tsheg ma	<i>name</i><br><ol><li>The terma head mark (Unicode 0F03: ༃). The specific name of the sign is གཏེར་ཡིག་མགོ་ཨུམ་གཏེར་ཚེག་མ.</li></ol>
༄	<i>symbol</i><br><ol><li>An honorific head mark which heralds the beginning of text or commencement of a new folio. In Tibetan it is called ཡིག་མགོ་མདུན་མ (yig mgo mdun ma).</li></ol>
༅|yig mgo sgab ma	<i>name</i><br><ol><li>A Tibetan mark (Unicode 0F05: ༅) that closes the head marks with which it ligates. The name for this sign in the Tibetan script is ཡིག་མགོ་སྒབ་མ (yig mgo sgab ma).</li></ol>
༇|yig mgo tsheg shad ma	<i>symbol</i><br><ol><li>An ornamental translingual mark (Unicode 0F07: ༇), the ཡིག་མགོ་ཚེག་ཤད་མ.</li></ol>
་	<i>symbol</i><br><ol><li>ཚེག (tsheg), the syllable separator of the Tibetan abugida</li></ol>
༌	
༠	<i>num</i><br><ol><li>0 (zero)</li></ol>
༡|gcig	<i>num</i><br><ol><li>1 (one)</li></ol>
༢|gnyis	<i>num</i><br><ol><li>2 (two)</li></ol>
༣|gsum	<i>num</i><br><ol><li>3 (three)</li></ol>
༤|bzhi	<i>num</i><br><ol><li>4 (four)</li></ol>
༥|lnga	<i>num</i><br><ol><li>5 (five)</li></ol>
༦|drug	<i>num</i><br><ol><li>6 (six)</li></ol>
༧|bdun	<i>num</i><br><ol><li>7 (seven)</li></ol>
༨|brgyad	<i>num</i><br><ol><li>8 (eight)</li></ol>
༩|dgu	<i>num</i><br><ol><li>9 (nine)</li></ol>
༱	<i>num</i><br><ol><li>7½ (seven and a half)</li></ol>
༼|ang khang gyon	<i>punct</i><br><ol><li>left brace (used in ༼ ༽)</li></ol>
༽|ang khang gyas	<i>punct</i><br><ol><li>right brace (used in ༼ ༽)</li></ol>
ཀ|ka	<i>character</i><br><ol><li>ka, first letter of the Tibetan abugida</li></ol>
ཀ་ཀ|ka ka	<i>noun</i><br><ol><li>crow, raven</li></ol>
ཀ་ཀ་ནི|ka ka ni	<i>noun</i><br><ol><li>small coin of ancient india</li></ol>
ཀ་ཀོ་ལ|ka ko la	<i>noun</i><br><ol><li>black cardamom (Amomum subulatum)</li><li>Chinese cardamom (Lanxangia tsaoko)</li></ol>
ཀ་ཀྲ་ལ|ka kra la	<i>noun</i><br><ol><li>knife</li></ol>
ཀ་ཁ|ka kha	<i>noun</i><br><ol><li>alphabet (chiefly the Tibetan alphabet)</li></ol>
ཀ་ཁུ་བྷ་ཡ|ka khu bha ya	<i>noun</i><br><ol><li>Terminalia arjuna</li></ol>
ཀ་གཉིས་པ|ka gnyis pa	<i>noun</i><br><ol><li>raven</li></ol>
ཀ་ཏ་མན་ཏུ|Kataméntu	<i>name</i><br><ol><li>Kathmandu (the capital of Nepal)</li></ol>
ཀ་ན|ka na	<i>name</i><br><ol><li>Ghana (a country in Africa)</li></ol>
ཀ་པཱ་ལ|ཀ་པ་ལ|ka pa la|ka pā la	<i>noun</i><br><ol><li>kapala (cup made from a human skull used as a ritual implement)</li></ol>
ཀ་བ|ka ba	<i>noun</i><br><ol><li>pillar, column, pole, post</li></ol>
ཀ་ར|ka ra	<i>noun</i><br><ol><li>sugar</li><li>tent pole</li></ol>
ཀ་རན་ད|ka ran da	<i>noun</i><br><ol><li>duck</li></ol>
ཀ་རུ|ka ru	<i>noun</i><br><ol><li>wedge</li><li>white</li><li>barley</li></ol>
ཀ་ལག|ka lag	<i>noun</i><br><ol><li>mud</li></ol>
ཀ་ཤི་མིར|ksmir|ཀསྨིར|ka shi mir	<i>name</i><br><ol><li>Kashmir</li></ol>
ཀན་མ|kan ma	<i>noun</i><br><ol><li>middle finger</li></ol>
ཀཛ་ཀིསུ་གཏན|kadz kisu gtan	<i>name</i><br><ol><li>Kazakhstan (a country in Asia)</li></ol>
ཀར|kar	<i>noun</i><br><ol><li>sugar</li></ol>
ཀི་རི་བ་ཏི|ki ri ba ti	<i>name</i><br><ol><li>Kiribati (a country in Oceania)</li></ol>
ཀིབ|kib	<i>name</i><br><ol><li>Kiev (the capital of Ukraine)</li></ol>
ཀུ་བ|ku ba	<i>name</i><br><ol><li>Cuba (a country in North America)</li></ol>
ཀུ་མུད|ku mud	<i>noun</i><br><ol><li>water lily, white lotus</li></ol>
ཀུ་ལིག|ku lig	<i>noun</i><br><ol><li>key; lock</li></ol>
ཀུ་ཤུ|ku shu	<i>noun</i><br><ol><li>apple</li></ol>
ཀུང་ཀུང་ཆིའི་ཁྲེ|kung kung chi'i khre	<i>noun</i><br><ol><li>bus</li></ol>
ཀུང་སི|kung si	<i>noun</i><br><ol><li>company</li></ol>
ཀུན|kun	<i>adj</i><br><ol><li>all, every, each</li></ol>
ཀུན་པོ|kun po	<i>det</i><br><ol><li>each</li><li>all</li></ol>
ཀུམ་བི་ར|kum bi ra	<i>noun</i><br><ol><li>crocodile</li></ol>
