ሃረመ|ሃሪምክን|ሃሪምና|ኣይትህርም|እህርም|ህርሚ|ሃረምክን|ትሃርም|məhram|ሃሪማ|ሃረምኩ|ንሃርም|ይሃርም|ሃሪሞም|ትሃርሚ|ህርማ|ሃረመት|ትህርሚ|እሃርም|ህርሙ|ይህርማ|ኣይትህርማ|ሃረምኪ|ሃሪምኪ|ምህራም|ይህርሙ|ሃሪምን|ትሃርሙ|ትህርሙ|ኣይትህርሚ|ይህርም|ሃሪምኩም|ትህርም|harämä|ሃረምና|ሃረሙ|ሃረምኩም|ትሃርማ|ሃረማ|ሃሪምካ|ኣይትህርሙ|ንህርም|ትህርማ|ህርም|ሃረምካ|ሃሪመ|ሃሪሙ|ይሃርሙ	<i>verb</i><br><ol><li>to beat</li></ol>
ሃብቲ|habti	<i>noun</i><br><ol><li>wealth</li></ol>
ሃብታም|habtam	<i>adj</i><br><ol><li>rich</li></ol>
ሃቦብላ|habobla	<i>noun</i><br><ol><li>hurricane</li></ol>
ሃካይ|hakay	<i>adj</i><br><ol><li>lazy</li></ol>
ሃዘዘ|ኣይትህዝዝ|ትህዝዝ|ሃዘዝካ|ትሃዝዛ|ኣይትህዝዙ|ህዝዚ|ትሃዝዝ|ኣይትህዝዛ|ህዝዙ|ይህዝዝ|ኣይትህዝዚ|ሃዚዝክን|ሃዚዝኪ|ሃዘዝኪ|ሃዘዝኩም|ሃዘዙ|ሃዚዝካ|ይህዝዙ|ሃዚዝና|ህዝዝ|ትሃዝዚ|ሃዘዝና|məhzaz|እህዝዝ|ሃዚዘ|ሃዚዝኩም|ሃዘዝኩ|hazäzä|ሃዚዙ|እሃዝዝ|ይህዝዛ|ህዝዛ|ሃዘዝክን|ይሃዝዙ|ምህዛዝ|ትህዝዙ|ይሃዝዝ|ንህዝዝ|ሃዘዛ|ሃዚዝን|ሃዘዘት|ንሃዝዝ|ሃዚዛ|ትሃዝዙ|ሃዚዞም|ትህዝዛ|ትህዝዚ	<i>verb</i><br><ol><li>to fade (colour)</li></ol>
ሃደመ|ትህድም|ሃዲምን|ሃዲምክን|ትሃድም|ይሃድሙ|ኣይትህድሙ|ሃደምኪ|ይህድም|ትህድሙ|ትህድሚ|hadämä|እህድም|ሃደምክን|ኣይትህድም|ይህድማ|ሃዲምካ|ህድማ|ሃደመት|ትሃድሙ|məhdam|ሃዲምኩም|ህድም|ሃደምና|ሃደምካ|ንሃድም|ትሃድማ|ኣይትህድሚ|ትሃድሚ|ኣይትህድማ|ይሃድም|ህድሙ|ህድሚ|ሃዲሞም|ይህድሙ|ሃዲምኪ|ሃደማ|እሃድም|ትህድማ|ሃዲምና|ሃደምኩ|ሃደሙ|ምህዳም|ንህድም|ሃደምኩም|ሃዲመ|ሃዲማ|ሃዲሙ	<i>verb</i><br><ol><li>to escape</li></ol>
ሃገራዊ|hagärawi	<i>adj</i><br><ol><li>national</li></ol>
ሃገር|hagär	<i>noun</i><br><ol><li>land</li></ol>
ህለል|həläl	<i>noun</i><br><ol><li>new moon</li></ol>
ህርፊ|hərfi	<i>noun</i><br><ol><li>greed, gluttony</li></ol>
ህበይ|həbäy|ኣህባይ	<i>noun</i><br><ol><li>monkey</li></ol>
ህጻን|həṣan	<i>noun</i><br><ol><li>baby</li><li>child</li></ol>
ለምጺ|lämṣi	<i>noun</i><br><ol><li>leprosy</li></ol>
ለምጻም|lämṣam	<i>adj</i><br><ol><li>leprous</li></ol>
ለቕለቐ|məlḳʰəlaḳʰ|ትለቕልቓ|ይለቕልቕ|ኣይትልቕልቓ|ለቕሊቕን|läḳʰläḳʰä|ልቕልቓ|ትልቕልቕ|ኣይትልቕልቒ|ለቕሊቓ|ለቕለቕና|ለቕሊቖም|ለቕለቑ|ለቕለቕኪ|ይልቕልቓ|ለቕሊቕና|ይለቕልቑ|እልቕልቕ|ለቕሊቑ|ልቕልቒ|ለቕሊቕኩም|ትልቕልቓ|ለቕሊቕካ|ኣይትልቕልቕ|ትለቕልቒ|ለቕሊቕኪ|ለቕሊቐ|ለቕሊቕክን|ለቕለቓ|ይልቕልቑ|ለቕለቕኩ|ምልቕላቕ|ለቕለቕክን|ለቕለቕካ|ኣይትልቕልቑ|ይልቕልቕ|ትልቕልቑ|ንለቕልቕ|ትለቕልቑ|ትልቕልቒ|እለቕልቕ|ንልቕልቕ|ልቕልቑ|ለቕለቕኩም|ልቕልቕ|ትለቕልቕ|ለቕለቐት	<i>verb</i><br><ol><li>to smear</li><li>to paint</li></ol>
ለበመ|ለቢምኩም|ምልባም|ትልብሚ|ይለብም|läbämä|ለበመት|ኣይትልብሙ|ንልብም|ልብማ|ይልብሙ|ለበምኪ|ትለብማ|ለበምና|ትልብሙ|ለበምኩም|ይለብሙ|ትለብም|ኣይትልብሚ|ለቢምኪ|ለቢሙ|እልብም|ኣይትልብማ|ለቢምን|ለበምክን|ለቢመ|ልብሚ|ልብሙ|ትልብም|ለቢሞም|ለቢምክን|ለቢምካ|ለበምኩ|ለበሙ|ትልብማ|ኣይትልብም|ትለብሙ|ለቢማ|እለብም|ለቢምና|ትለብሚ|ይልብም|ይልብማ|ለበማ|ልብም|ለበምካ|ንለብም	<i>verb</i><br><ol><li>to make wiser</li></ol>
ለበዳ|läbäda	<i>noun</i><br><ol><li>pestilence, plague, epidemic</li></ol>
ለካቲት|läkkatit	<i>noun</i><br><ol><li>February</li></ol>
ለወሰ|ይልወሱ|ለወሳ|ይልወስ|ለዊስካ|ንልወስ|ትልወሱ|ይልወሳ|ልወሲ|ለወስካ|ልወስ|ለዊስኩም|ትለሳ|ለዊስክን|ለዊሶም|ኣይትልወሳ|ለዊሰን|ለዊስና|ልወሱ|ትልወሳ|ኣይትልወሲ|ንለውስ|ኣይትልወሱ|ለወሱ|läwäsä|ለዊሱ|ምልዋስ|ለወስክን|ትልወሲ|ልወሳ|እለውስ|ትለሲ|ትለሱ|ለዊሳ|ለወሰት|ትልወስ|ይለሳ|ለወስና|ይለሱ|ለዊስኪ|ለወስኩ|ይለውስ|ለወስኩም|ትለውስ|ኣይትልወስ|እልወስ|ለዊሰ|ለወስኪ	<i>verb</i><br><ol><li>to knead</li></ol>
ለውዝ|läwz	<i>noun</i><br><ol><li>almond</li></ol>
ለይቲ|läyti	<i>noun</i><br><ol><li>night</li></ol>
ለፈፈ|läfäfä|ንልፍፍ|ይለፍፍ|ለፊፍኩም|ለፊፎም|ትለፍፍ|ትልፍፉ|እለፍፍ|ለፊፉ|ይልፍፋ|ኣይትልፍፍ|ትለፍፉ|ለፈፉ|ልፍፋ|ምልፋፍ|ለፈፍክን|ለፊፍና|ለፈፋ|ለፊፋ|ኣይትልፍፉ|ልፍፊ|ንለፍፍ|ለፊፈ|ለፈፍኩም|እልፍፍ|ለፊፍክን|ኣይትልፍፋ|ለፈፍና|ትለፍፋ|ልፍፉ|ይልፍፉ|ለፊፍካ|ለፈፈት|məlfaf|ለፈፍኪ|ትልፍፋ|ለፊፍኪ|ልፍፍ|ለፈፍካ|ይለፍፉ|ትልፍፍ|ለፊፍን|ለፈፍኩ|ትልፍፊ|ትለፍፊ|ይልፍፍ|ኣይትልፍፊ	<i>verb</i><br><ol><li>to finish</li></ol>
ለፍላፋ|läflafa	<i>adj</i><br><ol><li>talkative, gossipy</li></ol>
ሉል|lul	<i>noun</i><br><ol><li>pearl</li><li>bead</li></ol>
ሉሕ|luḥ	<i>noun</i><br><ol><li>plank of wood</li></ol>
ሊቅ|liq	<i>noun</i><br><ol><li>educated person</li><li>scientist</li></ol>
ሊን|lin	<i>noun</i><br><ol><li>slime</li><li>mud</li></ol>
ሊፍ|lif	<i>noun</i><br><ol><li>filter</li></ol>
ላም|lam	<i>noun</i><br><ol><li>cow</li></ol>
ላምባ|lamba	<i>noun</i><br><ol><li>kerosene</li></ol>
ልሕጺ|ləḥṣi	<i>noun</i><br><ol><li>bark</li></ol>
ልሳን|ləsan	<i>noun</i><br><ol><li>language</li><li>tongue</li></ol>
ልቢ|lǝbbi	<i>noun</i><br><ol><li>heart</li></ol>
ልጓም|ləgʷam	<i>noun</i><br><ol><li>bridle</li></ol>
ሎሚ|lomi	<i>adv</i><br><ol><li>today</li></ol><br><i>noun</i><br><ol><li>lime, lemon, citrus</li></ol>
ሑጻ|ḥuṣa	<i>noun</i><br><ol><li>sand</li></ol>
ሒነ|hinä	<i>noun</i><br><ol><li>revenge, vengeance</li></ol>
ሓሙስ|ḥamus	<i>noun</i><br><ol><li>Thursday</li></ol>
ሓሙሽተ|ḥammuštä|ኃሙሽተ|ḫamuštä	<i>num</i><br><ol><li>five</li></ol>
ሓሙኹሽታይ|ḥamuxuštay	<i>adj</i><br><ol><li>gray</li></ol>
ሓምለ|hamlä	<i>noun</i><br><ol><li>July</li></ol>
ሓምሳ|ḥamsa|ḫamsa|ኃምሳ	<i>num</i><br><ol><li>fifty</li></ol>
ሓረሰ|ትሓርሱ|ትሓርስ|ኣይትሕርሲ|ሓረስኩ|ḥaräsä|ይሕርሳ|ሓሪሰ|ይሓርሱ|ኣይትሕርሳ|ትሕርሳ|ሓረስና|ሓረስካ|ሓሪሳ|ንሕርስ|ሓረስኪ|ትሓርሳ|ንሓርስ|ትሕርሲ|ሓሪስክን|ሓረሳ|ኣይትሕርሱ|ሓረስክን|ሓረሰት|ምሕራስ|ሓሪስና|ኣይትሕርስ|ሓሪስን|ሕርሳ|ትሓርሲ|ይሓርስ|ሕርሲ|ሓሪስኩም|ሕርስ|እሕርስ|ሓረሱ|ሓሪስካ|ይሕርስ|ይሕርሱ|ትሕርሱ|ሕርሱ|ሓሪሱ|ሓሪስኪ|ሓሪሶም|እሓርስ|ሓረስኩም|ትሕርስ	<i>verb</i><br><ol><li>to plough, to farm</li></ol>
ሓረስታይ|ሓረስቶት|harästay	<i>noun</i><br><ol><li>farmer</li></ol>
ሓረደ|ሓረድኩ|ሓረደት|ሓሪድን|ሓሪድና|ሓሪዳ|ትሕርዱ|ንሓርድ|ሓሪድካ|እሕርድ|ንሕርድ|ይሓርዱ|ሕርዲ|ሓረዱ|ትሕርዲ|ሓረድካ|ትሓርዲ|ትሓርዳ|ሓረድና|ኣይትሕርድ|ሓረዳ|ምሕራድ|ይሕርድ|ይሕርዱ|ሕርድ|ይሓርድ|እሓርድ|ትሓርድ|ሓረድኩም|ḥarädä|ይሕርዳ|ትሕርዳ|ትሕርድ|ትሓርዱ|ሕርዳ|ሓረድኪ|ኣይትሕርዳ|ሓሪደ|ኣይትሕርዲ|ሓሪዱ|ሓረድክን|ሓሪድኪ|ሓሪድኩም|ሓሪዶም|ሕርዱ|ኣይትሕርዱ|məḥrad|ሓሪድክን	<i>verb</i><br><ol><li>to slaughter</li></ol>
ሓርማዝ|ḥarmaz	<i>noun</i><br><ol><li>elephant</li></ol>
ሓርነት|ḥarənnät	<i>noun</i><br><ol><li>freedom</li></ol>
ሓርኢ|ḥarʾi	<i>noun</i><br><ol><li>poop, shit</li></ol>
ሓርገሽ|ሓርገጽ|hargäṣ	<i>noun</i><br><ol><li>crocodile</li></ol>
ሓብቲ|ኣሓት|ḥabti	<i>noun</i><br><ol><li>sister</li></ol>
ሓተመ|እሕትም|ትሓትሚ|məḥtam|ኣይትሕትማ|ሓተምና|ሕትሚ|ሓተመት|ይሕትማ|ሓቲሙ|ይሕትሙ|ይሕትም|ሓተምኩ|ትሕትማ|ሓተምኪ|ትሕትሚ|ይሓትም|ሓቲማ|ሓቲምካ|ምሕታም|ሓቲምን|ትሓትማ|ትሓትሙ|ይሓትሙ|ንሕትም|ኣይትሕትም|ሓተምክን|ትሕትሙ|ሓቲምኩም|ትሕትም|ሓቲመ|እሓትም|ኣይትሕትሙ|ሓቲምኪ|ሓተሙ|ḥatämä|ሓተምኩም|ሓተማ|ሓቲምና|ንሓትም|ሕትም|ሕትሙ|ሕትማ|ትሓትም|ኣይትሕትሚ|ሓቲምክን|ሓቲሞም|ሓተምካ	<i>verb</i><br><ol><li>to print</li></ol>
ሓዊ|ḥawwi	<i>noun</i><br><ol><li>fire</li></ol>
ሓው|ḥaw|ḥawä|ኣሕዋት|ሓወ	<i>noun</i><br><ol><li>brother</li></ol>
ሓውቲ|ḥawti	<i>noun</i><br><ol><li>sister</li></ol>
ሓዘነ|ሓዘና|ንሓዝን|ሓዚነ|ሕዝኒ|ሓዚኖም|ሓዚንኪ|ሓዘንኪ|ሓዚና|ትሓዝኑ|ኣይትሕዝኑ|ሓዚንና|ሓዚንኩም|ትሕዝና|ይሓዝን|ሕዝና|ሓዘኑ|ይሓዝኑ|ሓዘንና|ምሕዛን|ሓዚንካ|ትሓዝን|ሕዝን|ሕዝኑ|እሕዝን|ይሕዝን|ሓዘንኩ|ትሓዝኒ|ትሕዝኒ|ሓዘንካ|ንሕዝን|ትሕዝን|ሓዚኑ|ሓዚንን|ትሓዝና|ሓዘንክን|ኣይትሕዝን|ኣይትሕዝኒ|ሓዚንክን|ትሕዝኑ|ሓዘንኩም|ይሕዝና|ሓዘነት|ኣይትሕዝና|ḥazänä|ይሕዝኑ|məḥzan|እሓዝን	<i>verb</i><br><ol><li>to grieve</li></ol>
ሓደ|ḥadä	<i>num</i><br><ol><li>one</li></ol>
ሓዲስ|ḥaddis	<i>adj</i><br><ol><li>new</li></ol>
ሓዳስ|ḥaddas	<i>adj</i><br><ol><li>new</li></ol>
ሕልሚ|ḥəlmi	<i>noun</i><br><ol><li>dream</li></ol>
ሕልና|ḥəlna	<i>noun</i><br><ol><li>conscience</li></ol>
ሕሙም|ḥəmum	<i>adj</i><br><ol><li>sick</li></ol>
ሕማቕ|ḥəmmaḳʰ	<i>adj</i><br><ol><li>bad</li></ol>
ሕፃን|ḥəṣan	<i>noun</i><br><ol><li>infant</li><li>child</li></ol>
መልሓስ|mälḥas	<i>noun</i><br><ol><li>(anatomy) tongue</li></ol>
መልሲ|mälsi	<i>noun</i><br><ol><li>answer</li></ol>
መልኣኽ|mälʾax	<i>noun</i><br><ol><li>angel</li></ol>
መመርመሪ|mämärmäri	<i>noun</i><br><ol><li>test; tool used for confirming a pregnancy or an infection</li></ol>
መረኸ|መረኹ|märäxä|ትምረኻ|ምረኻ|መሪኹ|ትምረኹ|ምምራኽ|መረኽኪ|ንመርርኽ|መሪኽና|ምረኺ|መረኸት|ይምረኹ|ትመርርኽ|ትመርኹ|ይምረኽ|ምረኹ|መሪኽኩም|እምረኽ|መሪኸን|ኣይትምረኽ|ይመርኹ|መረኽኩ|መሪኽካ|ትምረኺ|መሪኾም|ምረኽ|məmrax|መረኽክን|ኣይትምረኺ|መረኽና|ይመርኻ|መሪኽክን|ንምረኽ|ትመርኺ|መሪኸ|እመርርኽ|ይምረኻ|መሪኻ|ይመርርኽ|መሪኽኪ|መረኻ|መረኽኩም|መረኽካ|ትመርኻ|ኣይትምረኹ|ኣይትምረኻ|ትምረኽ	<i>verb</i><br><ol><li>to capture</li></ol>
መርሓባ|märḥaba	<i>intj</i><br><ol><li>hello, hi</li></ol>
መርበብ|märbäb	<i>noun</i><br><ol><li>fishing net</li></ol>
መርከብ|märkäb	<i>noun</i><br><ol><li>boat</li></ol>
መርዚ|märəzi	<i>noun</i><br><ol><li>poison</li></ol>
መርዛም|märzam	<i>adj</i><br><ol><li>poisonous</li></ol>
መሰጕፍ|mäsägwefə	<i>noun</i><br><ol><li>a wild sage, perhaps Salvia aethiopis, Salvia nilotica, or Salvia schimperi</li></ol>
መስተዋድድ|mäsətäwadədə	<i>noun</i><br><ol><li>preposition</li></ol>
መስከረ|ምምስካር|ትመስክራ|ኣይትምስክሩ|እመስክር|ትምስክራ|መስከርኪ|ኣይትምስክራ|መስከርክን|መስከርካ|መስኪርና|ንመስክር|ምስክሪ|መስከርና|ምስክር|ትመስክሩ|መስከርኩ|መስከራ|መስኪረ|እምስክር|ምስክራ|መስኪሮም|መስኪርን|መስኪሩ|ንምስክር|መስከርኩም|ትመስክር|mäskärä|ይመስክር|መስኪርኩም|ትመስክሪ|ይመስክሩ|መስከረት|ይምስክራ|መስከሩ|ትምስክሩ|məmsəkar|መስኪርክን|መስኪራ|ይምስክሩ|መስኪርካ|ኣይትምስክሪ|መስኪርኪ|ምስክሩ|ኣይትምስክር|ትምስክር|ይምስክር|ትምስክሪ	<i>verb</i><br><ol><li>to testify</li></ol>
መስከረም|mäsəkärämə	<i>noun</i><br><ol><li>September</li></ol>
መሸላ|mäšäla	<i>noun</i><br><ol><li>sorghum</li></ol>
መቕጠፊ	<i>noun</i><br><ol><li>scissors</li></ol>
መብራህቲ|mäbrahti	<i>noun</i><br><ol><li>electric light</li></ol>
መን|män	<i>pron</i><br><ol><li>who</li></ol>
መንበር|mänəbärə	<i>noun</i><br><ol><li>chair</li><li>seat</li><li>altar</li></ol>
መንከስ|mänəkäsə	<i>noun</i><br><ol><li>chin</li></ol>
መንገዲ|mänəgädi	<i>noun</i><br><ol><li>road</li></ol>
መኽዘን|mäxzän	<i>noun</i><br><ol><li>storeroom, warehouse, cellar, granary</li></ol>
መኽደኒ|mähədäni	<i>noun</i><br><ol><li>cover</li></ol>
መዓልቲ|mäʾaləti	<i>noun</i><br><ol><li>day</li></ol>
መዓንጣ	<i>noun</i><br><ol><li>intestine</li></ol>
መዘነ|mäzänä|conjugation ይመዝን	<i>verb</i><br><ol><li>to weigh</li></ol>
መዘወር|mäzäwärə	<i>noun</i><br><ol><li>wheel</li><li>machine</li></ol>
መዲድ|mädidə	<i>noun</i><br><ol><li>grindstone</li></ol>
መድፍዕ|mädfəʿ	<i>noun</i><br><ol><li>cannon</li></ol>
መጋቢት|mägabitə	<i>noun</i><br><ol><li>March</li></ol>
መጽሓፍ|mäṣḥaf	<i>noun</i><br><ol><li>book</li></ol>
መፍለስ|mäfläs	<i>noun</i><br><ol><li>warthog</li></ol>
ሙዝ|muz	<i>noun</i><br><ol><li>banana</li></ol>
ሚኒስትሪ|ministəri	<i>noun</i><br><ol><li>ministry (of government)</li></ol>
ሚእቲ|miʾti	<i>num</i><br><ol><li>hundred</li></ol>
ሚዛን|mizan	<i>verb</i><br><ol><li>balance, scales</li></ol>
ሚያዝያ|miyazəya	<i>noun</i><br><ol><li>April</li></ol>
ማል|malə	<i>noun</i><br><ol><li>herd (of cattle)</li></ol>
ማእለያ|maʾläyya	<i>noun</i><br><ol><li>limit, cutoff.</li></ol>
ማእለያ ዘይብሉ|maʾläyya zäybəllu	<i>adj</i><br><ol><li>countless, numerous, endless, vast</li></ol>
ማኪና|መካይን|makkina|mäkayn	<i>noun</i><br><ol><li>car, automobile</li></ol>
ማዕጾ|maʾəs'o	<i>noun</i><br><ol><li>door</li></ol>
ማይ|may	<i>noun</i><br><ol><li>water</li></ol>
ምህላው|məhlaw	<i>verb</i><br><ol><li>to be</li></ol>
ምህርቲ|məhrəti	<i>noun</i><br><ol><li>harvest, crop</li></ol>
ምህሮ|məhro	<i>noun</i><br><ol><li>teaching</li></ol>
ምልዖ|məlʿo	<i>noun</i><br><ol><li>mountain plum (Ximenia americana)</li></ol>
ምልጻይ|məlṣay	<i>verb</i><br><ol><li>to shave</li></ol>
