Ambara	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Amrtarakṣita	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Amrtasena	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Araṅkule	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Araṇemi	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Armoki	<i>name</i><br><ol><li>a river</li></ol>
Artadhane	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Arthadarśi	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Aruṇāvati	<i>name</i><br><ol><li>the name of a city</li></ol>
Arṇyārtate	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Atakke	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Ayardhyāme	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Aśleṣ	<i>name</i><br><ol><li>Cancer (constellation)</li></ol>
Aśokamitre	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Aśokarakṣita	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Aśviṇi	<i>name</i><br><ol><li>Aries (constellation)</li></ol>
Aṣärte	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
El	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Etriṣe	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Ettukāne	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Eṣmiñe	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Indradamake	<i>name</i><br><ol><li>given name of a Buddha</li></ol>
Indradhvaje	<i>name</i><br><ol><li>given name of a Buddha</li></ol>
Indratewe	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Iśśapake	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kercapiśke|Kercawiśke	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kercäpey|Kercaṃpey	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kerdipole	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kerentsile	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kereptaññe	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kertik	<i>name</i><br><ol><li>(astronomy) the Pleiades star cluster</li></ol>
Kimña	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kippā	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Konaikke	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Konmaikaṅkauśke	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Koppesale	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kotile	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Krakasūndin|Krakasūndi	<i>name</i><br><ol><li>name of a Buddha</li></ol>
Kulkera	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kullai	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kunacaṃttrakau	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kuwa	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Käwotsiñe	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kāś	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Kāśyap	<i>name</i><br><ol><li>(Buddhism) Kassapa (the name of the 27th of 27 named Buddhas immediately preceding Gautama)</li></ol>
Kāśyape	<i>name</i><br><ol><li>(Buddhism) Maha Kassapa, one of Ten Principal Disciples of Gautama Buddha</li></ol>
Oktale	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Pañäkte	<i>noun</i><br><ol><li>Buddha</li></ol>
Udānalaṅkār	<i>name</i><br><ol><li>a Buddhist work</li></ol>
Udāyin	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Upaga	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Upatiṣya	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Upoṣathe	<i>name</i><br><ol><li>name of a god</li></ol>
Upāli	<i>name</i><br><ol><li>Upāli, one of the ten disciples of the Buddha</li></ol>
Urbilvakāśyapa	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Uttarakur	<i>name</i><br><ol><li>Uttarakuru, a geographical area mentioned in ancient Indian and classical texts</li><li>Any northern area (as Uttarakuru was generally considered to be the region vaguely to the north of India, a meaning expanded when the word was borrowed by the Tocharians)</li></ol>
Uttaraphalguṇi	<i>name</i><br><ol><li>(astronomy) Uttara Phalgunī, the twelfth of 27 nakshatras in Hindu astronomy, corresponding to Denebola (β Leonis) in the Leo constellation.</li></ol>
Uwāṣṣi	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Ylaiñäkte|Ilaiñakte	<i>name</i><br><ol><li>Indra</li></ol>
abhijñä	<i>noun</i><br><ol><li>higher knowledge</li></ol>
abhinai	<i>verb</i><br><ol><li>to represent dramatically</li></ol>
abhinaiṣṣe	<i>adj</i><br><ol><li>having to do with representing dramatically</li></ol>
abhiprāy	<i>noun</i><br><ol><li>intention</li></ol>
abhisamai	<i>noun</i><br><ol><li>understanding</li></ol>
abhyantarakālp	<i>adj</i><br><ol><li>intermediate age, middle aged</li></ol>
abhyākhyām	<i>noun</i><br><ol><li>false or baseless accusation</li></ol>
acalasuttär	<i>noun</i><br><ol><li>acalasutra (a kind of salve)</li></ol>
acirne	<i>noun</i><br><ol><li>lack of digestion; indigestion</li></ol>
acār|ācār	<i>noun</i><br><ol><li>propriety, rule</li></ol>
acāräṣṣe	<i>adj</i><br><ol><li>pertaining to propriety</li></ol>
adhiṣṭhit	<i>verb</i><br><ol><li>to take control over, particularly magically.</li></ol>
adhyāśai	<i>noun</i><br><ol><li>disposition</li></ol>
agamadhare	<i>noun</i><br><ol><li>A person holding a religious position</li></ol>
agradharma	<i>noun</i><br><ol><li>foremost law</li></ol>
agrakulike	<i>noun</i><br><ol><li>Someone from a prominent family</li></ol>
aikare	<i>adj</i><br><ol><li>empty</li></ol>
aikaräññe	<i>noun</i><br><ol><li>emptiness</li></ol>
aikarñeṣṣe	<i>adj</i><br><ol><li>pertaining to emptiness</li></ol>
aikatte	<i>adj</i><br><ol><li>indestructible</li></ol>
aikatñe	<i>noun</i><br><ol><li>indestructibility</li></ol>
aikemanetstse	<i>adj</i><br><ol><li>knowing</li></ol>
aikne	<i>noun</i><br><ol><li>duty</li></ol>
aiksnar	<i>adv</i><br><ol><li>together, all together</li></ol>
ailñe	<i>noun</i><br><ol><li>gift, present</li></ol>
ainake|eynāke	<i>adj</i><br><ol><li>common, low-born, not noble</li></ol>
airpätte	<i>adj</i><br><ol><li>unheeding, disregarding</li><li>impassive</li></ol>
aise	<i>noun</i><br><ol><li>cooking pot</li><li>power</li><li>surplus, excess</li></ol>
aiseṣṣe	<i>adj</i><br><ol><li>pertaining to a cooking pot</li></ol>
aiskatte	<i>adj</i><br><ol><li>untouched, unsullied</li></ol>
aitkatte	<i>adj</i><br><ol><li>unintended</li></ol>
aitkattäññe	<i>noun</i><br><ol><li>state of being unintended; non-intendance</li></ol>
aittaṅka	<i>adv</i><br><ol><li>towards (+ dative/locative)</li></ol>
aittäṃ	<i>adv</i><br><ol><li>forth</li></ol>
aiyye	<i>adj</i><br><ol><li>ovine, pertaining to sheep</li></ol>
aiyyer	<i>noun</i><br><ol><li>sheath</li></ol>
aiñye	<i>adj</i><br><ol><li>passable, traversable</li></ol>
aiśai	<i>noun</i><br><ol><li>care, notice</li></ol>
aiśamo	<i>adj</i><br><ol><li>wise, clever, intelligent, smart</li></ol>
aiśamñe	<i>noun</i><br><ol><li>wisdom</li></ol>
aiśamñetstse	<i>noun</i><br><ol><li>someone who has wisdom</li></ol>
aiśamñeṣṣe	<i>adj</i><br><ol><li>pertaining to wisdom</li></ol>
aiśaumye	<i>noun</i><br><ol><li>someone wise</li></ol><br><i>adj</i><br><ol><li>wise</li></ol>
aiśi	<i>adj</i><br><ol><li>knowing</li></ol>
ajamot	<i>noun</i><br><ol><li>celery, caraway</li></ol>
ajvare	<i>adj</i><br><ol><li>without fever</li></ol>
akalye|āklyi	<i>noun</i><br><ol><li>learning, study</li></ol>
akalṣälle	<i>noun</i><br><ol><li>pupil, student, disciple</li></ol>
akappi	<i>noun</i><br><ol><li>impurity, filth, uncleanliness</li></ol>
akarte|akartte	<i>adv</i><br><ol><li>near, nearby</li></ol>
akaru	<i>noun</i><br><ol><li>aloe</li></ol>
akautatte	<i>adj</i><br><ol><li>unsplittable</li></ol>
akañcar	<i>adj</i><br><ol><li>distant</li><li>remote</li><li>a rural area</li></ol>
akañce|akäñc|akañc	<i>adj</i><br><ol><li>distant, far</li><li>remote</li></ol>
akek	<i>adv</i><br><ol><li>finally</li></ol>
akessu	<i>noun</i><br><ol><li>end</li></ol>
aketstse	<i>adj</i><br><ol><li>last, final</li></ol>
akeññe	<i>adj</i><br><ol><li>Agnean (exonymic designation for the Agneans, the "Tocharian A" people)</li><li>pertaining to the border</li></ol>
aklaṣṣälñe	<i>noun</i><br><ol><li>teaching</li></ol>
aklyilñe	<i>noun</i><br><ol><li>study, learning</li></ol>
aknātsa	<i>adj</i><br><ol><li>foolish, stupid</li></ol><br><i>noun</i><br><ol><li>fool</li></ol>
aknātsaññe	<i>noun</i><br><ol><li>ignorance</li></ol>
aknātsaññeṣṣe	<i>noun</i><br><ol><li>having to do with ignorance.</li></ol>
akraupatte	<i>adj</i><br><ol><li>unassembled</li><li>dispersed</li></ol>
akritaññe	<i>adj</i><br><ol><li>ungrateful</li></ol>
akritātñe|akrtājñe|akṛtajñe	<i>adj</i><br><ol><li>ungrateful</li></ol>
akrūna	<i>noun</i><br><ol><li>tears (drops of liquid from crying)</li></ol>
aksaṣṣuki	<i>noun</i><br><ol><li>teacher, instructor</li></ol>
