Afelika	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Afelika Haute	<i>name</i><br><ol><li>South Africa (a country in Africa)</li></ol>
Agāga Hā	<i>noun</i><br><ol><li>Synonym of Agāga Paia</li></ol>
Agāga Paia	<i>noun</i><br><ol><li>(Christianity) Holy Spirit</li></ol>
Agāga Tapu	<i>noun</i><br><ol><li>Synonym of Agāga Paia</li></ol>
Ahia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Ailani	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Amelika	<i>name</i><br><ol><li>America (a continent)</li><li>America (a country in North America)</li></ol>
Apelila	<i>name</i><br><ol><li>April</li></ol>
Atafu	<i>name</i><br><ol><li>Atafu (an atoll in Tokelau)</li></ol>
Atua	<i>noun</i><br><ol><li>(Christianity) God</li></ol>
Auhitalia	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Aukilani	<i>name</i><br><ol><li>Auckland (a city in Australia)</li></ol>
Aukuho	<i>name</i><br><ol><li>August</li></ol>
Egelani	<i>name</i><br><ol><li>England (a country in Europe)</li></ol>
Eleni	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol><br><i>noun</i><br><ol><li>Greek</li></ol>
Eulopa	<i>name</i><br><ol><li>Europe (a continent)</li><li>Europa (moon of Jupiter)</li></ol>
Fakaafu	<i>name</i><br><ol><li>(archaic) The tenth month in the Tokelau calendar, ranging from mid-September to mid-October.</li></ol>
Fakaofo	<i>name</i><br><ol><li>Fakaofo (an atoll in Tokelau)</li></ol>
Falani	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Fepuali	<i>name</i><br><ol><li>February</li></ol>
Fiti	<i>name</i><br><ol><li>Fiji (a country in Oceania)</li></ol>
Haina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Hami	<i>noun</i><br><ol><li>(only in compounds) sea</li></ol>
Hami Tahemānia	<i>name</i><br><ol><li>Tasman Sea (a sea in the Pacific Ocean).</li></ol>
Helemani	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Hetema	<i>name</i><br><ol><li>September</li></ol>
Hile	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Hini	<i>name</i><br><ol><li>Sydney (the capital of New South Wales, Australia)</li></ol>
Hāmoa	<i>name</i><br><ol><li>Samoa (a country in Oceania)</li></ol>
Ianuali	<i>name</i><br><ol><li>January</li></ol>
Iehu	<i>name</i><br><ol><li>(Christianity) Jesus</li></ol>
Iehu Keliho	<i>name</i><br><ol><li>(Christianity) Jesus Christ</li></ol>
Ieova	<i>name</i><br><ol><li>(biblical) Jehovah</li></ol>
Ioa	<i>name</i><br><ol><li>(mythology) A god in the Tokelau mythology.</li></ol>
Iulai	<i>name</i><br><ol><li>July</li></ol>
Iunaite Hitete|te Iunaite Hitete	<i>name</i><br><ol><li>United States (a country in North America)</li></ol>
Iunaite Hitete o Amelika|te Iunaite Hitete o Amelika	<i>name</i><br><ol><li>Synonym of Iunaite Hitete</li></ol>
Iuni	<i>name</i><br><ol><li>June</li></ol>
Iunivehite	<i>noun</i><br><ol><li>university</li></ol>
Kanata	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Kaununu	<i>name</i><br><ol><li>(archaic) The eleventh month in the Tokelau calendar, ranging from mid-October to mid-November.</li></ol>
Kilipati	<i>name</i><br><ol><li>Kiribati (a country in Oceania)</li></ol>
Me	<i>name</i><br><ol><li>May</li></ol>
Mehiko	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Mulifā	<i>name</i><br><ol><li>(archaic) The third month in the Tokelau calendar, ranging from mid-February to mid-March.</li></ol>
Mālō Kaufakatahi	<i>name</i><br><ol><li>United Nations</li></ol>
Mālō Tukufakatahi	<i>name</i><br><ol><li>United Nations</li></ol>
Māti	<i>name</i><br><ol><li>March</li></ol>
Naulu	<i>name</i><br><ol><li>Nauru (a country in Oceania)</li></ol>
Niu Hila	<i>name</i><br><ol><li>New Zealand (a country in Oceania)</li></ol>
Novema	<i>name</i><br><ol><li>November</li></ol>
Nukunonu	<i>name</i><br><ol><li>Nukunonu (an atoll in Tokelau)</li></ol>
Oketopa	<i>name</i><br><ol><li>October</li></ol>
Oloāmanu	<i>name</i><br><ol><li>(archaic) The twelfth month in the Tokelau calendar, ranging from mid-November to mid-December.</li></ol>
Palolomua	<i>name</i><br><ol><li>(archaic) The first month in the Tokelau calendar, ranging from mid-December to mid-January.</li></ol>
Papua Niu Kini	<i>name</i><br><ol><li>Papua New Guinea (a country in Oceania)</li></ol>
Peletānia	<i>name</i><br><ol><li>Great Britain (an island in Europe)</li><li>United Kingdom, Britain (a country in Europe)</li></ol>
Tahemānia	<i>name</i><br><ol><li>Tasmania (an island in Australia)</li><li>Tasmania (a state of Australia)</li></ol>
Takaoga	<i>name</i><br><ol><li>(archaic) The fourth month in the Tokelau calendar, ranging from mid-March to mid-April.</li></ol>
Toehiliga	<i>name</i><br><ol><li>(archaic) The sixth month in the Tokelau calendar, ranging from mid-May to mid-June.</li></ol>
Toepalolo	<i>name</i><br><ol><li>(archaic) The second month in the Tokelau calendar, ranging from mid-January to mid-February.</li></ol>
Toeutuā	<i>name</i><br><ol><li>(archaic) The eighth month in the Tokelau calendar, ranging from mid-July to mid-August.</li></ol>
Toga	<i>name</i><br><ol><li>Tonga (a country in Oceania)</li></ol>
Tokelau	<i>name</i><br><ol><li>Tokelau (three atolls forming a dependent territory of New Zealand in the South Pacific Ocean)</li></ol>
Tui	<i>name</i><br><ol><li>(mythology) A title used to refer to Tui Tokelau.</li></ol>
Tui Tokelau	<i>name</i><br><ol><li>(mythology) The major god in the Tokelau mythology.</li></ol>
Tēhema	<i>name</i><br><ol><li>December</li></ol>
Ueligitone	<i>name</i><br><ol><li>Wellington (the capital of New Zealand)</li></ol>
Uluakihiliga	<i>name</i><br><ol><li>(archaic) The fifth month in the Tokelau calendar, ranging from mid-April to mid-May.</li></ol>
Uluakiutuā	<i>name</i><br><ol><li>(archaic) The seventh month in the Tokelau calendar, ranging from mid-June to mid-July.</li></ol>
Vainoa	<i>name</i><br><ol><li>(archaic) The ninth month in the Tokelau calendar, ranging from mid-August to mid-September.</li></ol>
a	<i>article</i><br><ol><li>a personal article, used after the prepositions i and ki and before personal names or names of months</li></ol><br><i>prep</i><br><ol><li>marks alienable possession; of</li></ol>
a te	<i>article</i><br><ol><li>Personal article, used after the prepositions i and ki and before pronouns.</li></ol>
afe	<i>verb</i><br><ol><li>(stative) to be thousand</li><li>(transitive) to hem</li><li>(transitive) to tuck in</li><li>(transitive) to turn</li><li>(transitive) to lift</li></ol><br><i>noun</i><br><ol><li>hem</li><li>gust of wind</li></ol>
afi	<i>noun</i><br><ol><li>fire</li><li>match</li><li>lighter</li><li>engine, motor</li><li>(colloquial) eyes</li></ol>
agāga	<i>noun</i><br><ol><li>soul, spirit</li><li>ghost</li></ol>
aho	<i>noun</i><br><ol><li>day, date</li><li>oceanic whitetip shark (Carcharhinus longimanus)</li></ol>
ai	<i>pron</i><br><ol><li>who?</li></ol><br><i>particle</i><br><ol><li>Anaphoric particle used to refer to an adverbial clause; there, then</li></ol>
aiha	<i>noun</i><br><ol><li>ice</li></ol>
aiha-kulimi	<i>noun</i><br><ol><li>ice cream</li></ol>
aiheā	<i>adv</i><br><ol><li>why?</li></ol>
aihā	<i>verb</i><br><ol><li>(stative) to be icy</li></ol>
aitu	<i>noun</i><br><ol><li>ghost</li><li>evil spirit</li></ol>
aitua	<i>verb</i><br><ol><li>(stative) to be haunted</li></ol>
aka|taaka	<i>noun</i><br><ol><li>root</li><li>heel</li><li>kick</li></ol><br><i>verb</i><br><ol><li>(intransitive) to kick</li><li>(transitive) to kick</li><li>(transitive) to back-heel</li><li>(transitive, weaving) to weave (a skirt) by holding the weaving string on the foot</li></ol>
akalava	<i>noun</i><br><ol><li>scorpion</li></ol>
aku|a aku	<i>pron</i><br><ol><li>(alienable) mine</li></ol><br><i>det</i><br><ol><li>(alienable) my</li></ol><br><i>noun</i><br><ol><li>needlefish of the genus Strongylura</li></ol>
ala|feala	<i>noun</i><br><ol><li>path, road</li><li>reason, cause</li><li>method, way</li><li>transport</li><li>working section of a mat</li><li>(euphemistic) rectum</li></ol><br><i>verb</i><br><ol><li>(transitive) to result from</li><li>(stative) to be awake</li><li>(stative) to be accurate</li><li>(stative) to be sharp</li><li>(stative, of watercraft) to be close to the wind</li></ol>
alalaupapa	<i>noun</i><br><ol><li>bridge</li></ol>
alo	<i>noun</i><br><ol><li>front</li><li>belly of an animal</li><li>upper side of a leaf</li></ol><br><i>verb</i><br><ol><li>(intransitive, + ki) to face</li><li>(transitive) to be engaged in</li><li>(intransitive) to pay attention</li><li>(intransitive) to row, paddle</li><li>(transitive) to fan</li></ol>
aloalo	<i>noun</i><br><ol><li>shallows</li></ol><br><i>verb</i><br><ol><li>(intransitive) to paddle continuously</li><li>(transitive) to fan continuously</li></ol>
alofa|ālolofa	<i>noun</i><br><ol><li>love, affection</li><li>hospitality, kindness</li><li>divine pity</li></ol><br><i>verb</i><br><ol><li>(intransitive, + ki) to love</li><li>(intransitive, + ki) to be kind to</li><li>(intransitive, + mai) to feel sorry for</li><li>(intransitive, + mai) to have mercy on</li></ol>
amene	<i>intj</i><br><ol><li>amen</li></ol><br><i>noun</i><br><ol><li>amen</li></ol><br><i>verb</i><br><ol><li>(intransitive) to conclude a prayer (with an amen)</li></ol>
ana|a ana	<i>noun</i><br><ol><li>cave, den</li><li>hold (of a ship)</li></ol><br><i>verb</i><br><ol><li>(intransitive, + i) to live, dwell (in caves)</li></ol><br><i>pron</i><br><ol><li>(alienable) his, hers</li></ol><br><i>det</i><br><ol><li>(alienable) his, her</li></ol>
ao	<i>noun</i><br><ol><li>daylight</li><li>daytime</li><li>cloud</li><li>head, chief</li><li>A grossly misformed coconut without any flesh or juice inside.</li></ol><br><i>verb</i><br><ol><li>(intransitive) to be daylight</li><li>(transitive) to gather</li><li>(intransitive) to be good at gathering food</li><li>(transitive) to shape (wood)</li></ol>
apogāleveleve	<i>noun</i><br><ol><li>spider</li><li>spiderweb</li></ol>
apogālevelevea	<i>verb</i><br><ol><li>(stative) to be full of spiders</li><li>(stative) to have a spiderweb on one's face</li></ol>
apohetolo	<i>noun</i><br><ol><li>(Christianity) apostle</li></ol>
apu	<i>noun</i><br><ol><li>apple</li><li>apple tree (Malus domestica)</li></ol>
