A|a	<i>character</i><br><ol><li>The first letter of the Turkmen alphabet, called a and written in the Latin script.</li></ol>
Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika	<i>name</i><br><ol><li>Africa</li></ol>
Albaniýa	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alžir	<i>name</i><br><ol><li>Algeria (a country in Africa)</li><li>Algiers (the capital city of Algeria)</li></ol>
Amyderýa	<i>name</i><br><ol><li>Amu Darya</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Argentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Awstraliýa|Австралия	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Awstriýa|Awstriýā|Awstriýadan|Awstriýany|Awstriýanyň|Awstriýada	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azerbaýjan|Азербайҗан	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Aziýa	<i>name</i><br><ol><li>Asia</li></ol>
Aşgabat	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
Bagdat	<i>name</i><br><ol><li>Baghdad (the capital city of Iraq)</li></ol>
Bahreýn	<i>name</i><br><ol><li>Bahrain (a country in Asia)</li></ol>
Bangladeş	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Belgiýa	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Beliz	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Beýik Britaniýa	<i>name</i><br><ol><li>United Kingdom</li><li>Great Britain</li></ol>
Birleşen Arap Emirlikleri	<i>name</i><br><ol><li>United Arab Emirates</li></ol>
Bişkek	<i>name</i><br><ol><li>Bishkek (the capital city of Kyrgyzstan)</li></ol>
Bolgariýa	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Boliwiýa	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Bosniýa we Gersegowina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Braziliýa	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bruneý	<i>name</i><br><ol><li>Brunei</li></ol>
Butan	<i>name</i><br><ol><li>Bhutan (a country in Asia)</li></ol>
Daniýa	<i>name</i><br><ol><li>Denmark</li></ol>
Demirgazyk Koreýa	<i>name</i><br><ol><li>North Korea</li></ol>
Ekwador	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Ermenistan	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Estoniýa	<i>name</i><br><ol><li>Estonia</li></ol>
Eýran	<i>name</i><br><ol><li>Iran</li></ol>
Farer adalary	<i>name</i><br><ol><li>Faroe Islands (group of islands between Scotland and Iceland)</li></ol>
Fiji	<i>name</i><br><ol><li>Fiji (a country and archipelago in Oceania)</li></ol>
Filippinler	<i>name</i><br><ol><li>Philippines</li></ol>
Finlýandiýa	<i>name</i><br><ol><li>Finland</li></ol>
Fransiýa	<i>name</i><br><ol><li>France</li></ol>
Gara deňiz|gara deňiz	<i>name</i><br><ol><li>the Black Sea</li></ol>
Garagum	<i>name</i><br><ol><li>Karakum</li></ol>
Gazagystan	<i>name</i><br><ol><li>Kazakhstan</li></ol>
Gaýana	<i>name</i><br><ol><li>Guyana (a country in South America)</li></ol>
Germaniýa	<i>name</i><br><ol><li>Germany</li></ol>
Gibraltar	<i>name</i><br><ol><li>Gibraltar (a peninsula and overseas territory of the United Kingdom, at the southern end of Iberia)</li></ol>
Grenlandiýa	<i>name</i><br><ol><li>Greenland</li></ol>
Gresiýa	<i>name</i><br><ol><li>Greece</li></ol>
Gruziýa	<i>name</i><br><ol><li>Georgia</li></ol>
Gulyýew	<i>noun</i><br><ol><li>a male surname, feminine equivalent Gulyýewa</li></ol>
Gyrgyzystan	<i>name</i><br><ol><li>Kyrgyzstan</li></ol>
Gündogar Timor	<i>name</i><br><ol><li>East Timor</li></ol>
Günorta Koreýa	<i>name</i><br><ol><li>South Korea</li></ol>
Gürjüstan	<i>name</i><br><ol><li>Georgia (a country in Europe and Asia)</li></ol>
Hazar deňzi	<i>name</i><br><ol><li>the Caspian Sea</li></ol>
Hindistan	<i>name</i><br><ol><li>India (a country in Asia)</li></ol>
Horezm	<i>name</i><br><ol><li>Khwarazm, Chorasmia</li><li>Xorazm, a region in Uzbekistan</li></ol>
Horwatiýa	<i>name</i><br><ol><li>Croatia</li></ol>
Hytaý	<i>name</i><br><ol><li>China</li></ol>
Ikinji Jahan urşy	<i>name</i><br><ol><li>World War 2</li></ol>
Indoneziýa	<i>name</i><br><ol><li>Indonesia</li></ol>
Iordaniýa	<i>name</i><br><ol><li>Jordan</li></ol>
Irlandiýa	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Islandiýa	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Ispaniýa	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Italiýa	<i>name</i><br><ol><li>Italy</li></ol>
Kamboja	<i>name</i><br><ol><li>Cambodia</li></ol>
Katar	<i>name</i><br><ol><li>Qatar</li></ol>
Kipr	<i>name</i><br><ol><li>Cyprus</li></ol>
Kiribati	<i>name</i><br><ol><li>Kiribati</li></ol>
Kolumbiýa	<i>name</i><br><ol><li>Colombia (a country in South America)</li></ol>
Koreýa	<i>name</i><br><ol><li>Korea</li></ol>
Kot-d'Iwuar	<i>name</i><br><ol><li>Ivory Coast, Côte d'Ivoire (a country in West Africa)</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Kuweýt	<i>name</i><br><ol><li>Kuwait (a country in Asia)</li></ol>
Laos	<i>name</i><br><ol><li>Laos (a country in Asia)</li></ol>
Latwiýa	<i>name</i><br><ol><li>Latvia</li></ol>
Lihtenşteýn	<i>name</i><br><ol><li>Liechtenstein</li></ol>
Litwa	<i>name</i><br><ol><li>Lithuania</li></ol>
Liwan	<i>name</i><br><ol><li>Lebanon</li></ol>
