a|呵|妸	<i>particle</i><br><ol><li>alright?; okay?; will you?</li><li>already</li></ol><br><i>noun</i><br><ol><li>paternal aunt</li><li>younger sister</li></ol>
a dè	<i>particle</i><br><ol><li>come on; come on now</li></ol>
a lùa	<i>noun</i><br><ol><li>paternal aunt-in-law, father's younger brother's wife</li></ol>
a lản	
a rối|呵𤂬	<i>intj</i><br><ol><li>oh!; oh my god!; well!</li><li>ouch!</li></ol>
a rổi	<i>intj</i><br><ol><li>ouch; oh</li></ol>
a sliên|妸仙	<i>noun</i><br><ol><li>Chang'e</li></ol>
a sloi	<i>adj</i><br><ol><li>dirty</li><li>vulgar; profane</li></ol>
ai|埃	<i>noun</i><br><ol><li>Synonym of cò niêng</li></ol>
am	<i>adj</i><br><ol><li>overly soft and sticky from having too much water; pasty; viscid; clammy; soggy</li></ol>
an|安	<i>adj</i><br><ol><li>peaceful; undisturbed</li></ol><br><i>verb</i><br><ol><li>to manage to do something; to fend for oneself</li></ol>
an phận|安分	<i>verb</i><br><ol><li>to be content with one's lot; to submit to one's fate</li></ol>
au|㓜	<i>verb</i><br><ol><li>to take; to seize; to receive</li><li>to marry</li></ol>
au châư	<i>verb</i><br><ol><li>to breathe</li></ol>
au làng|㓜郎	<i>verb</i><br><ol><li>to breed; to inseminate</li></ol>
au lường|㓜凉	<i>verb</i><br><ol><li>to get some air; to get some fresh air</li></ol>
ay	<i>verb</i><br><ol><li>to cough</li></ol>
ay lồm	<i>verb</i><br><ol><li>to have a dry cough</li></ol>
bjooc|𫇥	<i>noun</i><br><ol><li>flower</li></ol>
bjoóc|𫇥	<i>noun</i><br><ol><li>flower</li></ol>
bân|𫗌|奔|𬮜|𫯩	<i>noun</i><br><ol><li>sky</li><li>heaven</li></ol><br><i>verb</i><br><ol><li>to fly</li></ol>
bâư|芭	<i>classifier</i><br><ol><li>classifier for flat objects</li></ol><br><i>noun</i><br><ol><li>leaf</li></ol>
bươn|𬂇	<i>noun</i><br><ol><li>month</li></ol>
ca nặm	<i>noun</i><br><ol><li>cormorant</li></ol>
chai	<i>noun</i><br><ol><li>bottle</li></ol><br><i>verb</i><br><ol><li>to fast</li></ol><br><i>adj</i><br><ol><li>vegan, especially in the Buddhist style</li><li>in an ordinary, even lackluster, way</li><li>old, specifically past something's developmental phase</li></ol>
chai lơ	<i>verb</i><br><ol><li>to ignore</li></ol>
chai na̱n	<i>noun</i><br><ol><li>accident</li></ol>
cha̱i|解	<i>verb</i><br><ol><li>to end; to stop; to rest</li></ol>
cha̱i choóc	<i>verb</i><br><ol><li>to rest; to take a break</li></ol>
cha̱i chành	<i>verb</i><br><ol><li>to rest; to take a break</li></ol>
chin|𩚍	<i>verb</i><br><ol><li>to eat</li></ol>
chài|𪟦	<i>adj</i><br><ol><li>male</li></ol><br><i>noun</i><br><ol><li>older brother</li><li>adolescent males</li></ol><br><i>pron</i><br><ol><li>I/me, your male cousin who's descended from an ancestor who is/was an older sibling to yours or your spouse's</li><li>you, my male cousin who's descended from an ancestor who is/was an older sibling to mine or my spouse's</li></ol>
chàu|𫡯	<i>adj</i><br><ol><li>wealthy</li></ol>
chá|假|價	<i>noun</i><br><ol><li>price</li><li>mount (object on which another object is mounted)</li><li>frame</li></ol><br><i>verb</i><br><ol><li>to ask for something's price</li><li>to bargain</li></ol><br><i>adj</i><br><ol><li>not firm; weak; flimsy; frail</li><li>(before nouns, especially noun phrases with words of number) numerous</li><li>fake; not real</li></ol><br><i>particle</i><br><ol><li>(used sentence-finally) that's all; merely; only; just</li></ol>
chá lác	<i>noun</i><br><ol><li>landslide</li></ol>
chác|quác	<i>noun</i><br><ol><li>anise (its tree or its fruits)</li><li>ringworm</li><li>cupping therapy</li></ol>
chái	<i>noun</i><br><ol><li>saw</li><li>trotters</li></ol><br><i>adv</i><br><ol><li>on the contrary</li></ol>
chêt|chất	<i>num</i><br><ol><li>seven</li></ol>
chường|牀	<i>noun</i><br><ol><li>bed</li></ol>
chại	<i>adj</i><br><ol><li>tilted; lopsided</li></ol><br><i>noun</i><br><ol><li>late afternoon; early evening</li></ol>
chại chườn	<i>adj</i><br><ol><li>tilted; wobbly</li></ol>
