𐎀|ả	<i>character</i><br><ol><li>A letter of the Ugaritic cuneiform script, that represents a glottal stop ʾ when followed by the vowels a, ā, or â.</li></ol>
𐎀𐎁|ảb	<i>noun</i><br><ol><li>father</li><li>ancestor</li></ol>
𐎀𐎁𐎄|ảbd	<i>verb</i><br><ol><li>to perish</li><li>(D-stem) to destroy</li></ol>
𐎀𐎁𐎊𐎐|ảbyn	<i>adj</i><br><ol><li>poor, impoverished</li></ol>
𐎀𐎁𐎐|ảbn	<i>noun</i><br><ol><li>stone</li></ol>
𐎀𐎂𐎐|ảgn	<i>noun</i><br><ol><li>cauldron, cooking pot</li></ol>
𐎀𐎃|ảḫ	<i>noun</i><br><ol><li>brother</li><li>friend</li><li>lover</li></ol>
𐎀𐎃𐎏|ảḫḏ|ʾaḫaḏa	<i>verb</i><br><ol><li>to take</li></ol>
𐎀𐎃𐎗|ảḫr	<i>prep</i><br><ol><li>after</li></ol>
𐎀𐎃𐎚|ảḫt|ʾaḫātu	<i>noun</i><br><ol><li>sister</li><li>friend</li><li>lover</li></ol>
𐎀𐎄𐎎|ảdm	<i>noun</i><br><ol><li>humankind</li><li>red earth</li><li>red ochre</li></ol>
𐎀𐎅𐎁|ảhb	<i>verb</i><br><ol><li>to love</li></ol>
𐎀𐎅𐎁𐎚|ảhbt	<i>noun</i><br><ol><li>love</li></ol>
𐎀𐎅𐎍|ʾahlu|ảhl	<i>noun</i><br><ol><li>tent, mobile mansion</li></ol>
𐎀𐎈𐎄|ʾaḥadu|𐎀𐎈𐎚|ʾaḥḥadu|ảḥd|ʾaḥḥattu|ảḥt	<i>num</i><br><ol><li>one</li></ol>
𐎀𐎈𐎄𐎅|ảḥdh	<i>adv</i><br><ol><li>together</li><li>at the same time</li></ol>
𐎀𐎈𐎍|ảḥl	<i>intj</i><br><ol><li>if only!</li></ol>
𐎀𐎊𐎍|ảyl|𐎀𐎊𐎍𐎚|𐎀𐎊𐎍𐎎	<i>noun</i><br><ol><li>red deer: a member of species Cervus elaphus, or specifically a male (hart, stag)</li></ol>
𐎀𐎋𐎍|ảkl	<i>noun</i><br><ol><li>food</li></ol><br><i>verb</i><br><ol><li>to eat</li><li>to devour</li><li>to consume (with fire)</li></ol>
𐎀𐎌𐎋𐎗𐎗|ảškrr	<i>noun</i><br><ol><li>an unknown type of substance used in medicine</li></ol>
𐎀𐎍𐎂𐎁𐎘|ảlgbṯ	<i>noun</i><br><ol><li>an unknown type of mineral or stone.</li></ol>
𐎀𐎍𐎎𐎐𐎚|ảlmnt	<i>noun</i><br><ol><li>widow</li></ol>
𐎀𐎍𐎐|ảln	<i>noun</i><br><ol><li>terebinth</li><li>oak</li></ol>
𐎀𐎍𐎔|ảlp|ʾalpu	<i>num</i><br><ol><li>thousand</li></ol><br><i>noun</i><br><ol><li>bull, head of cattle</li></ol>
𐎀𐎍𐎘𐎊|ảlṯy	<i>name</i><br><ol><li>Cyprus</li></ol>
𐎀𐎍𐎚|ảlt	<i>noun</i><br><ol><li>curse, hex</li></ol>
𐎀𐎎𐎄|ảmd	<i>adv</i><br><ol><li>always</li></ol>
𐎀𐎎𐎗|ảmr|ʾamara	<i>verb</i><br><ol><li>to see</li><li>to say</li></ol>
𐎀𐎎𐎗𐎗|ảmrr	<i>adj</i><br><ol><li>blessed</li></ol><br><i>name</i><br><ol><li>Amorite land</li><li>Syria</li></ol>
