กก|kok	<i>noun</i><br><ol><li>ribs of boat</li></ol>
กรัด|krat	<i>noun</i><br><ol><li>fireplace</li><li>kitchen</li></ol>
กรา|kra	<i>noun</i><br><ol><li>monkey</li></ol>
กลาเม|klamë	<i>noun</i><br><ol><li>(Sangka-u, Adang) coconut</li></ol>
กอมมวง|kömmuang	<i>noun</i><br><ol><li>(Sangka-u) cloud</li></ol>
กะ|kaq	<i>conj</i><br><ol><li>if</li></ol><br><i>prep</i><br><ol><li>to</li></ol>
กะกฺีนี|kaqgini	<i>conj</i><br><ol><li>so</li></ol><br><i>adv</i><br><ol><li>like this</li></ol>
กะกฺีเตอ|kaqgite	<i>conj</i><br><ol><li>so</li><li>then</li></ol><br><i>adv</i><br><ol><li>like that</li></ol>
กันตูกัน|kantukan	<i>noun</i><br><ol><li>pumpkin</li></ol>
กากี|kaki	<i>noun</i><br><ol><li>foot</li></ol>
กาจัก|kacak	<i>noun</i><br><ol><li>bean, nut</li></ol>
กาจักปาญัก|kacak panyak	<i>noun</i><br><ol><li>asparagus bean</li></ol>
กานัน|kanan	<i>adj</i><br><ol><li>right (the east side of the body when one is facing north)</li></ol>
กาปัยฮ|kapas	<i>noun</i><br><ol><li>cottonwool</li></ol>
กามี|kami	<i>pron</i><br><ol><li>we (exclusive of the person spoken to)</li></ol>
กามุง|kamung	<i>noun</i><br><ol><li>(Sangka-u) mosquito net</li></ol>
กายู|kayu	<i>noun</i><br><ol><li>wood</li><li>plant</li></ol>
การัก|karak	<i>noun</i><br><ol><li>reef</li></ol>
การักเทียม|karak thiam	<i>noun</i><br><ol><li>(Sangka-u) artificial reef</li></ol>
กาเญา|kanyaw	<i>pron</i><br><ol><li>you (plural)</li></ol>
กาเตาะ|katöq	<i>verb</i><br><ol><li>to hit</li></ol>
กาเม|kamë	<i>noun</i><br><ol><li>coconut</li></ol>
กาเยด|kayet	<i>noun</i><br><ol><li>cloth (material)</li><li>clothes (to be worn)</li><li>sarong</li></ol>
กาเยน|kayën	<i>noun</i><br><ol><li>fishing line</li></ol>
กาเลา|kalaw	<i>conj</i><br><ol><li>if</li></ol>
กาแคก|kakhäk	<i>noun</i><br><ol><li>(Sangka-u) hornbill</li></ol>
กาโบยจ|kaboc	<i>noun</i><br><ol><li>mist</li></ol>
กาโยะฮ|kayoh	<i>verb</i><br><ol><li>to paddle</li></ol>
กิก|kik	<i>verb</i><br><ol><li>(Sangka-u) to dry</li></ol>
กีตา|kita	<i>pron</i><br><ol><li>we (inclusive of the person spoken to)</li></ol>
กีรี|kiri	<i>adj</i><br><ol><li>left (the west side of the body when one is facing north)</li></ol>
กีลากี|kilaki	<i>noun</i><br><ol><li>man (adult male human)</li></ol>
กู|ku	<i>pron</i><br><ol><li>a first person pronoun: I</li></ol>
กูกู|kuku	<i>noun</i><br><ol><li>nail</li><li>claw</li></ol>
กูญา|kunya	<i>pron</i><br><ol><li>they</li></ol>
กูดา|kuda	<i>noun</i><br><ol><li>horse</li></ol>
กูนิง|kuning	<i>adj</i><br><ol><li>yellow</li></ol>
