؃|ṣ	<i>symbol</i><br><ol><li>p, pp; symbol or abbreviation of صَفْحَہ (ṣafḥah).</li></ol>
؍	<i>symbol</i><br><ol><li>the Urdu date separator</li></ol>
؟	<i>punct</i><br><ol><li>the Urdu question mark</li></ol>
ء|hamzā	<i>character</i><br><ol><li>The thirty-fifth letter of the Urdu alphabet.</li></ol>
آ جانا|ā jānā|आ जाना	<i>verb</i><br><ol><li>to come</li><li>to arrive</li><li>to enter</li></ol>
آئرلینڈ|आयरलैंड|آئرلَینْڈ|āyarlaiṇḍ	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
آئین|āīn|आईन	<i>noun</i><br><ol><li>constitution</li></ol>
آئینہ|āīnā|आईना	<i>noun</i><br><ol><li>mirror</li></ol>
آب|āb|आब	<i>noun</i><br><ol><li>water</li><li>liquid</li><li>sparkle</li></ol>
آب حیات|आब-ए-हयात|āb-e-hayāt	<i>noun</i><br><ol><li>elixir of life, aqua vitae</li></ol>
آب و ہوا|āb-o-havā|आब-ओ-हवा	<i>noun</i><br><ol><li>(figuratively) atmosphere, climate</li><li>(literally) water and air</li></ol>
آباد|आबाद|ābād	<i>adj</i><br><ol><li>inhabitable</li><li>inhabited</li><li>populous</li><li>cultivated</li></ol><br><i>suffix</i><br><ol><li>denotes a populated or inhabited area.</li></ol>
آبادانی|ābādānī	<i>noun</i><br><ol><li>development</li><li>improvement</li><li>advancement</li><li>prosperity</li><li>populousness</li><li>civilization</li></ol>
آبادی|ābādī|آبادیاں|آبادیوں|आबादी|آبادیو	<i>noun</i><br><ol><li>population</li><li>settlement</li></ol>
آبان|आबान|Ābān	<i>name</i><br><ol><li>Aban, the eighth month of the solar Persian calendar.</li></ol>
آبشار|आबशार|ābśār	<i>noun</i><br><ol><li>waterfall</li><li>cascade</li></ol>
آبنائے|ābnāe	<i>noun</i><br><ol><li>(geography) strait</li></ol>
آبی|ābī|आबी	<i>adj</i><br><ol><li>blue</li><li>aquatic</li><li>watery</li><li>humid</li><li>moist</li></ol>
آتش|آتِش|ātiś|आतिश	<i>noun</i><br><ol><li>fire</li><li>flame</li><li>anger</li><li>rage</li></ol>
آتما|आत्मा|آتماؤں|آتماؤ|ātmā|آتمائیں	<i>noun</i><br><ol><li>soul</li><li>spirit</li><li>ghost</li></ol>
آتنکوادی|ātaṅkvādī|आतंकवादी	<i>noun</i><br><ol><li>terrorist</li></ol>
آتپ|ātap|आतप	<i>noun</i><br><ol><li>(literary) sunshine, sunlight, sunbeam</li><li>(literary) heat (of the sun)</li></ol>
آج|āj|आज	<i>adv</i><br><ol><li>today</li></ol><br><i>noun</i><br><ol><li>today</li></ol>
آج کل|आज कल|āj kal|آج کَل	<i>adv</i><br><ol><li>nowadays</li></ol>
آخر|आख़िर|āxir	<i>adv</i><br><ol><li>after all</li><li>at last</li></ol><br><i>noun</i><br><ol><li>end</li></ol>
آخرت|आख़िरत|āxirat|آخِرَت	<i>noun</i><br><ol><li>(Islam) akhirah</li><li>hereafter</li></ol>
آخری|आख़री|آخْری|āxrī	<i>adj</i><br><ol><li>final</li><li>last</li></ol>
آخن|آخَن|āxan|आख़न	<i>name</i><br><ol><li>Aachen (a city in North Rhine-Westphalia, Germany).</li></ol>
آدا|आदा|ādā	<i>noun</i><br><ol><li>(green) ginger</li></ol>
آداب|ādāb|आदाब	<i>intj</i><br><ol><li>greetings</li><li>welcome</li></ol>
آدر|ādar|आदर	<i>noun</i><br><ol><li>honor, esteem</li><li>deference, reverence, homage</li><li>admiration, compliment</li></ol>
آدر کرنا|آدر کرتے|آپ|یہ|تو آدر کرے گی|آدر کرتا|تو|آدر کیی ہو|آدر کیی ہیں|میں|تم آدر کرو گے|تو آدر کرے گا|ādar karnā|آدر کیی تھیں|آدر کرتا ہو گا|وہ آدر کریں گی|آدر کرتی|آدر کرتی ہو گی|آدر کیا ہوں گا|تم آدر کرو|آدر کر رہا تھا|آدر کرتی تھے|آدر کر رہی ہو|آدر کیا ہوں|آدر کر رہی تھیں|آدر کرتا ہوتا|آدر کرتی ہیں|آدر کی|آدر کیی ہوں گی|آدر کرتا تھا|وہ آدر کرے|آدر کیی تھے|آدر کر رہی تھی|آدر کر رہی ہوں گی|آدر کیی تھی|آدر کیا ہوتا|ہم آدر کریں|آدر کیی ہو گی|تم آدر کرو گی|آدر کر رہا ہو|آدر کرتی ہوں گی|وہ آدر کرے گی|آدر کر رہی ہوتی|आदर करना|آدر کرتی تھی|آدر کرتی ہے|آدر کرتی تھیں|آدر کیا|آدر کیی ہوں|میں آدر کروں گی|آدر کرتا ہے|آدر کرتی ہوں|وہ آدر کریں|آدر کرتی ہو|آدر کر رہی ہو گی|آدر کرتا ہوں گا|آدر کر رہی تھے|آدر کیی ہوتی|آدر کر رہی ہوں|آدر کر رہا ہوں گا|ہم آدر کریں گی|آدر کیا ہے|آدر کرتا ہو|آدر کیا ہو گا|آدر کرتی ہوتی|آدر کیے|میں آدر کروں|وہ|وہ آدر کرے گا|آدر کر رہی ہے|آدر کیا تھا|آدر کیا ہو|آدر کرتا ہوں|آدر کر رہا ہوں|آدر کر رہی ہیں|آدر کر رہا ہے|آدر کیی ہے|میں آدر کروں گا|ہم آدر کریں گے|آدر کر رہا ہو گا|آدر کر رہا ہوتا|تم|وہ آدر کریں گے|تو آدر کرے|ہم	<i>verb</i><br><ol><li>to respect</li></ol>
آدرنیہ|आदरणीय|ādarṇīya	<i>adj</i><br><ol><li>respected</li><li>respectable</li><li>venerable</li></ol>
آدم|ādam|आदम	<i>noun</i><br><ol><li>man</li></ol><br><i>name</i><br><ol><li>(religion) Adam</li></ol>
آدم خور|आदमख़ोर|آدَمْ خور|ādam xōr	<i>noun</i><br><ol><li>cannibal, maneater</li></ol>
آدمی|ādmiyõ|ādmī|آدْمِیوں|ādmiyo|آدمیو|آدمیوں|آدْمِیو|आदमी|آدْمِی	<i>noun</i><br><ol><li>(chiefly) man</li><li>a human being</li><li>individual, person</li></ol>
آدھا|आधा|آدھو|آدھے|آدھوں|آدھی|ādhā	<i>adj</i><br><ol><li>half</li></ol><br><i>noun</i><br><ol><li>half</li></ol>
آدھنک|ādhunik|آدُھنِک|आधुनिक	<i>adj</i><br><ol><li>(rare) modern, contemporary, recent</li></ol>
آدھی رات|आधी रात|ādhī rāt	<i>noun</i><br><ol><li>midnight</li></ol>
آذر|आज़र|Āzar	<i>name</i><br><ol><li>Azar, the ninth month of the solar Persian calendar.</li></ol>
آذربائیجان|آذَربائیجان|आज़रबाइजान	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
آرام|आराम|ārām	<i>noun</i><br><ol><li>rest</li><li>comfort</li><li>leisure</li></ol>
آرام دینا|आराम देना|ārām denā	<i>verb</i><br><ol><li>relieve</li><li>rest</li><li>solace</li><li>refresh</li></ol>
آرام سے|ārām se|आराम से	<i>adv</i><br><ol><li>comfortably</li><li>easily</li></ol>
آرام کرنا|आराम करना|آپ|یہ|وہ آرام کرے|آرام کیے|آرام کیا ہوں گا|آرام کرتی تھے|تو|تو آرام کرے گی|آرام کرتا ہوں گا|تم آرام کرو|وہ آرام کریں گی|آرام کیی تھی|آرام کیی تھیں|میں|آرام کرتی ہوں|آرام کیی تھے|آرام کر رہا ہوں گا|آرام کرتا تھا|آرام کرتی ہوتی|آرام کر رہی ہو|ārām karnā|آرام کیی ہوں|آرام کیی ہوں گی|آرام کرتا ہوں|آرام کیی ہے|آرام کر رہی ہو گی|آرام کر رہا ہوتا|آرام کر رہی تھی|تو آرام کرے گا|آرام کرتی ہو گی|آرام کر رہی تھیں|میں آرام کروں گا|آرام کیا ہوں|آرام کیا ہو|آرام کرتا|آرام کی|آرام کرتی ہو|آرام کیی ہیں|آرام کرتا ہوتا|آرام کیی ہوتی|ہم آرام کریں گی|وہ آرام کریں گے|میں آرام کروں|تو آرام کرے|وہ آرام کرے گی|آرام کر رہی ہوتی|وہ آرام کرے گا|آرام کر رہی تھے|آرام کر رہی ہیں|آرام کر رہی ہوں گی|آرام کیا ہے|آرام کیا|تم آرام کرو گی|آرام کر رہا تھا|ہم آرام کریں گے|آرام کر رہا ہے|آرام کیی ہو|آرام کیا ہو گا|میں آرام کروں گی|تم آرام کرو گے|آرام کیا ہوتا|آرام کر رہا ہو گا|آرام کرتا ہو|آرام کرتی ہوں گی|آرام کر رہا ہو|آرام کرتا ہے|وہ|آرام کر رہی ہوں|آرام کر رہا ہوں|آرام کرتی|آرام کرتی ہے|آرام کر رہی ہے|آرام کرتی ہیں|آرام کرتی تھیں|آرام کرتے|آرام کرتی تھی|آرام کرتا ہو گا|ہم آرام کریں|آرام کیا تھا|وہ آرام کریں|تم|آرام کیی ہو گی|ہم	<i>verb</i><br><ol><li>to rest, to relax</li></ol>
آربل|आरबल|ārbal	<i>noun</i><br><ol><li>life</li><li>age</li></ol>
آرزو|ārzū|آرْزُوْ|आरज़ू	<i>noun</i><br><ol><li>wish</li><li>desire</li><li>aspiration</li><li>longing</li></ol>
آرمبھ|आरंभ|आरम्भ|ārambh	<i>noun</i><br><ol><li>beginning</li><li>commencement</li></ol>
آرمبھ کرنا|آرمبھ کیا|آپ|یہ|آرمبھ کیی ہوں|آرمبھ کر رہی تھے|آرمبھ کر رہی ہوں|تو|آرمبھ کیے|آرمبھ کرتا ہے|آرمبھ کر رہا ہو|وہ آرمبھ کریں|تو آرمبھ کرے گی|آرمبھ کرتی|آرمبھ کر رہی ہو گی|آرمبھ کر رہی تھیں|میں|تم آرمبھ کرو گی|آرمبھ کر رہا ہوں|آرمبھ کرتا ہوتا|آرمبھ کرتی ہوں گی|آرمبھ کر رہا ہوں گا|وہ آرمبھ کریں گے|آرمبھ کرتی ہیں|آرمبھ کیا ہوتا|وہ آرمبھ کریں گی|آرمبھ کر رہی ہو|آرمبھ کر رہی ہوتی|آرمبھ کرتا ہو گا|آرمبھ کیا ہوں|ہم آرمبھ کریں گے|آرمبھ کیی ہوں گی|آرمبھ کیی ہو|وہ آرمبھ کرے|آرمبھ کر رہی تھی|آرمبھ کرتی ہے|آرمبھ کیی ہوتی|ہم آرمبھ کریں گی|وہ آرمبھ کرے گی|آرمبھ کر رہی ہوں گی|آرمبھ کرتی ہوتی|وہ آرمبھ کرے گا|میں آرمبھ کروں گی|ārambh karnā|آرمبھ کرتی تھے|آرمبھ کیی ہیں|آرمبھ کر رہا تھا|آرمبھ کیا ہو|آرمبھ کرتی تھی|آرمبھ کیی تھیں|آرمبھ کیا ہوں گا|آرمبھ کرتا ہو|آرمبھ کیا ہے|آرمبھ کر رہا ہے|آرمبھ کیا تھا|تو آرمبھ کرے|آرمبھ کیا ہو گا|میں آرمبھ کروں گا|آرمبھ کی|آرمبھ کیی ہے|آرمبھ کرتے|تم آرمبھ کرو گے|میں آرمبھ کروں|آرمبھ کرتی ہو|آرمبھ کیی تھی|آرمبھ کر رہا ہو گا|آرمبھ کرتا ہوں گا|آرمبھ کیی تھے|آرمبھ کرتا ہوں|وہ|آرمبھ کرتا تھا|آرمبھ کر رہی ہے|آرمبھ کرتی تھیں|ہم آرمبھ کریں|تو آرمبھ کرے گا|آرمبھ کرتی ہوں|آرمبھ کیی ہو گی|آرمبھ کرتا|تم آرمبھ کرو|آرمبھ کرتی ہو گی|آرمبھ کر رہا ہوتا|आरम्भ करना|آرمبھ کر رہی ہیں|تم|ہم	<i>verb</i><br><ol><li>to start</li><li>to begin</li><li>to commence</li><li>to initiate</li><li>to undertake</li><li>to inchoate</li></ol>
آریامن|आर्यमन|آریامنو|آریامنوں|āryaman	<i>name</i><br><ol><li>(Hinduism) the Vedic sun deity</li><li>(Zoroastrianism) Airyaman</li></ol>
آزاد|आज़ाद|āzād	<i>adj</i><br><ol><li>free</li><li>independent</li><li>unrestrained</li></ol>
آزادی|آزادیاں|آزادیوں|आज़ादी|āzādī|آزادیو	<i>noun</i><br><ol><li>freedom, independence</li><li>liberty, liberation</li></ol>
آزمائش|आज़माइश|آزْمَائِشْ|آزْمَائِش|آزْمَائِشیں|āzmāiś|آزْمَائِشوں|آزْمَائِشو	<i>noun</i><br><ol><li>test, trial; examination; experiment</li></ol>
آزمانا|آزمائی|آپ|یہ|آزمائی ہو|آزما رہی ہوں گی|میں آزماؤں|آزماتے ہوتے|آزمایا ہوں گا|تو|وہ آزمائے گی|آزماتے ہو|آزماتے ہوں|آزما رہی ہیں|آزمایا ہو|آزماتا ہو|میں|آزمایا ہوں|ہم آزمائیں گے|āzmānā|آزما رہی ہو گے|آزماتی ہوں|وہ آزمائے گا|آزماتی ہیں|آزمائے ہیں|آزمایا تھا|آزماتی ہوں گی|آزمائی ہوں|تم آزماؤ گے|آزمایا ہو گا|آزما رہے ہوں|آزمائی تھیں|تو آزمائے|میں آزماؤں گی|تم آزماؤ گی|تم آزماؤ|آزما رہا ہو گا|آزمائے تھے|آزمائی ہو گی|وہ آزمائیں|آزماتی ہوتی|آزمائے|آزمائے ہو گے|آزماتے ہوں گے|وہ آزمائے|آزماتی تھی|آزما رہا ہوتا|آزماتا ہوں|ہم آزمائیں گی|آزما رہا ہے|میں آزماؤں گا|آزمائے ہوں گے|آزماتا تھا|آزمائی تھی|آزمائی ہیں|ہم آزمائیں|آزما رہے تھے|आज़माना|آزما رہی ہے|آزمایا ہے|آزما رہے ہو گے|آزمائی ہے|آزماتی ہو|آزما رہی تھیں|آزماتا ہوں گا|آزماتے تھے|آزمائی ہوں گی|آزمائے ہوں|آزماتی ہو گی|آزماتا ہے|آزما رہا تھا|آزمائی ہوتی|آزما رہی ہو|آزما رہے ہیں|آزما رہے ہوتے|آزما رہا ہو|وہ|آزمائے ہوتے|آزما رہی ہوں|آزماتا ہوتا|آزما رہا ہوں گا|آزماتا|آزماتی|آزما رہی تھی|آزمایا ہوتا|آزمایا|آزماتا ہو گا|آزما رہی ہوتی|آزماتے|آزما رہی ہو گی|آزما رہا ہوں|تو آزمائے گا|آزما رہی ہوں گے|وہ آزمائیں گی|آزماتے ہو گے|آزماتے ہیں|تو آزمائے گی|آزمائے ہو|آزماتی ہے|وہ آزمائیں گے|آزماتی تھیں|آزما رہے ہوں گے|تم|آزما رہے ہو|ہم	<i>verb</i><br><ol><li>to test</li><li>to try</li><li>to experiment</li><li>to prove</li><li>to examine</li></ol>
آزمودگی|आज़्मूदगी|āzmūdagī	<i>noun</i><br><ol><li>experience</li></ol>
آزمودہ|آزْمُودَہ|āzmūdā|आज़मूदा	<i>adj</i><br><ol><li>experienced, tried, tested</li></ol>
آس|ās|आस	<i>noun</i><br><ol><li>hope, expectation</li></ol>
آس پاس|ās pās|आस-पास	<i>adv</i><br><ol><li>near</li><li>about</li></ol>
آسام|आसाम|āsām	<i>name</i><br><ol><li>Assam (a state of India)</li></ol>
آسان|āsān|आसान|آسَانْ	<i>adj</i><br><ol><li>easy</li></ol>
آسانی|āsānī|آسَانِیو|آسَانِیاں|आसानी|آسَانِی|آسَانِیوں	<i>noun</i><br><ol><li>ease, simplicity, convenience</li><li>an instance of above; an easy thing</li></ol>
آستین|آستینو|āstīn|आस्तीन|آستینیں|آستینوں	<i>noun</i><br><ol><li>sleeve</li></ol>
آسرا|āsrā|आसरा	<i>noun</i><br><ol><li>shelter</li><li>haven</li><li>asylum</li><li>retreat</li><li>support</li><li>safeguard</li></ol>
آسمان|आसमान|āsmān	<i>noun</i><br><ol><li>sky</li><li>(Islamic cosmology) celestial sphere, firmament; one of the seven heavens</li></ol>
آسمانی|āsmānī|आसमानी	<i>adj</i><br><ol><li>sky blue</li><li>of or relating to the sky; celestial, heavenly</li></ol>
آسند|āsand|आसंद	<i>noun</i><br><ol><li>chair</li></ol>
آسنکا|आसंका|āsaṅkā	<i>noun</i><br><ol><li>doubt</li><li>uncertainty</li><li>fear</li></ol>
آسٹریا|آسْٹْرِیا|ऑस्ट्रिया|āsṭriyā	<i>noun</i><br><ol><li>Austria (a country in Central Europe)</li></ol>
آسٹریلیا|ऑस्ट्रेलिया|āsṭreliyā	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
آسکت|آسَکْت|आसक्त|āsakt	<i>adj</i><br><ol><li>strongly attached to</li><li>fond of, enamoured of, addicted to, devoted to, intent on, engrossed in</li><li>zealously following or pursuing</li></ol>
آسیب|āseb|आसेब	<i>noun</i><br><ol><li>evil spirit, demon, apparition</li><li>ill-fortune, calamity</li><li>illness, madness</li><li>trouble, pain, shock</li></ol>
آشا|āśā|आशा	<i>noun</i><br><ol><li>hope</li><li>wish</li><li>desire</li><li>longing</li></ol>
آشچریہ|āścarya|आश्चर्य	<i>adj</i><br><ol><li>amazing</li><li>astonishing</li></ol><br><i>noun</i><br><ol><li>surprise</li><li>amazement</li><li>wonder</li></ol>
