Oxayo|form ئوخايو|form Охайо	<i>name</i><br><ol><li>Ohio</li></ol>
Uyghur	<i>noun</i><br><ol><li>Latin (ULY) transcription of ئۇيغۇر (uyghur)</li></ol>
bala	<i>noun</i><br><ol><li>Latin (ULY) transcription of بالا (bala)</li><li>Latin (UYY) transcription of بالا (bala)</li></ol>
barliⱪ əllər proletarliri, birlixinglar|barliⱪ əllər proletarliri|birlixinglar	<i>phrase</i><br><ol><li>workers of the world, unite! (pre-1947 Latin spelling)</li></ol>
eƣiz	<i>noun</i><br><ol><li>Latin (UYY) transcription of ئېغىز (ëghiz)</li></ol>
kümüsh|كۈمۈشلەر|kümüshler	<i>noun</i><br><ol><li>Latin (ULY) transcription of كۈمۈش (kümüsh, “silver”)</li></ol>
kümüx	<i>noun</i><br><ol><li>Latin (UYY) transcription of كۈمۈش (kümüsh, “silver”)</li></ol>
men	<i>pron</i><br><ol><li>Latin (ULY) transcription of مەن (men)</li></ol>
orman|ئورمان	<i>noun</i><br><ol><li>forest</li></ol>
sen	<i>noun</i><br><ol><li>Latin (ULY) transcription of سەن (sen)</li></ol>
u	<i>character</i><br><ol><li>Latin (ULY) transcription of ئۇ (u)</li></ol><br><i>pron</i><br><ol><li>Latin (ULY) transcription of ئۇ (u)</li></ol>
urush	<i>noun</i><br><ol><li>Latin (ULY) transcription of ئۇرۇش (urush)</li></ol>
urux	<i>noun</i><br><ol><li>Latin (UYY) transcription of ئۇرۇش (urush)</li></ol>
we	<i>noun</i><br><ol><li>Latin (ULY) transcription of ۋە (we)</li></ol>
yil	<i>noun</i><br><ol><li>Latin (ULY) transcription of يىل (yil)</li></ol>
Ürümchi	<i>name</i><br><ol><li>Latin (ULY) transcription of ئۈرۈمچى (ürümchi)</li></ol>
Ürümqi	<i>name</i><br><ol><li>Latin (UYY) transcription of ئۈرۈمچى (ürümchi)</li></ol>
ëghiz	<i>noun</i><br><ol><li>Latin (ULY) transcription of ئېغىز (ëghiz)</li></ol>
öy	<i>noun</i><br><ol><li>Latin (UYY) transcription of ئۆي (öy)</li><li>Latin (ULY) transcription of ئۆي (öy)</li></ol>
А|а	<i>character</i><br><ol><li>The first letter of the Uyghur alphabet, written in the Cyrillic script.</li></ol>
Европа иттипақи|Ëwropa ittipaqi	<i>name</i><br><ol><li>European Union</li></ol>
Кродийә|Krodiye	<i>name</i><br><ol><li>(China) Croatia (a country in southeastern Europe; capital: Загреб (Zagrëb))</li></ol>
Совет Социялистик Республикалири Иттипақи	<i>name</i><br><ol><li>the Union of Soviet Socialist Republics</li></ol>
Хитай|Xitay|Kazakhstan	<i>name</i><br><ol><li>China</li></ol>
айрилиш|ئايرىلىش|ayrilish	<i>noun</i><br><ol><li>segregation</li></ol>
бала|form bala|form بالا|bala	<i>noun</i><br><ol><li>child</li></ol>
бир|bir|بىر	<i>num</i><br><ol><li>one</li></ol>
деңиз|دېڭىز|دېڭىزلار	<i>noun</i><br><ol><li>sea</li></ol>
жил|zhil	<i>noun</i><br><ol><li>Kazakhstan standard form of يىل (yil, “year”).</li></ol>
йоруқлуқ|yoruqluq	<i>noun</i><br><ol><li>light</li><li>fire</li></ol>
көк|kök	<i>adj</i><br><ol><li>blue</li></ol><br><i>noun</i><br><ol><li>blue (colour)</li><li>sky</li></ol>
лимон|limon	<i>noun</i><br><ol><li>lemon</li></ol>
луғәт|lughetler|lughet|لۇغەتلەر|لۇغەت	<i>noun</i><br><ol><li>dictionary</li></ol>
пәрваз|پەرۋاز|perwaz	<i>noun</i><br><ol><li>flight</li><li>soaring</li></ol>
сикмәк|sikmek	<i>verb</i><br><ol><li>(Vulgar) To fuck.</li><li>(Interjection) Fuck! Used in first person imperative.</li></ol>
сүзүк|سۈزۈك|süzük	<i>noun</i><br><ol><li>clear, limpid, transparent</li></ol>
тәрҗимә|terjime	<i>noun</i><br><ol><li>Kazakhstan standard form of تەرجىمە (terjime).</li></ol>
уйғурчә|uyghurche	<i>name</i><br><ol><li>the Uyghur language.</li></ol>
шундақ|shundaq	<i>adv</i><br><ol><li>thus, so, this way.</li><li>such, of that kind, of that sort.</li><li>to that degree, so much. it is so, that is right, yes.</li></ol>
шәкилсиз|شەكىلسىز|shekilsiz	<i>noun</i><br><ol><li>having no shape</li><li>invisible</li><li>intangible</li></ol>
җаңйу|jangyu	<i>noun</i><br><ol><li>soy sauce</li></ol>
җумһурийәт|jumhuriyet	<i>noun</i><br><ol><li>republic</li></ol>
Қазағистан|Qazaghistan	<i>name</i><br><ol><li>Kazakhstan</li></ol>
қазан|qazan|қазанлар	<i>noun</i><br><ol><li>boiler</li></ol>
һава|hawa|ھاۋا|ھاۋىلار	<i>noun</i><br><ol><li>air, weather, atmosphere</li><li>heat of the fire, cooking temperature</li></ol>
Әрмәнстан|Ermenstan	<i>noun</i><br><ol><li>Kazakhstan standard form of ئەرمېنىيە (ermëniye, “Armenia”).</li></ol>
әпсус|epsus	<i>noun</i><br><ol><li>pity, sympathy</li></ol>
ئا|a	<i>character</i><br><ol><li>The first letter of the Uyghur alphabet.</li></ol>
ئائىلە|ئائىلىلەر|a'ililer|a'ile	<i>noun</i><br><ol><li>family</li><li>(biology) family</li><li>(linguistics) family</li></ol>
ئابدۇلـ	<i>prefix</i><br><ol><li>Abdul</li><li>Name prefix meaning "servant of", followed by a name or description of God</li></ol>
ئات|atlar|at|ئاتلار	<i>noun</i><br><ol><li>(zoology) horse</li><li>(chess) knight</li><li>a name</li><li>title</li><li>(grammar) a noun, term</li></ol>
ئاتمىش|atmish	<i>num</i><br><ol><li>sixty</li></ol>
ئاتىماق|atimaq	<i>verb</i><br><ol><li>to give a name, to name</li></ol>
ئاخىر|axir|ئاخىرلار	<i>noun</i><br><ol><li>end (of something)</li></ol><br><i>adv</i><br><ol><li>finally, eventually</li><li>after all</li></ol>
ئاخىرلاشماق|axirlashmaq	<i>verb</i><br><ol><li>to end, to come to an end, to be completed</li></ol>
ئاداش|adash|adashlar|ئاداشلار	<i>noun</i><br><ol><li>friend, buddy, mate, companion</li><li>namesake</li></ol>
ئادالەت|adalet	<i>noun</i><br><ol><li>justice</li></ol>
ئادەتتە|adette	<i>adv</i><br><ol><li>usually, ordinarily, customarily</li></ol>
ئادەم|adem|ئادەملەر	<i>noun</i><br><ol><li>man</li><li>person</li></ol>
ئارال|ئاراللار|arallar|aral	<i>noun</i><br><ol><li>island</li></ol>
ئارام|aram	<i>noun</i><br><ol><li>rest</li><li>peacefulness, restedness</li></ol>
ئارتۇق|artuq	<i>adj</i><br><ol><li>excessive</li><li>superior</li></ol>
ئارزۇ|arzu	<i>noun</i><br><ol><li>wish</li><li>hope</li></ol>
ئارسلان|ئارسلانلار|arslan	<i>noun</i><br><ol><li>lion</li></ol>
ئارغىماق|ئارغىماقلار|arghimaq	<i>noun</i><br><ol><li>steed, good racing horse</li></ol>
ئارقا|arqa	<i>adj</i><br><ol><li>back, rear</li></ol>
ئارىسىدا|arisida	<i>prep</i><br><ol><li>between</li></ol>
ئارپا|arpa|ئارپىلار	<i>noun</i><br><ol><li>barley</li></ol>
ئازاب|azab|ئازابلار	<i>noun</i><br><ol><li>torment, pain</li></ol>
ئاساس|asas|ئاساسلار	<i>noun</i><br><ol><li>foundation</li></ol>
ئاستا|asta	<i>adv</i><br><ol><li>slowly, lightly</li></ol>
