'ndo	<i>adv</i><br><ol><li>where? (after a vowel)</li></ol>
'ndove	<i>adv</i><br><ol><li>where</li></ol>
'nte	<i>prep</i><br><ol><li>in (after a vowel)</li></ol>
'sa	<i>intj</i><br><ol><li>what?</li><li>why?</li></ol>
'łora	<i>adv</i><br><ol><li>then</li></ol><br><i>conj</i><br><ol><li>well then</li><li>so</li></ol>
Achìe	<i>name</i><br><ol><li>Achilles</li></ol>
Alsazia	<i>name</i><br><ol><li>Alsace</li></ol>
Alto Àdexe	<i>name</i><br><ol><li>Alto Adige</li></ol>
Andalusìa	<i>name</i><br><ol><li>Andalusia</li></ol>
Axia	<i>name</i><br><ol><li>Asia</li></ol>
Barcełona	<i>name</i><br><ol><li>Barcelona (the capital city of Catalonia, Spain)</li></ol>
Belfior	<i>name</i><br><ol><li>A small town in Verona, Veneto</li></ol>
Belgio	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Borseła	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Canada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Cartàxene	<i>name</i><br><ol><li>Carthage (an ancient city in North Africa, in modern Tunisia)</li><li>Carthage (an ancient civilisation in North Africa, centred on the city of Carthage)</li></ol>
Catałogna	<i>name</i><br><ol><li>Catalonia (an autonomous community of Spain)</li></ol>
Cexa|ła Céxa|ła Cexa|Céxa	<i>name</i><br><ol><li>Church (organization)</li></ol>
Cołogna	<i>name</i><br><ol><li>Cologne (a city in Germany)</li></ol>
Croàsia	<i>name</i><br><ol><li>Croatia</li></ol>
Càdice	<i>name</i><br><ol><li>Cadiz (a city in Spain)</li></ol>
Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Doze|Dozi|Doxe|Doxi	<i>noun</i><br><ol><li>doge</li></ol>
Eoropa	<i>name</i><br><ol><li>Europe (a continent)</li></ol>
GVU	<i>name</i><br><ol><li>Initialism of Grafia Veneta Unitaria, a manual of Venetian orthography.</li></ol>
Giapòn	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Gèxoło|Jèxoło	<i>name</i><br><ol><li>Jesolo (a town in Italy)</li></ol>
Hierusalem	<i>name</i><br><ol><li>Jerusalem (the claimed (and de-facto) capital city of Israel; the claimed capital city of Palestine)</li></ol>
Itałia|Tałia	<i>name</i><br><ol><li>Italy (a country in Europe)</li></ol>
Ixołe Fær Øer	<i>name</i><br><ol><li>The Faroe Islands, a Danish Atlantic overseas territory comprising a group of North Sea islands, between Scotland, Iceland and Norway</li></ol>
Jerusałeme	<i>name</i><br><ol><li>Jerusalem (the claimed (and de-facto) capital city of Israel; the claimed capital city of Palestine)</li></ol>
Jugoslavia	<i>name</i><br><ol><li>Yugoslavia</li></ol>
L-tajà	<i>noun</i><br><ol><li>The character Ł (or ł in lowercase)</li></ol>
Mesa|Mese	<i>noun</i><br><ol><li>Mass</li></ol>
Morea	<i>name</i><br><ol><li>Peloponnese</li></ol>
Mèrica	<i>name</i><br><ol><li>America (both north and south continents)</li></ol>
Mèsico	<i>name</i><br><ol><li>Mexico (a country in North America)</li><li>Mexico (a state of Mexico)</li></ol>
Nadal	<i>name</i><br><ol><li>Christmas</li></ol>
Novesento	<i>name</i><br><ol><li>twentieth century (1900s)</li></ol>
Onbria	<i>name</i><br><ol><li>Umbria</li></ol>
Pałermo	<i>name</i><br><ol><li>Palermo (the capital city of Sicily, Italy)</li><li>Palermo (a metropolitan city of Sicily, Italy)</li></ol>
Perù	<i>name</i><br><ol><li>Peru (a country in South America)</li></ol>
Piacensa	<i>name</i><br><ol><li>Piacenza</li></ol>
Pixa	<i>name</i><br><ol><li>Pisa (a city in Italy)</li></ol>
Portogało	<i>name</i><br><ol><li>Portugal</li></ol>
Połonia	<i>name</i><br><ol><li>Poland</li></ol>
Połéxine	<i>name</i><br><ol><li>Polesine (area around the delta of the river Po)</li></ol>
Pàdova|Padoa|Pàdoa	<i>name</i><br><ol><li>Padua</li></ol>
Regno Unìo	<i>name</i><br><ol><li>United Kingdom</li></ol>
Rinasimento	<i>name</i><br><ol><li>Renaissance</li></ol>
Rusia	<i>name</i><br><ol><li>Russia (a country in Europe and Asia)</li></ol>
Sasari	<i>name</i><br><ol><li>Sassari</li></ol>
Siciłia	<i>name</i><br><ol><li>Sicily (an island and region of Italy)</li></ol>
Spagna|ła Spagna	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Spaña	<i>noun</i><br><ol><li>(Chipilo) Spain</li></ol>
Stangheła	<i>name</i><br><ol><li>Stanghella</li></ol>
