A	<i>character</i><br><ol><li>The first letter of the Veps alphabet, called a and written in the Latin script.</li></ol>
Alamad|Alamaita|Alamaidme|Alamailesai|Alamaidennopäi|Alamaidennoks|Alamaiš|Alamailepäi|Alamail|Alamaidenke|Alamaihesai|Alamailpäi|Alamaišpäi|Alamaid|Alamaihe|Alamaidenno|Alamaihepäi|Alamain|Alamaile|Alamaiden|Alamaikš	<i>name</i><br><ol><li>Netherlands</li></ol>
Albanii|Albanijaspäi|Albanijale|Albanijanke|Albanijata|Albanijannopäi|Albanijas|Albanijassai|Albanijannoks|Albanijaks|Albanijalpäi|Albanijanno|Albanijalesai|Albanijal|Albanijad|Albanijalepäi|Albanijan|Albanijadme	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Amerik|Amerikanke|Amerikad|Amerikata|Amerikanno|Amerikalesai|Amerikalpäi|Amerikassai|Amerikalepäi|Amerikannopäi|Amerikas|Amerikan|Amerikaks|Amerikannoks|Amerikaspäi|Amerikadme|Amerikal|Amerikale	<i>name</i><br><ol><li>America (continent)</li></ol>
Amerikan Ühtenzoittud Valdkundad|Amerikan Ühtenzoittud Valdkundoiden|Amerikan Ühtenzoittud Valdkundoid	<i>name</i><br><ol><li>United States of America</li></ol>
Amerikan Ühtenzoittud Štatad|Amerikan Ühtenzoittud Štatoiden|Amerikan Ühtenzoittud Štatoid	<i>name</i><br><ol><li>United States of America</li></ol>
Andorr|Andorras|Andorrad|Andorranno|Andorrannoks|Andorrassai|Andorraspäi|Andorral|Andorran|Andorrannopäi|Andorradme|Andorraks|Andorranke|Andorralepäi|Andorrata|Andorralesai|Andorralpäi|Andorrale	<i>name</i><br><ol><li>Andorra</li></ol>
Anglii|Anglijanno|Anglijanke|Anglijannoks|Anglijalepäi|Anglijad|Anglijata|Anglijaks|Anglijalesai|Anglijan|Anglijalpäi|Anglijale|Anglijaspäi|Anglijannopäi|Anglijassai|Anglijas|Anglijadme|Anglijal	<i>name</i><br><ol><li>England</li></ol>
Armenii|Armenijaspäi|Armenijalpäi|Armenijata|Armenijannoks|Armenijannopäi|Armenijalesai|Armenijalepäi|Armenijassai|Armenijad|Armenijan|Armenijas|Armenijanke|Armenijadme|Armenijanno|Armenijale|Armenijaks|Armenijal	<i>name</i><br><ol><li>Armenia</li></ol>
Arskaht'	<i>name</i><br><ol><li>Radogoshch (a hamlet in Russia)</li></ol>
Avstralii|Avstralijannopäi|Avstralijalepäi|Avstralijan|Avstralijata|Avstralijalpäi|Avstralijalesai|Avstralijale|Avstralijanno|Avstralijanke|Avstralijaks|Avstralijal|Avstralijannoks|Avstralijadme|Avstralijassai|Avstralijad|Avstralijaspäi|Avstralijas	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Avstrii|Avstrijanno|Avstrijassai|Avstrijad|Avstrijalpäi|Avstrijas|Avstrijalesai|Avstrijan|Avstrijaspäi|Avstrijanke|Avstrijannopäi|Avstrijalepäi|Avstrijale|Avstrijata|Avstrijaks|Avstrijannoks|Avstrijal|Avstrijadme	<i>name</i><br><ol><li>Austria</li></ol>
Azerbaidžan|Azerbaidžanadme|Azerbaidžanalesai|Azerbaidžanata|Azerbaidžanal|Azerbaidžananke|Azerbaidžananno|Azerbaidžanalepäi|Azerbaidžanad|Azerbaidžanaspäi|Azerbaidžanannoks|Azerbaidžanannopäi|Azerbaidžanaks|Azerbaidžanalpäi|Azerbaidžanan|Azerbaidžanale|Azerbaidžanas|Azerbaidžanassai	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Azii|Azijannopäi|Azijaks|Azijan|Azijanke|Azijalesai|Azijalpäi|Azijata|Azijalepäi|Azijadme|Azijassai|Azijad|Azijas|Azijal|Azijanno|Azijaspäi|Azijannoks|Azijale	<i>name</i><br><ol><li>Asia</li></ol>
AÜV|AÜV:oiden|AÜV:oid	<i>name</i><br><ol><li>USA, US; Initialism of Amerikan Ühtenzoittud Valdkundad.</li></ol>
AÜŠ|AÜŠ:oid|AÜŠ:oiden	<i>name</i><br><ol><li>USA, US; Initialism of Amerikan Ühtenzoittud Štatad.</li></ol>
Belgii|Belgijalpäi|Belgijaspäi|Belgijas|Belgijan|Belgijal|Belgijata|Belgijanno|Belgijassai|Belgijale|Belgijannoks|Belgijannopäi|Belgijalesai|Belgijanke|Belgijalepäi|Belgijad|Belgijaks|Belgijadme	<i>name</i><br><ol><li>Belgium</li></ol>
Biblii|Biblijoilpäi|Biblijoidenke|Biblijoidme|Biblijoihepäi|Biblijalpäi|Biblijoilepäi|Biblijadme|Biblijassai|Biblijoil|Biblijaks|Biblijoita|Biblijannopäi|Biblijaspäi|Biblijoikš|Biblijannoks|Biblijalesai|Biblijalepäi|Biblijanke|Biblijoišpäi|Biblijoiden|Biblijas|Biblijata|Biblijan|Biblijale|Biblijoilesai|Biblijoin|Biblijanno|Biblijad|Biblijoihe|Biblijoile|Biblijoidennoks|Biblijal|Biblijoiš|Biblijoid|Biblijoidenno|Biblijoihesai|Biblijoidennopäi	<i>noun</i><br><ol><li>Bible</li></ol>
Bolgarii|Bolgarijalepäi|Bolgarijanno|Bolgarijata|Bolgarijal|Bolgarijanke|Bolgarijassai|Bolgarijannopäi|Bolgarijale|Bolgarijadme|Bolgarijaspäi|Bolgarijannoks|Bolgarijalpäi|Bolgarijalesai|Bolgarijan|Bolgarijaks|Bolgarijad|Bolgarijas	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Bosnii|Bosnijal|Bosnijadme|Bosnijannoks|Bosnijanke|Bosnijassai|Bosnijannopäi|Bosnijaspäi|Bosnijalpäi|Bosnijas|Bosnijalepäi|Bosnijan|Bosnijale|Bosnijanno|Bosnijata|Bosnijalesai|Bosnijaks|Bosnijad	<i>name</i><br><ol><li>Bosnia</li></ol>
Bosnii da Gercegovin|Bosnijan da Gercegovinan|Bosnijad da Gercegovinad	<i>name</i><br><ol><li>Bosnia and Hercegovina</li></ol>
