9x	<i>adj</i><br><ol><li>born in the 90s</li></ol>
A|A!|a	<i>character</i><br><ol><li>The first letter of the Vietnamese alphabet, called a and written in the Latin script.</li></ol><br><i>intj</i><br><ol><li>hah!</li></ol>
A Di Đà Phật	<i>name</i><br><ol><li>Synonym of A Di Đà (“Amitābha”)</li></ol><br><i>phrase</i><br><ol><li>Clipping of Nam mô A Di Đà Phật.</li></ol>
A Lịch Sơn	<i>name</i><br><ol><li>(Roman Catholicism) Alexander</li></ol>
A Lịch Sơn Đắc Lộ	<i>name</i><br><ol><li>(obsolete) Alexandre de Rhodes</li></ol>
A Phú Hãn	<i>name</i><br><ol><li>(dated) Afghanistan</li></ol>
A Q	<i>name</i><br><ol><li>(obsolete) Ah Q; the main character in Lu Xun's The True Story of Ah Q</li></ol>
A Tu La	<i>noun</i><br><ol><li>asura</li></ol>
A-bu Đa-bi	<i>name</i><br><ol><li>Abu Dhabi (an emirate of the United Arab Emirates)</li><li>Abu Dhabi (the capital city of the United Arab Emirates; capital city of Abu Dhabi emirate, United Arab Emirates)</li></ol>
A-di-đà|A Di Đà	<i>name</i><br><ol><li>Amitābha</li></ol>
A-déc-bai-dan	<i>name</i><br><ol><li>Azerbaijan</li></ol>
A-déc-bai-gian	<i>name</i><br><ol><li>Azerbaijan</li></ol>
A-la	<i>name</i><br><ol><li>(Islam) Allah</li></ol>
A-la-ba-ma	<i>name</i><br><ol><li>Alabama (state of the United States)</li></ol>
A-nhi	<i>name</i><br><ol><li>(Hinduism) Agni</li></ol>
A-ri-xtốt	<i>name</i><br><ol><li>Aristotle</li></ol>
A-rập Thống nhất	<i>name</i><br><ol><li>Arab Emirates</li></ol>
A-rập Xê-út	<i>name</i><br><ol><li>Saudi Arabia</li></ol>
A-rập thống nhất Ê-mi-rát	<i>name</i><br><ol><li>United Arab Emirates, a country in the Middle East</li></ol>
A-sin	<i>name</i><br><ol><li>(Greek mythology, Roman mythology, literature) Achilles</li></ol>
A-sơ-ga-bát	<i>name</i><br><ol><li>Ashgabat (the capital city of Turkmenistan)</li></ol>
A-ten	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
A-xta-na	<i>name</i><br><ol><li>Astana (former name of Nur-Sultan, the capital city of Kazakhstan)</li></ol>
ACE	<i>pron</i><br><ol><li>Initialism of anh chị em.</li></ol>
ADN	<i>noun</i><br><ol><li>(biochemistry) DNA</li></ol>
