A	<i>character</i><br><ol><li>The first letter of the Vilamovian alphabet, called a and written in the Latin script.</li></ol>
Abda	<i>name</i><br><ol><li>the tenth judge of Israel; Abdon (biblical character)</li></ol>
Bestwa	<i>name</i><br><ol><li>Bestwina</li></ol>
Brejskia	<i>name</i><br><ol><li>Brzeszcze</li></ol>
Byłc	<i>name</i><br><ol><li>Bielsko</li></ol>
Byłc-Bejł	<i>name</i><br><ol><li>Bielsko-Biała (a city in the Silesian Voivodeship, Poland)</li></ol>
Büldiüf	<i>name</i><br><ol><li>Bulowice</li></ol>
Ciajnc	<i>name</i><br><ol><li>Czaniec</li></ol>
Cygonn	<i>name</i><br><ol><li>(plural only) Gypsies</li></ol>
Daojćłaond	<i>name</i><br><ol><li>Germany</li></ol>
Grusy Fost	<i>name</i><br><ol><li>(Christianity) Lent</li></ol>
Göt	<i>name</i><br><ol><li>God</li></ol>
Halikier Łajchnaomstaog	<i>name</i><br><ol><li>Corpus Christi (Boże Ciało)</li></ol>
Hylciadiüf	<i>name</i><br><ol><li>Hecznarowice</li></ol>
Italjen	<i>name</i><br><ol><li>Italy</li></ol>
Italjener|Italjenyn	<i>noun</i><br><ol><li>Italian (male person)</li></ol>
Italjeneryn|Italjenerynn	<i>noun</i><br><ol><li>Italian (female person)</li></ol>
Jyndziydüf	<i>name</i><br><ol><li>Andrychów</li></ol>
Jüd	<i>noun</i><br><ol><li>Jew</li></ol>
Krök|Krȫk	<i>name</i><br><ol><li>Cracow (a city in Poland)</li></ol>
Kywynik	<i>name</i><br><ol><li>Kobiernice</li></ol>
Mongȫl|Mongȫln	<i>noun</i><br><ol><li>Mongolian</li></ol>
Naojśtaod	<i>name</i><br><ol><li>Zator</li></ol>
Ojrōpa	<i>name</i><br><ol><li>The continent Europe</li><li>(Greek mythology) A Phoenician princess abducted to Crete by Zeus</li><li>(astronomy) A moon of Jupiter</li></ol>
Prȧjzən	<i>name</i><br><ol><li>Prussia</li></ol>
Pulk|Pulkia|Pylkla	<i>noun</i><br><ol><li>Polish woman, female Pole</li></ol>
Pöłn|Pȫłn	<i>name</i><br><ol><li>Poland</li></ol>
Pȫła	<i>noun</i><br><ol><li>Pole</li></ol>
Serb	<i>noun</i><br><ol><li>Serb (person)</li></ol>
Tiykaj	<i>name</i><br><ol><li>Turkey</li></ol>
Wielki Post	<i>name</i><br><ol><li>(Christianity) Lent</li></ol>
Wymysoü	<i>name</i><br><ol><li>Wilamowice</li></ol>
Wīn	<i>name</i><br><ol><li>Vienna</li></ol>
Wȧjsuł	<i>name</i><br><ol><li>(geography) Vistula (The longest river in Poland)</li><li>(geography) a town in Silesia, near the source of the Vistula</li></ol>
Zunn	<i>name</i><br><ol><li>the Sun (the star at the center of our solar system)</li></ol>
aach|aachla|aachia	<i>noun</i><br><ol><li>oak</li></ol>
achuł|achułn	<i>noun</i><br><ol><li>An acorn, the fruit of an oak tree</li><li>(anatomy) The glans</li></ol>
adum|ȧn|dy|ȧm|ǡduma|aduma|ym|der|yn|ǡdum|ȧ	<i>noun</i><br><ol><li>son-in-law</li></ol>
adwökāt|adwökāta	<i>noun</i><br><ol><li>advocate, lawyer</li></ol>
agl|agln	<i>noun</i><br><ol><li>leech</li></ol>
ah	<i>intj</i><br><ol><li>oh: expressing of surprise</li><li>oh: expressing wonder, amazement, or awe</li><li>oh: expressing understanding, recognition, or realization</li><li>oh: preceding an offhand or annoyed remark</li><li>oh: an invocation or address</li></ol>
ahynder	<i>adv</i><br><ol><li>backwards</li></ol>
ajs|ȧjs	<i>noun</i><br><ol><li>ice</li></ol>
ajsig|ȧjsig	<i>adj</i><br><ol><li>cold, frosty</li></ol>
ajza|ȧjza	<i>noun</i><br><ol><li>iron</li></ol>
ajłaoda	<i>verb</i><br><ol><li>invite</li></ol>
ajłyt	<i>noun</i><br><ol><li>churching (blessing given to new mothers)</li></ol>
ajśłöfa	<i>verb</i><br><ol><li>to fall asleep</li></ol>
akademī	<i>noun</i><br><ol><li>academy</li></ol>
aker	<i>noun</i><br><ol><li>field (wide, open space used to grow crops)</li></ol>
akta	<i>noun</i><br><ol><li>(plural only) document, paper, file, dossier</li></ol>
akurāt	<i>adv</i><br><ol><li>accurately</li></ol>
alf|ȧlf	<i>num</i><br><ol><li>eleven</li></ol>
alfabet	<i>noun</i><br><ol><li>alphabet</li></ol>
