A	<i>character</i><br><ol><li>The first letter of the Votic alphabet, called a and written in the Latin script.</li></ol>
a	<i>character</i><br><ol><li>The first letter of the Votic alphabet, written in the Latin script.</li></ol><br><i>intj</i><br><ol><li>ah!, oh!</li><li>oops!</li><li>ouch!</li></ol><br><i>conj</i><br><ol><li>but (Following a negative clause or sentence) On the contrary, but rather</li><li>However, although, nevertheless, on the other hand</li></ol>
aa	<i>intj</i><br><ol><li>yep, yeah</li><li>aha, uh-huh</li></ol>
aapa|aavaa|aapaa	<i>noun</i><br><ol><li>aspen</li></ol>
adra|adraa	<i>noun</i><br><ol><li>plow</li></ol>
ahjo|ahjoo	<i>noun</i><br><ol><li>stove, oven</li></ol>
ahvakko|ahvakoo	<i>noun</i><br><ol><li>perch (fish)</li></ol>
ahvõn|ahvõnaa|ahvõnõõ	<i>noun</i><br><ol><li>perch (fish)</li></ol>
aika|aigassi|aigoiz|aigad|aikoje|aigalõssa|aigoilõ|aigoilõssa|aikoit|aigana|aigalt|aikaa|aigoina|aikoisõ|aigaa|aigoil|aigaz|aigoissi|aigalõ|aigoilt|aigass|aigoika|aiga|aigaka|aigall|aigoiss	<i>noun</i><br><ol><li>time</li></ol>
aita|aďďaa	<i>noun</i><br><ol><li>garden</li></ol>
ajaa|ajõn|ajan	<i>verb</i><br><ol><li>to drive</li></ol>
akkuna|akkunoje|akkunoissi|akkunoil|akkunoit|akkunoilõ|akkunoika|akkunalõ|akkunoiss|akkunoisõ|akkunass|akkunassi|akkunaz|akkunalõssa|akkunaka|akkunalt|akkunoina|akkunad|akkunoilt|akkunall|akkunoiz|akkunaa|akkunana|akkonoilõssa	<i>noun</i><br><ol><li>window</li></ol>
alkaa|algan|alkõn	<i>verb</i><br><ol><li>to begin, to start</li></ol>
ammaz|ammassa|ampaiss|ampaaz|ampaal|ampaiz|ampailõ|ampaasõssa|ampaaka|ampaďďeka|ampait|ampaass|ampailt|ampaad|ampaďďe|ampaisõ|ampail|ampaisõssa|ampaina|ampaasõ|ampaalt|ampaassi|ampaanna|ampaalõ|ampaa|ampaissi	<i>noun</i><br><ol><li>tooth</li></ol>
antaa|annan|annõn	<i>verb</i><br><ol><li>to give</li></ol>
api|avii	<i>noun</i><br><ol><li>help, aid</li></ol>
arina|arinaa	<i>noun</i><br><ol><li>hearth</li></ol>
arja	<i>noun</i><br><ol><li>brush</li></ol>
armaz|armaa	<i>adj</i><br><ol><li>dear, beloved</li></ol>
assua|asun|assuzin	<i>verb</i><br><ol><li>to step</li></ol>
aukko|aukoo	<i>noun</i><br><ol><li>hole</li></ol>
autši|auďii	<i>noun</i><br><ol><li>pike (fish)</li></ol>
avittaa|avitan|avitin	<i>verb</i><br><ol><li>to help</li></ol>
aźźa|aźźaa	<i>noun</i><br><ol><li>thing</li></ol>
baabukaz|baabukkaa	<i>noun</i><br><ol><li>raspberry</li></ol>
baabuška|baabuškaa	<i>noun</i><br><ol><li>grandmother</li></ol>
botška|bodžgaa	<i>noun</i><br><ol><li>barrel, cask</li></ol>
bruuda|bruudaa	<i>noun</i><br><ol><li>pond</li></ol>
dohtari|dohtarii	<i>noun</i><br><ol><li>doctor</li></ol>
doro	<i>noun</i><br><ol><li>acorn</li></ol>
einä|einää	<i>noun</i><br><ol><li>hay</li></ol>
ellä|ellää	<i>adj</i><br><ol><li>gentle, sensitive</li></ol>
elmi|elmee	<i>noun</i><br><ol><li>bead, pearl</li></ol>
elo|eloo	<i>noun</i><br><ol><li>life</li></ol>
eloza	<i>adv</i><br><ol><li>alive</li></ol>
eläin|eläimee	<i>noun</i><br><ol><li>animal</li></ol>
eläjä|eläjää	<i>noun</i><br><ol><li>inhabitant, human</li><li>creature, animal</li></ol>
elää|elin|elän	<i>verb</i><br><ol><li>to live</li></ol>
emintimä|emintimää	<i>noun</i><br><ol><li>stepmother</li></ol>
emä|emilessa|emije|emäle|emässi|emiinä|emiise|emiss|emäss|emält|emiz|emilt|emile|emänä|emiika|emäd|emäll|emiit|emää|emäz|emäkä|emälessa|emissi|emäse|emill	<i>noun</i><br><ol><li>mother</li></ol>
entši|enďed|enďissi|enďez|enďilessa|entšije|entšiika|enďee|entšee|enďelessa|entšiise|enďill|enďele|entšeä|enďilt|enďelt|enďenä|enďell|enďeka|enďiss|enďessi|enďess|entšiinä|enďile|enďiz|entšiit	<i>noun</i><br><ol><li>soul</li><li>individual</li></ol>
esimein|esimeizee	<i>adj</i><br><ol><li>first</li></ol>
esimespäivä|esimespäivää	<i>noun</i><br><ol><li>Monday</li></ol>
etelä|etelää	<i>noun</i><br><ol><li>southwest</li></ol>
frovva|frovvaa	<i>noun</i><br><ol><li>lady, Mrs.</li></ol>
gaada|gaadaa	<i>noun</i><br><ol><li>snake</li></ol>
guľu|guľuu	<i>noun</i><br><ol><li>(childish) dove, pigeon</li></ol>
haili|hailii	<i>noun</i><br><ol><li>Baltic herring</li></ol>
harjokka	<i>noun</i><br><ol><li>weasel</li></ol>
haukka|haukaa	<i>noun</i><br><ol><li>hawk</li></ol>
hoonopooli|hoonopoolõõ	<i>noun</i><br><ol><li>devil</li></ol>
hullu|hulluu	<i>adj</i><br><ol><li>crazy, insane</li></ol>
iho|ihoo	<i>noun</i><br><ol><li>body</li><li>skin</li></ol>
iili|iilee	<i>noun</i><br><ol><li>(hot) coal, ember</li></ol>
iiri|iiree	<i>noun</i><br><ol><li>mouse</li></ol>
ilma|ilmaa	<i>noun</i><br><ol><li>air</li><li>weather</li></ol>
ilozuz|ilozuil|ilozuu|ilozuulõ|ilozuul|ilozuuna|ilozuud|ilozuisõssa|ilozuusõssa|ilozuiz|ilozuusõ|ilozuussi|ilozuuka|ilozuuss|ilozuďďe|ilozutta|ilozuisõ|ilozuďďeka|ilozuuz|ilozuilta|ilozuit|ilozuiss|ilozuissi|ilozuina|ilozuilõ|ilozuult	<i>noun</i><br><ol><li>beauty (quality of pleasing appearance)</li></ol>
ilvez|ilvehsee	<i>noun</i><br><ol><li>lynx</li></ol>
ime|imeise|imeess|imeese|imeel|imettä|imeele|imeit|imeelt|imeďďekä|imee|imeekä|imeinä|imeesessä|imeilt|imeez|imeissi|imeil|imeisessä|imeďďe|imeiz|imeile|imeiss|imeessi|imeenä|imeed	<i>noun</i><br><ol><li>miracle</li></ol>
imeä|imin|imezin|imen	<i>verb</i><br><ol><li>to suck (apply suction)</li></ol>
inehmiin|inehmiizee	<i>noun</i><br><ol><li>human</li></ol>
inkerilain|inkerilaizõõ	<i>noun</i><br><ol><li>Ingrian person</li></ol>
isä|izässi|izält|izilessa|izill|isänä|iziss|isiit|isäz|isää|izää|izissi|isiz|isiika|isäse|izäd|isiinä|izilt|isije|izäll|izälessa|izäss|izäka|isiise|izile|izäle	<i>noun</i><br><ol><li>father</li></ol>
itä|iää	<i>noun</i><br><ol><li>east</li></ol>
itšee	<i>noun</i><br><ol><li>gum (part of the mouth)</li><li>(in the plural) gills</li></ol>
itši|igõõ	<i>noun</i><br><ol><li>sweat</li></ol>
itšä|itšäse|iäd|iďiss|itšije|iässi|itšiisessa|itšää|iä|iäle|iďile|iää|iďissi|iält|itšiit|itšiinä|itšiika|itšiise|itšäsessa|iäka|iďiz|iäz|iďill|iäll|iäss|iänä|iďilt	<i>noun</i><br><ol><li>age</li></ol>
ivuz	<i>noun</i><br><ol><li>(single) hair, strand of hair</li></ol>
izintimä|izintimää	<i>noun</i><br><ol><li>stepfather</li></ol>
iľľaa	<i>adv</i><br><ol><li>silently, quietly</li></ol>
jalgaz	<i>noun</i><br><ol><li>ski</li></ol>
jalka|jalkoiz|jalkoisõ|jalkoika|jalgaka|jalkoissaa|jalkoinn|jalkoill|jalgad|jalgall|jalkann|jalkoilt|jalgalt|jalgaa|jalkoillõ|jalgass|jalkoiss|jalkaa|jalkoit|jalgassaa|jalgaz|jalkasõ|jalgassi|jalkoissi|jalgallõ|jalkoi	<i>noun</i><br><ol><li>foot, leg</li></ol>
