A	<i>character</i><br><ol><li>The first letter of the Walloon alphabet, called a and written in the Latin script.</li></ol>
Afrike	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Aiwêye	<i>name</i><br><ol><li>Aywaille (a municipality of Belgium)</li></ol>
Albaneye	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Aldjereye	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Almagne	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Amerike	<i>name</i><br><ol><li>America (a continent)</li></ol>
Anderluwe	<i>name</i><br><ol><li>Anderlues (a municipality of Belgium)</li></ol>
Andore	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Anhêye	<i>name</i><br><ol><li>Anhée (a municipality of Belgium)</li></ol>
Anse	<i>name</i><br><ol><li>Ans (a municipality of Belgium)</li></ol>
Antene	<i>name</i><br><ol><li>Anthisnes (a municipality of Belgium)</li></ol>
Antweon	<i>name</i><br><ol><li>Antoing (a municipality of Belgium)</li></ol>
Arbûmont	<i>name</i><br><ol><li>Herbeumont (a municipality of Belgium)</li></ol>
Astire	<i>name</i><br><ol><li>Hastière (a municipality of Belgium)</li></ol>
Awan	<i>name</i><br><ol><li>Awans (a municipality of Belgium)</li></ol>
Azerbaydjan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Azeye	<i>name</i><br><ol><li>Asia</li></ol>
Barbåde	<i>name</i><br><ol><li>Barbados (an island and country in the Caribbean)</li></ol>
Bassindje	<i>name</i><br><ol><li>Bassenge (a municipality of Belgium)</li></ol>
Bastogne	<i>name</i><br><ol><li>Bastogne (a city in Luxembourg, Belgium)</li></ol>
Beldjike	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Beleul	<i>name</i><br><ol><li>Belœil (a municipality of Belgium)</li></ol>
Bernissåt	<i>name</i><br><ol><li>Bernissart (a municipality of Belgium)</li></ol>
Beurdene	<i>name</i><br><ol><li>Burdinne (a municipality of Belgium)</li></ol>
Bierlô	<i>name</i><br><ol><li>Berloz (a municipality of Belgium)</li></ol>
Bietris	<i>name</i><br><ol><li>Bertrix (a municipality of Belgium)</li></ol>
Braezi	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Brudjlete	<i>name</i><br><ol><li>Brugelette (a municipality of Belgium)</li></ol>
Bruniau	<i>name</i><br><ol><li>Brunehaut (a municipality of Belgium)</li></ol>
Brussele	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Bucaresse	<i>name</i><br><ol><li>Bucharest (the capital city of Romania)</li></ol>
Budapesse	<i>name</i><br><ol><li>Budapest (the capital city of Hungary)</li></ol>
Bulgåreye	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Bôvetchén	<i>name</i><br><ol><li>Beauvechain (a municipality of Belgium)</li></ol>
Californeye	<i>name</i><br><ol><li>California (a state of the United States)</li></ol>
Cambodje	<i>name</i><br><ol><li>Cambodia (a country in Asia)</li></ol>
Cargnon	<i>name</i><br><ol><li>Quaregnon (a municipality of Belgium)</li></ol>
Chine	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Chîpe	<i>name</i><br><ol><li>Cyprus (a country in Europe)</li></ol>
Clavir	<i>name</i><br><ol><li>Clavier (a municipality of Belgium)</li></ol>
Colfontinne	<i>name</i><br><ol><li>Colfontaine (a municipality of Belgium)</li></ol>
Copenhågue	<i>name</i><br><ol><li>Copenhagen (the capital city of Denmark)</li></ol>
Corêye	<i>name</i><br><ol><li>Korea (a country in Asia)</li></ol>
Crowaceye|Crowåceye	<i>name</i><br><ol><li>Croatia (a country in Europe)</li></ol>
Crusnêye	<i>name</i><br><ol><li>Crisnée (a municipality of Belgium)</li></ol>
Cînè	<i>name</i><br><ol><li>Ciney (a municipality of Belgium)</li></ol>
Daenmåtche	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Danube	<i>name</i><br><ol><li>Danube (a river in Europe)</li></ol>
Diè	<i>name</i><br><ol><li>God</li></ol>
Diè wåde	<i>intj</i><br><ol><li>farewell, adieu</li></ol>
Djalhé	<i>name</i><br><ol><li>Jalhay (a municipality of Belgium)</li></ol>
Djamayike	<i>name</i><br><ol><li>Jamaica (a country in North America)</li></ol>
Djapon	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Djedene	<i>name</i><br><ol><li>Gedinne (a municipality of Belgium)</li></ol>
Djer	<i>name</i><br><ol><li>Geer (a municipality of Belgium)</li></ol>
Djerpene	<i>name</i><br><ol><li>Gerpinnes (a municipality of Belgium)</li></ol>
Djeve	<i>name</i><br><ol><li>Gesves (a municipality of Belgium)</li></ol>
Djeyordjeye	<i>name</i><br><ol><li>Georgia (a country in Europe and Asia)</li></ol>
Djiblou	<i>name</i><br><ol><li>Gembloux (a municipality of Belgium)</li></ol>
Djinape	<i>name</i><br><ol><li>Genappe (a municipality of Belgium)</li></ol>
Djivet	<i>name</i><br><ol><li>Givet (a city in France)</li></ol>
Djodogne	<i>name</i><br><ol><li>Jodoigne (a municipality of Belgium)</li></ol>
Djordaneye	<i>name</i><br><ol><li>Jordan (a country in Asia)</li></ol>
Djouprele	<i>name</i><br><ol><li>Juprelle (a municipality of Belgium)</li></ol>
Djurbize	<i>name</i><br><ol><li>Jurbise (a municipality of Belgium)</li></ol>
Doncél	<i>name</i><br><ol><li>Donceel (a municipality of Belgium)</li></ol>
Dweche	<i>name</i><br><ol><li>Doische (a municipality of Belgium)</li></ol>
Dwero	<i>name</i><br><ol><li>Douro (a river in Europe)</li></ol>
Dålem	<i>name</i><br><ol><li>Dalhem (a municipality of Belgium)</li></ol>
Dåvdisse	<i>name</i><br><ol><li>Daverdisse (a municipality of Belgium)</li></ol>
Ecwåteur	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Edjipe	<i>name</i><br><ol><li>Egypt (a country in Africa and Asia)</li></ol>
Erezêye	<i>name</i><br><ol><li>Érezée (a municipality of Belgium)</li></ol>
Eritrêye	<i>name</i><br><ol><li>Eritrea (a country in Africa)</li></ol>
Erkelene	<i>name</i><br><ol><li>Erquelinnes (a municipality of Belgium)</li></ol>
Escô	<i>name</i><br><ol><li>Scheldt (a river in Europe)</li></ol>
Eslovakeye	<i>name</i><br><ol><li>Slovakia (a country in Europe)</li></ol>
Esloveneye	<i>name</i><br><ol><li>Slovenia (a country in Europe)</li></ol>
Esneu	<i>name</i><br><ol><li>Esneux (a municipality of Belgium)</li></ol>
Estats Unis	<i>name</i><br><ol><li>United States (a country in North America)</li></ol>
Estoneye	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Etiopeye	<i>name</i><br><ol><li>Ethiopia (a country in Africa)</li></ol>
Etåle	<i>name</i><br><ol><li>Étalle (a municipality of Belgium)</li></ol>
Faime	<i>name</i><br><ol><li>Faimes (a municipality of Belgium)</li></ol>
Faiviè	<i>name</i><br><ol><li>Fauvillers (a municipality of Belgium)</li></ol>
Fidji	<i>name</i><br><ol><li>Fiji (a country and archipelago in Oceania)</li></ol>
Finlande	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Flande	<i>name</i><br><ol><li>Wallonia</li></ol>
Fleuru	<i>name</i><br><ol><li>Fleurus (a municipality of Belgium)</li></ol>
Flipveye	<i>name</i><br><ol><li>Philippeville (a municipality of Belgium)</li></ol>
Florefe	<i>name</i><br><ol><li>Floreffe (a municipality of Belgium)</li></ol>
Flémåle	<i>name</i><br><ol><li>Flémalle (a municipality of Belgium)</li></ol>
Fléron	<i>name</i><br><ol><li>Fléron (a municipality of Belgium)</li></ol>
