Kroasya	<i>name</i><br><ol><li>Croatia</li></ol>
Llorente	<i>name</i><br><ol><li>A municipality of Eastern Samar, Philippines.</li></ol>
Mondragon	<i>name</i><br><ol><li>A municipality of Northern Samar.</li></ol>
Neri	<i>name</i><br><ol><li>a Sephardic Jewish surname</li></ol>
Pastrana	<i>name</i><br><ol><li>A municipality of Leyte, Philippines, named after the town in Spain.</li></ol>
Salomon	<i>name</i><br><ol><li>a Sephardic Jewish surname</li></ol>
Tacloban	<i>name</i><br><ol><li>The capital city of Leyte, Philippines.</li></ol>
Winaray	<i>name</i><br><ol><li>Waray-Waray (a language)</li></ol>
abugho|abughó	<i>noun</i><br><ol><li>jealousy</li></ol>
adlaw|adláw	<i>noun</i><br><ol><li>sun</li><li>day</li></ol>
agal|agál	<i>adj</i><br><ol><li>old; matured; adult</li></ol>
agbon|agbón	<i>noun</i><br><ol><li>ash</li></ol>
aghoy|aghóy	<i>noun</i><br><ol><li>goblin; elf; sprite</li></ol>
agian|agián	<i>noun</i><br><ol><li>way; road; path; pathway</li></ol>
agik-ik|agik-ík	<i>noun</i><br><ol><li>rattle</li></ol>
agnay|agnáy	<i>noun</i><br><ol><li>nickname; descriptive name</li></ol>
agtang|agtáng	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
alamag	<i>noun</i><br><ol><li>mold</li></ol>
alampay	<i>noun</i><br><ol><li>bandanna; kerchief; shawl</li></ol>
alaw-ang|alaw-áng	<i>noun</i><br><ol><li>allowance</li></ol>
alibangbang|alibangbáng	<i>noun</i><br><ol><li>butterfly</li></ol>
alimango	<i>noun</i><br><ol><li>crab</li></ol>
alimbubuyog|alimbubuyóg	<i>noun</i><br><ol><li>bumblebee</li></ol>
almog|almóg	<i>adj</i><br><ol><li>filthy; dirty; unsanitary</li></ol>
amag	<i>noun</i><br><ol><li>mold; mildew</li></ol>
amog|amóg	<i>adj</i><br><ol><li>filthy; dirty; unsanitary</li></ol>
anak|anák	<i>noun</i><br><ol><li>child (a female or male child, a daughter or son)</li></ol>
anay|anáy	<i>noun</i><br><ol><li>sow (female pig)</li></ol>
anghit|anghít	<i>noun</i><br><ol><li>stench odor from the armpit</li></ol>
aningal|aningál	<i>noun</i><br><ol><li>sound vibration; echo</li></ol>
anit	<i>noun</i><br><ol><li>scalp; leather</li></ol>
