'k ha dy leaf	<i>phrase</i><br><ol><li>I love you</li></ol>
A	<i>character</i><br><ol><li>The first letter of the West Frisian alphabet, written in the Latin script.</li></ol>
Aazje	<i>name</i><br><ol><li>Asia</li></ol>
Achtkarspelen	<i>name</i><br><ol><li>Achtkarspelen (a municipality of Friesland, Netherlands)</li></ol>
Albaanje	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Alvestêdetocht	<i>name</i><br><ol><li>Elfstedentocht</li></ol>
Amelân	<i>name</i><br><ol><li>Ameland (an island in Friesland, Netherlands)</li><li>Ameland (a municipality of Friesland, Netherlands)</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Armeenje	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Azerbeidzjan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Bask|Basken	<i>noun</i><br><ol><li>Basque person</li></ol>
Belch|Belgen	<i>noun</i><br><ol><li>Belgian person</li></ol>
België	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Belgje	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bels|Belzen	<i>noun</i><br><ol><li>Belgian person</li></ol>
Belzelân	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Berlyn	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li><li>Berlin (a state of Germany, containing the capital city)</li></ol>
Bosnje	<i>name</i><br><ol><li>Bosnia</li></ol>
Bretonsk|Bretonskers|Bretonske|Bretonsks|Bretonskere|it Bretonskste|Bretonsker|it Bretonskst|Bretonskste	<i>adj</i><br><ol><li>Breton, of Brittany</li></ol><br><i>noun</i><br><ol><li>Breton language</li></ol>
Bulgarije	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Bûtan	<i>name</i><br><ol><li>Bhutan</li></ol>
Dalmaasje	<i>name</i><br><ol><li>Dalmatia</li></ol>
Dantumadiel	<i>name</i><br><ol><li>Dantumadiel (a municipality of Friesland, Netherlands)</li></ol>
De Fryske Marren	<i>name</i><br><ol><li>De Fryske Marren (a municipality of Friesland, Netherlands).</li></ol>
De Haach	<i>name</i><br><ol><li>The Hague (a city, the administrative capital of the Netherlands)</li></ol>
Denemark	<i>name</i><br><ol><li>Denmark</li></ol>
Dongeradiel	<i>name</i><br><ol><li>Dongeradeel (a municipality of Friesland, Netherlands)</li></ol>
Dútslân	<i>name</i><br><ol><li>Germany</li></ol>
Eastenryk	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Eaststellingwerf	<i>name</i><br><ol><li>Ooststellingwerf (a municipality of Friesland, Netherlands)</li></ol>
Estlân	<i>name</i><br><ol><li>Estonia</li></ol>
Fatikaanstêd	<i>name</i><br><ol><li>Vatican City</li></ol>
Fenus	<i>noun</i><br><ol><li>Venus (planet)</li><li>Venus (goddess)</li></ol>
Ferwerderadiel	<i>name</i><br><ol><li>Ferwerderadiel (a municipality of Friesland, Netherlands)</li></ol>
Finlân	<i>name</i><br><ol><li>Finland</li></ol>
Flylân	<i>name</i><br><ol><li>Vlieland (an island in Friesland, Netherlands)</li><li>Vlieland (a municipality of Friesland, Netherlands)</li></ol>
Foarysk	<i>name</i><br><ol><li>Võro</li></ol>
Frankryk	<i>name</i><br><ol><li>France</li></ol>
Fries|Friezen	<i>noun</i><br><ol><li>Frisian person</li></ol>
Frjentsjer	<i>name</i><br><ol><li>Franeker (a city in Friesland, Netherlands)</li></ol>
Frjentsjerteradiel	<i>name</i><br><ol><li>Franekeradeel (a municipality of Friesland, Netherlands)</li></ol>
Frysk|Frysks|Fryskere|it Fryskste|it Fryskst|Fryske|Fryskste|Fryskst|Fryskers|Frysker	<i>adj</i><br><ol><li>Frisian (of, from, or pertaining to Friesland or the Frisian people, culture, or language)</li><li>West Frisian (of, from, or pertaining to the West Frisian people, culture, or language)</li></ol><br><i>name</i><br><ol><li>Frisian (a Germanic language group with speakers in the Netherlands and Germany)</li><li>West Frisian (a language spoken mostly in Friesland)</li></ol>
Fryslân	<i>name</i><br><ol><li>Friesland, a province of the Netherlands</li></ol>
Frânsk	<i>adj</i><br><ol><li>French</li></ol><br><i>name</i><br><ol><li>French language</li></ol>
Gealsk|it Gealskste|Gealsker|Gealskers|Gealske|Gealskste|it Gealskst|Gealskere|Gealsks	<i>adj</i><br><ol><li>relating to the Scottish Gaelic language</li><li>relating to Highlanders or Highlander culture</li></ol><br><i>name</i><br><ol><li>the Scottish Gaelic language</li></ol>
Gelokkich Nijjier|Gelokkich Nijjier!	<i>phrase</i><br><ol><li>Happy New Year!</li></ol>
Geörgje	<i>name</i><br><ol><li>Georgia (country)</li></ol>
