Bobawa	<i>name</i><br><ol><li>the village of Bobawa</li></ol>
Difaidawo	<i>name</i><br><ol><li>the island of Halmahera</li></ol>
Kian	<i>name</i><br><ol><li>the island of Kayoa</li></ol>
Makian	<i>name</i><br><ol><li>the village of Ngofakiaha</li></ol>
Malapa	<i>name</i><br><ol><li>the village of Malapa</li></ol>
Mateketen	<i>name</i><br><ol><li>the village of Tafasoho</li></ol>
Moi	<i>name</i><br><ol><li>the island of Makian</li></ol>
Moi Ciawi	<i>name</i><br><ol><li>the eastern part of Makian island, particularly where East Makian (Taba) is spoken</li></ol>
Moi Tesite	<i>name</i><br><ol><li>the western part of Makian island, particularly where West Makian is spoken</li></ol>
Ngofabobawa	<i>name</i><br><ol><li>the village of Ngofabobawa</li></ol>
Sebelewi	<i>name</i><br><ol><li>the village of Sabale</li></ol>
Tagono	<i>name</i><br><ol><li>the village of Tagono</li></ol>
Talapaun	<i>name</i><br><ol><li>the village of Talapao</li></ol>
Teketen	<i>name</i><br><ol><li>Moti island</li></ol>
a|timia|mimia|famaa|tia|dia|imaa|aa|dimia|namaa|amaa|ia|imia|nia|fimia|nimia|mamaa|fia|mamia|mia|tamaa|maa|amia|a|damaa	<i>verb</i><br><ol><li>(stative) to be cooked</li><li>(stative) to be done, finished</li><li>(transitive) Alternative form of am (“to eat”)</li></ol>
abamo	<i>noun</i><br><ol><li>a handle</li></ol>
abei	<i>noun</i><br><ol><li>a snake</li></ol>
abo|niabo|aabo|miabo|diabo|maabo|tiabo|fiabo|iabo	<i>verb</i><br><ol><li>(stative) to be wounded, to have a wound</li></ol>
abulo	<i>noun</i><br><ol><li>the forehead</li></ol>
adu|faadu|maadu|aadu|daadu|naadu|iadu|taadu	<i>verb</i><br><ol><li>(transitive) to fell a tree</li></ol>
ae|ifaae|maae|aae|iae|afaae|daae|nafaae|taae|mafaae|tafaae|dafaae|faae|fafaae|naae	<i>verb</i><br><ol><li>(intransitive) to laugh</li></ol>
afe	<i>noun</i><br><ol><li>front</li><li>face</li><li>(informal) eye</li></ol>
afebebe	<i>noun</i><br><ol><li>tears</li></ol>
afi	<i>noun</i><br><ol><li>earth</li><li>ground</li><li>dirt</li><li>cultivated field</li><li>garden</li></ol>
afo	<i>noun</i><br><ol><li>lime (especially when eaten with betel nut)</li></ol>
ai|maai|faai|aai|daai|naai|iai|taai	<i>verb</i><br><ol><li>(intransitive) to come back, return</li><li>(intransitive) to depart</li></ol>
aim	<i>noun</i><br><ol><li>name</li></ol>
aiwi	<i>particle</i><br><ol><li>(sentence-final) alternative form of wai (“not yet”)</li></ol>
ale	<i>noun</i><br><ol><li>bait</li></ol>
am|nefiam|defiam|fefiam|fiam|ifiam|diam|nifiam|niam|aam|iam|fifiam|mefiam|afiam|tefiam|tiam|miam	<i>verb</i><br><ol><li>(transitive) to eat</li></ol>
amo	<i>noun</i><br><ol><li>reason</li><li>the liver</li></ol><br><i>conj</i><br><ol><li>(subordinating) because, since (literally, "the reason is")</li></ol>
amot|iamot|faamot|maamot|taamot|daamot|aamot|naamot	<i>verb</i><br><ol><li>(transitive) to suck at (a hose, etc.)</li></ol>
ampong	<i>noun</i><br><ol><li>forgiveness</li></ol>
ano	<i>noun</i><br><ol><li>a part (of something)</li></ol>
aoro	<i>noun</i><br><ol><li>a frog</li></ol>
apato	<i>adv</i><br><ol><li>(interrogative) alternative form of hapaato (“how?”)</li></ol>
apota	<i>noun</i><br><ol><li>(informal) the head</li></ol>
arufe	<i>noun</i><br><ol><li>a mouse, rat</li></ol>
asal	<i>noun</i><br><ol><li>the contents or topic (of something)</li></ol>
ase	<i>noun</i><br><ol><li>salt</li></ol>
asi	<i>noun</i><br><ol><li>rafter (of roof)</li></ol>
aso	<i>noun</i><br><ol><li>dog</li></ol>
at	<i>noun</i><br><ol><li>man</li><li>male</li><li>husband</li></ol>
atipa	<i>noun</i><br><ol><li>a kind of drum, possibly the tifa</li></ol>
ato	<i>noun</i><br><ol><li>thatch</li></ol>
atus	<i>num</i><br><ol><li>hundred</li></ol>
atus minye	<i>num</i><br><ol><li>one hundred</li></ol>
au|daau|faau|naau|taau|aau|maau|iau	<i>verb</i><br><ol><li>(transitive) to climb, ascend</li><li>(intransitive, of the moon) to rise</li></ol>
au fi	<i>verb</i><br><ol><li>(transitive, of mountains, etc.) to climb, ascend</li></ol>
awo|maawo|niawo|iawo|tiawo|fiawo|aawo|miawo|diawo	<i>verb</i><br><ol><li>(stative) to be long</li><li>(stative) to be deep</li></ol>
awoideng	<i>num</i><br><ol><li>twenty</li></ol>
awoifati	<i>num</i><br><ol><li>forty</li></ol>
awoinye|diawoinye	<i>num</i><br><ol><li>ten</li></ol>
awoiunge	<i>num</i><br><ol><li>thirty</li></ol>
awuo|diawuo|aawuo|fiawuo|iawuo|niawuo|maawuo|tiawuo|miawuo	<i>verb</i><br><ol><li>(stative) Alternative form of awo (“long”)</li></ol>
ayo	<i>noun</i><br><ol><li>older sibling</li></ol>
ayo da at	<i>noun</i><br><ol><li>older brother</li></ol>
ayo da papa|ayo da pa	<i>noun</i><br><ol><li>older sister</li></ol>
ba	<i>noun</i><br><ol><li>the vagina</li></ol>
baabaa|nibaabaa|mibaabaa|mabaabaa|dibaabaa|fibaabaa|ibaabaa|abaabaa|tibaabaa	<i>verb</i><br><ol><li>(stative) to be mad, crazy</li></ol>
baba	<i>noun</i><br><ol><li>father</li></ol>
badan	<i>noun</i><br><ol><li>body</li></ol>
bafikir|fabafikir|tabafikir|abafikir|dabafikir|nabafikir|ibafikir|mabafikir	<i>verb</i><br><ol><li>(intransitive) to think</li></ol>
bafo|nabafo|fibafo|nibafo|tibafo|mabafo|ibafo|fabafo|tabafo|dabafo|dibafo|mibafo|abafo	<i>verb</i><br><ol><li>(stative) to be alive</li><li>(intransitive) to grow</li></ol>
baju	<i>noun</i><br><ol><li>a dress</li><li>a shirt</li></ol>
baku	<i>noun</i><br><ol><li>sago</li><li>the sago palm</li></ol>
balabalat	<i>noun</i><br><ol><li>a roller (for beaching a boat)</li></ol>
balak	<i>noun</i><br><ol><li>a beam (of timber)</li></ol>
balas|tabalas|ibalas|abalas|nabalas|fabalas|dabalas|mabalas	<i>verb</i><br><ol><li>(intransitive) to avenge, to pay back</li></ol>
bali|abali|fabali|dabali|tabali|ibali|nabali|mabali	<i>verb</i><br><ol><li>(transitive) to bind, tie</li></ol>
barenti|nabarenti|ibarenti|fabarenti|tabarenti|mabarenti|abarenti|dabarenti	<i>verb</i><br><ol><li>(intransitive) to stop</li></ol>
baru	<i>noun</i><br><ol><li>boat caulking</li></ol>
barubaru	<i>noun</i><br><ol><li>wall (of a house, etc.)</li></ol>
baso|ibaso|tabaso|nabaso|mabaso|dabaso|fabaso|abaso	<i>verb</i><br><ol><li>(transitive) to hear</li></ol>
be	<i>noun</i><br><ol><li>water</li></ol>
bebe|nebebe|debebe|abebe|mebebe|ibebe|febebe|tebebe	<i>verb</i><br><ol><li>(transitive, informal) to drink</li></ol>
bebei|nibebei|ibebei|fibebei|dibebei|mabebei|mibebei|abebei|tibebei	<i>verb</i><br><ol><li>(stative) to be angry</li></ol>
bebewi|mibebewi|mabebewi|dibebewi|ibebewi|nibebewi|abebewi|tibebewi|fibebewi	<i>verb</i><br><ol><li>(stative) alternative form of bebei (“angry”)</li></ol>
bebiti	<i>noun</i><br><ol><li>a bailing bucket</li></ol>
beebom	<i>noun</i><br><ol><li>a butterfly</li></ol>
bele|tibele|abele|mibele|fibele|mabele|nibele|dibele|ibele	<i>verb</i><br><ol><li>(stative) to be hungry</li></ol>
belebele|mibelebele|abelebele|tibelebele|mabelebele|dibelebele|ibelebele|nibelebele|fibelebele	<i>verb</i><br><ol><li>(stative) to be soft</li><li>(stative) to be weak</li><li>(stative) to be going or moving slowly</li></ol>
belo	<i>noun</i><br><ol><li>the tongue</li></ol>
belu|tebelu|febelu|mebelu|ibelu|abelu|nebelu|debelu	<i>verb</i><br><ol><li>(transitive) to lick</li></ol>
belubelu	<i>noun</i><br><ol><li>the tongue</li></ol>
bene	<i>noun</i><br><ol><li>louse</li></ol>
berarti|miberarti|maberarti|niberarti|fiberarti|tiberarti|iberarti|diberarti|aberarti	<i>verb</i><br><ol><li>(stative) to mean, signify</li></ol>
berebere|diberebere|niberebere|maberebere|tiberebere|fiberebere|iberebere|miberebere|aberebere	<i>verb</i><br><ol><li>(stative) to be weak</li></ol>
besi	<i>noun</i><br><ol><li>iron (metal)</li></ol>
beti	<i>noun</i><br><ol><li>a swamp</li><li>mud</li></ol>
bicara|mebicara|abicara|fibicara|febicara|tebicara|nebicara|nibicara|debicara|ibicara	<i>verb</i><br><ol><li>(intransitive) to speak</li></ol><br><i>noun</i><br><ol><li>speech</li></ol>
bilu	<i>noun</i><br><ol><li>bamboo</li></ol>
bio	<i>noun</i><br><ol><li>taro</li></ol>
birahi|abirahi|mabirahi|dibirahi|ibirahi|fibirahi|nibirahi|mibirahi|tibirahi	<i>verb</i><br><ol><li>(stative) to be physically beautiful</li></ol>
birbori	<i>noun</i><br><ol><li>a grindstone</li></ol>
bisi	<i>noun</i><br><ol><li>the calf of a leg</li></ol>
biso	<i>noun</i><br><ol><li>tail</li></ol>
biti	<i>verb</i><br><ol><li>to bail water</li></ol>
bo	<i>noun</i><br><ol><li>penis</li></ol>
boba|maboba|fiboba|niboba|miboba|aboba|iboba|tiboba|diboba	<i>verb</i><br><ol><li>(stative) to call, summon</li></ol>
bobie	<i>noun</i><br><ol><li>lemongrass</li></ol>
bodo	<i>noun</i><br><ol><li>belly</li></ol>
bodo bosi	<i>verb</i><br><ol><li>(stative, possessed) to be full, stuffed</li></ol>
bodok|abodok|mibodok|dibodok|ibodok|mabodok|nibodok|tibodok|fibodok	<i>verb</i><br><ol><li>(stative) to be stupid</li></ol>
bokoboko|ibokoboko|fibokoboko|dibokoboko|abokoboko|mibokoboko|nibokoboko|mabokoboko|tibokoboko	<i>verb</i><br><ol><li>(stative) to be round and flat</li></ol>
bolabola|fibolabola|abolabola|mibolabola|nibolabola|tibolabola|dibolabola|ibolabola|mabolabola	<i>verb</i><br><ol><li>(stative) to be lying down for a rest, but not asleep</li></ol>
bole	<i>intj</i><br><ol><li>good, fine!</li></ol>
bori|ibori|nobori|fobori|abori|mobori|tobori|dobori	<i>verb</i><br><ol><li>(transitive) to sharpen</li></ol>
bosi|nibosi|dibosi|abosi|mabosi|tibosi|ibosi|mibosi|fibosi	<i>verb</i><br><ol><li>(stative) to be swollen</li></ol>
bual	<i>noun</i><br><ol><li>a termite</li></ol>
buba|mabuba|tibuba|nibuba|fibuba|ibuba|dibuba|abuba|mibuba	<i>verb</i><br><ol><li>(stative) alternative form of boba (“to call, summon”)</li></ol>
bulang	<i>adv</i><br><ol><li>the next day</li></ol>
bule|tobule|abule|nubule|fubule|mobule|dobule|ibule|nobule|fobule	<i>verb</i><br><ol><li>(transitive) to twine (rope, etc.)</li></ol>
