Buur|Bura|Buurn	<i>name</i><br><ol><li>(indefinite) a locality just south of Skellefteå in Västerbotten County in northern Sweden</li><li>(definite) a river south of Skellefteå in Västerbotten County in northern Sweden</li></ol>
Byistj	<i>name</i><br><ol><li>(indefinite) a small coastal town near Skellefteå in Västerbotten County in northern Sweden</li></ol>
Bögd	<i>name</i><br><ol><li>a small coastal town in Westrobothnia in northern Sweden</li></ol>
Börvik	<i>name</i><br><ol><li>a village near Lövånger in Västerbotten County in northern Sweden</li></ol>
Grannros	<i>name</i><br><ol><li>A cow name.</li></ol>
Hinnersböl	<i>name</i><br><ol><li>a small town near Nolmaning in Västerbotten County in northern Sweden</li></ol>
Holmen	<i>name</i><br><ol><li>Name of an islet.</li></ol>
Höukmark|Höukmarken|Höukmarka	<i>name</i><br><ol><li>a small town near Lövånger in Västerbotten County in northern Sweden</li></ol>
Jakksmäss	<i>noun</i><br><ol><li>St James' mass, Feast of Saint James</li></ol>
Jör|Jörn|Jöråm	<i>name</i><br><ol><li>Jörn (a small town near Skellefteå in Västerbotten County in northern Sweden)</li></ol>
Leol	<i>name</i><br><ol><li>A town in northern Sweden</li></ol>
Levanger	<i>name</i><br><ol><li>Lövånger (a small town near Skellefteå in Västerbotten County in northern Sweden)</li></ol>
Löissta|Löisstn	<i>name</i><br><ol><li>a locality just north of Lövånger in Västerbotten County in northern Sweden</li></ol>
Pijt	<i>name</i><br><ol><li>A town in northern Sweden</li></ol>
Raan	<i>name</i><br><ol><li>a small town in Luleå Municipality in Västerbotten County in northern Sweden</li></ol>
Ryssbøl	<i>name</i><br><ol><li>a village near Lövånger in Västerbotten County in northern Sweden</li></ol>
Schélet	<i>name</i><br><ol><li>Skellefteå (a city in Västerbotten County, in northern Sweden)</li></ol>
Skojen|Skojom	<i>name</i><br><ol><li>a village near Lövånger in Västerbotten County in northern Sweden</li></ol>
Thorn	<i>noun</i><br><ol><li>Lightning, thunder.</li></ol>
Um	<i>name</i><br><ol><li>Umeå (the capital city of Västerbotten County, in northern Sweden)</li></ol>
Vemark|Vemarka|Vemarken	<i>name</i><br><ol><li>a village near Lövånger in Västerbotten County in northern Sweden</li></ol>
Voldrom	<i>name</i><br><ol><li>a small town in Jokkmokk Municipality in Norrbotten County in northern Sweden</li></ol>
aak|ake	<i>verb</i><br><ol><li>(rare) To plow shallow furrows.</li></ol>
aakt|& supine aktä	<i>verb</i><br><ol><li>evaluate, heed, consider</li></ol>
aftavǽł|aftavǽł’enn|aftavǽłum	<i>noun</i><br><ol><li>Supper; eaten around 4-5.</li></ol>
afålli	<i>adj</i><br><ol><li>Emaciated.</li></ol>
afånni	<i>adv</i><br><ol><li>Timely (or unfortunate.)</li></ol>
agalaus	<i>adj</i><br><ol><li>ill-mannered, self-willed, unruly</li></ol>
agg	<i>adj</i><br><ol><li>Inside out.</li><li>Averse, irate, angry.</li></ol>
aggsíðʼ	<i>noun</i><br><ol><li>The reverse side.</li><li>(figarutively) The worse side.</li></ol>
aggʼ|agga	<i>noun</i><br><ol><li>Water that flows back against the current due to terrain or rocks; whirlpool.</li><li>Headwind, wind from an unexpected direction..</li></ol>
aigg|aigga|aidje	<i>noun</i><br><ol><li>Egg.</li><li>The sharp edge of a cutting tool.</li></ol>
aindjaing|aindjaingt	<i>adj</i><br><ol><li>Monotonous, humdrum.</li><li>Stubborn, one-sided.</li></ol>
ainkä	<i>adj</i><br><ol><li>Sole, only.</li></ol>
ainlaitt	<i>adj</i><br><ol><li>Monocoloured.</li></ol>
ajn|ajtt|ain	<i>num</i><br><ol><li>one; the cardinal number before to (“two”).</li></ol><br><i>pron</i><br><ol><li>one</li></ol>
ajnsinnt	<i>adj</i><br><ol><li>Wayward.</li></ol>
aks|aks’e|aks’a	<i>noun</i><br><ol><li>An ear (of corn.)</li><li>A barb (of hook.)</li><li>A tooth (of key.)</li><li>(finance) A share.</li></ol>
