Almaañ	<i>name</i><br><ol><li>Germany</li></ol>
Amerik	<i>name</i><br><ol><li>America, the United States</li></ol>
Angale	<i>name</i><br><ol><li>the English language</li></ol>
Awiril	<i>noun</i><br><ol><li>April</li></ol>
Bawol-Bawol	<i>noun</i><br><ol><li>Someone from the wikipedia:Baol region in central Senegal</li></ol>
Desàmbar	<i>noun</i><br><ol><li>December</li></ol>
Estooni	<i>name</i><br><ol><li>Estonia</li></ol>
Faraas	<i>name</i><br><ol><li>France</li></ol>
Feberiye	<i>noun</i><br><ol><li>February</li></ol>
Girees	<i>name</i><br><ol><li>Greece</li></ol>
Gàmbi	<i>name</i><br><ol><li>Gambia (a country in West Africa)</li></ol>
Jolof-Jolof	<i>noun</i><br><ol><li>Someone from the wikipedia:Jolof region of Senegambia</li></ol>
Kajoor-Kajoor	<i>noun</i><br><ol><li>Someone from the Cayor region, spelled Kajoor in Wolof.</li></ol>
Korwaasi	<i>name</i><br><ol><li>Croatia</li></ol>
Mars	<i>noun</i><br><ol><li>March</li></ol>
Me	<i>noun</i><br><ol><li>May</li></ol>
Ndar-Ndar	<i>noun</i><br><ol><li>Someone from capital of Senegal, which is known as St. Louis by its French exonym, and known within as Ndar.</li></ol>
Nowàmbar	<i>noun</i><br><ol><li>November</li></ol>
Oktoobar	<i>noun</i><br><ol><li>October</li></ol>
Pari	<i>name</i><br><ol><li>Paris</li></ol>
Saalum-Saalum	<i>noun</i><br><ol><li>Someone from the wikipedia:Saloum region in central Senegal</li></ol>
Samwiye	<i>noun</i><br><ol><li>January</li></ol>
Senegaal	<i>name</i><br><ol><li>Senegal (a country in West Africa)</li></ol>
Siin-Siin	<i>noun</i><br><ol><li>Someone from the Siin region of Senegal.</li></ol>
Sulye	<i>noun</i><br><ol><li>July</li></ol>
Suweŋ	<i>noun</i><br><ol><li>June</li></ol>
Sàttumbar	<i>noun</i><br><ol><li>September</li></ol>
Tirki	<i>name</i><br><ol><li>Turkey</li></ol>
Tuubaa	<i>noun</i><br><ol><li>Touba, a religious city</li></ol>
Ut	<i>noun</i><br><ol><li>August</li></ol>
Waalo-Waalo	<i>noun</i><br><ol><li>Someone from the wikipedia:Waalo region of Senegal</li></ol>
Yàlla|Yàlla Yàlla|form Yàlla ji	<i>name</i><br><ol><li>God</li></ol>
aada|form aada ji	<i>noun</i><br><ol><li>custom, culture</li></ol>
aafiya|form aafiya ji	<i>noun</i><br><ol><li>peace</li></ol>
aajo|form aajo ji	<i>noun</i><br><ol><li>attention, regard, consideration</li><li>needs, concern</li></ol>
aajowoo	<i>verb</i><br><ol><li>to have need of, to need</li></ol>
aaju	<i>verb</i><br><ol><li>to be necessary to, to be worth the trouble to</li></ol>
aakimu	<i>verb</i><br><ol><li>to take over, to hog, to monopolize</li></ol>
aal	<i>noun</i><br><ol><li>bad mood</li></ol>
aala	<i>noun</i><br><ol><li>forest, bush</li></ol>
aalim|form aalim ji	<i>noun</i><br><ol><li>scholar, alim</li></ol>
aaluwa|form aaluwa bi	<i>noun</i><br><ol><li>Wooden writing tablet</li></ol>
aar	<i>verb</i><br><ol><li>to wash a piece of linen for the first time</li><li>to protect, to defend</li></ol>
aareen|form aareen bi	<i>noun</i><br><ol><li>wrestling arena</li></ol>
aaréen|form aaréen ji	<i>noun</i><br><ol><li>groundnut</li></ol>
aateekat	<i>noun</i><br><ol><li>magistrate</li></ol>
ab	<i>article</i><br><ol><li>a/an (singular indefinite article)</li></ol>
abal|aal	<i>verb</i><br><ol><li>to lend</li></ol>
afeer	<i>noun</i><br><ol><li>business</li><li>affair</li></ol>
ag	<i>prep</i><br><ol><li>with</li></ol>
ak	<i>conj</i><br><ol><li>and</li></ol>
akara|aakara|form akara bi|form aakara bi	<i>noun</i><br><ol><li>bean cake, fried bean flour</li></ol>
alaafiya	<i>noun</i><br><ol><li>freedom</li></ol>
alaaji	<i>noun</i><br><ol><li>A male pilgrim to Mecca</li></ol>
altine	<i>noun</i><br><ol><li>Monday</li></ol>
alxamdulilaa	<i>intj</i><br><ol><li>(Islam) alhamdulillah (praise be to God)</li></ol>
alxames	<i>noun</i><br><ol><li>Thursday</li></ol>
alxuraan|form alxuraan ji	<i>noun</i><br><ol><li>Quran</li></ol>
amet|form amet gi	<i>noun</i><br><ol><li>moor</li></ol>
ana	<i>adv</i><br><ol><li>(interrogative) where is, how are</li></ol>
anaago	<i>noun</i><br><ol><li>frock</li></ol>
are|form are bi	<i>noun</i><br><ol><li>stop, especially a bus stop</li></ol>
areen|form areen ji	<i>noun</i><br><ol><li>peanut</li></ol>
areet	<i>verb</i><br><ol><li>stop, only used in the imperative</li></ol>
ariko|form ariko ji	<i>noun</i><br><ol><li>green bean</li></ol>
as	<i>article</i><br><ol><li>a small (singular diminutive indefinite article)</li></ol>
at|form at mi	<i>noun</i><br><ol><li>year</li></ol>
ay	<i>article</i><br><ol><li>some (plural indefinite article)</li></ol>
añ	<i>noun</i><br><ol><li>lunch</li></ol><br><i>verb</i><br><ol><li>to have lunch</li></ol>
baaraam|form baaraam bi	<i>noun</i><br><ol><li>finger</li></ol>
baat|form baat bi	<i>noun</i><br><ol><li>neck</li><li>voice</li></ol>
baatukaay	<i>noun</i><br><ol><li>dictionary</li></ol>
baax	<i>verb</i><br><ol><li>to be well, be healthy</li></ol>
baaxoñ|form baaxoñ bi	<i>noun</i><br><ol><li>crow</li></ol>
baay	<i>noun</i><br><ol><li>father, or one's father's brother</li></ol>
bakkan|form bakkan bi	<i>noun</i><br><ol><li>nose</li></ol>
bal|form bal bi	<i>noun</i><br><ol><li>ball</li></ol>
bala	<i>adv</i><br><ol><li>before</li></ol>
banaana|form banaana bi|form banaana gi	<i>noun</i><br><ol><li>banana (fruit)</li><li>banana (plant)</li></ol>
banjooli	<i>noun</i><br><ol><li>ostrich, Struthio camelus</li></ol>
baraada|form baraada bi	<i>noun</i><br><ol><li>tea kettle</li></ol>
basaŋ|form basaŋ gi	<i>noun</i><br><ol><li>mat</li></ol>
bataaxal	<i>noun</i><br><ol><li>message, letter</li></ol>
batañse|form batañse bi	<i>noun</i><br><ol><li>eggplant</li></ol>
baykat	<i>noun</i><br><ol><li>farmer</li></ol>
baŋ|form baŋ bi	<i>noun</i><br><ol><li>small bench</li></ol>
beeñ	<i>noun</i><br><ol><li>white sand</li></ol>
benn	<i>num</i><br><ol><li>one</li></ol>
beteraaw|form beteraaw bi	<i>noun</i><br><ol><li>beetroot</li></ol>
bey	<i>verb</i><br><ol><li>to farm</li></ol>
beykat	<i>noun</i><br><ol><li>farmer</li></ol>
biir|form biir gi	<i>noun</i><br><ol><li>belly, abdomen</li><li>stomach</li></ol>
bikk	<i>noun</i><br><ol><li>pen</li></ol>
bind	<i>verb</i><br><ol><li>to write</li></ol>
