A	<i>character</i><br><ol><li>The first letter of the Xhosa alphabet, written in the Latin script.</li></ol>
NguThixo	<i>noun</i><br><ol><li>God</li></ol>
aba|âba	<i>verb</i><br><ol><li>(transitive) to share</li><li>(transitive) to distribute</li></ol><br><i>pron</i><br><ol><li>these; class 2 proximal demonstrative.</li></ol>
abaya	<i>pron</i><br><ol><li>those over there, yonder; class 2 remote demonstrative.</li></ol>
abo|âbo	<i>pron</i><br><ol><li>those; class 2 distal demonstrative.</li></ol>
agwenxa	<i>verb</i><br><ol><li>(intransitive) to be illegal</li></ol>
ahluka	<i>verb</i><br><ol><li>to separate</li><li>to differ</li></ol>
ahlukanisa	<i>verb</i><br><ol><li>to segregate</li></ol>
ahlula	<i>verb</i><br><ol><li>to separate, to divide</li><li>to judge</li></ol>
akha	<i>verb</i><br><ol><li>to build</li></ol>
akhama	<i>verb</i><br><ol><li>(intransitive) to yawn</li></ol>
ala	<i>verb</i><br><ol><li>to refuse</li></ol>
alamana	<i>verb</i><br><ol><li>(intransitive) to be related</li></ol>
alatha	<i>verb</i><br><ol><li>to point out</li></ol>
alathisa	<i>verb</i><br><ol><li>to show the way</li></ol>
alela	<i>verb</i><br><ol><li>(transitive) to prohibit</li></ol>
aluka	<i>verb</i><br><ol><li>(intransitive) to be circumcised</li><li>to weave</li></ol>
alusa	<i>verb</i><br><ol><li>(transitive) to circumcize</li><li>to herd sheep</li></ol>
amafutha|ámáfûtha	<i>noun</i><br><ol><li>fat</li><li>oil</li><li>grease</li></ol>
amandla|ámándla	<i>noun</i><br><ol><li>strength, power</li></ol>
amanzi|ámânzi	<i>noun</i><br><ol><li>water</li></ol>
amarhewu|ámárhéwu	<i>noun</i><br><ol><li>maize drink</li><li>light beer</li></ol>
amathe|ámathé	<i>noun</i><br><ol><li>saliva</li></ol>
amazimba|ámázimba	<i>noun</i><br><ol><li>kaffir corn</li></ol>
ambatha	<i>verb</i><br><ol><li>(intransitive) to put on a blanket</li></ol>
amendu|ámendú	<i>noun</i><br><ol><li>speed</li></ol>
amkela	<i>verb</i><br><ol><li>to receive</li></ol>
anda	<i>verb</i><br><ol><li>(intransitive) to increase</li></ol>
andisa	<i>verb</i><br><ol><li>(transitive) to increase</li></ol>
andlala	<i>verb</i><br><ol><li>(intransitive) to make a bed</li></ol>
aneka	<i>verb</i><br><ol><li>to hang in the sun</li></ol>
anela	<i>verb</i><br><ol><li>to suffice</li></ol>
aneliseka	<i>verb</i><br><ol><li>(intransitive) to be pleased</li></ol>
apha|ápha	<i>adv</i><br><ol><li>here; proximal demonstrative adverb.</li></ol>
apho|ápho	<i>adv</i><br><ol><li>there; distal demonstrative adverb.</li></ol>
aphuka	<i>verb</i><br><ol><li>(intransitive) to break, to become broken</li></ol>
aphula	<i>verb</i><br><ol><li>(transitive) to break, to fracture</li></ol>
awu|âwu	<i>intj</i><br><ol><li>oh!</li></ol>
azi	<i>verb</i><br><ol><li>to know</li></ol>
azisa	<i>verb</i><br><ol><li>to announce</li></ol>
ba	<i>verb</i><br><ol><li>to be</li><li>to become</li></ol>
babaza	<i>verb</i><br><ol><li>to exaggerate</li></ol>
bafana	<i>noun</i><br><ol><li>simple plural of umfana</li></ol>
bala	<i>verb</i><br><ol><li>to count</li></ol>
baleka	<i>verb</i><br><ol><li>(intransitive) to run away, to flee</li></ol>
balisa	<i>verb</i><br><ol><li>(transitive) to make/help to count</li><li>(transitive) to recount</li></ol>
balula	<i>verb</i><br><ol><li>(transitive) to select</li></ol>
baluleka	<i>verb</i><br><ol><li>(intransitive) to be important</li></ol>
bamba	<i>verb</i><br><ol><li>to touch</li><li>to catch</li></ol>
banda	<i>verb</i><br><ol><li>(intransitive) to be cold</li></ol>
bandezela	<i>verb</i><br><ol><li>(transitive) to squeeze</li></ol>
banga	<i>verb</i><br><ol><li>to cause</li></ol>
banzi|azibanzi|enibanzi|ababanzi|eningebanzi|esibanzi|ndibanzi|akubanzi|alubanzi|anibanzi|ebanzi|libanzi|ezingebanzi|akabanzi|elingebanzi|olungebanzi|andibanzi|obubanzi|ongebanzi|endibanzi|sibanzi|babanzi|ibanzi|engebanzi|elibanzi|ubanzi|alibanzi|lubanzi|kubanzi|angebanzi|obungebanzi|olubanzi|abangebanzi|awabanzi|zibanzi|ezibanzi|bubanzi|nibanzi|abanzi|endingebanzi|obanzi|okungebanzi|abubanzi|esingebanzi|ayibanzi|asibanzi|okubanzi|awubanzi	<i>conj</i><br><ol><li>wide</li></ol>
basa	<i>verb</i><br><ol><li>(transitive) to light, to kindle</li></ol>
baxa	<i>verb</i><br><ol><li>to exaggerate</li></ol>
bebulula	<i>verb</i><br><ol><li>(transitive) to peel off</li></ol>
beka	<i>verb</i><br><ol><li>to put, place</li></ol>
beleka	<i>verb</i><br><ol><li>(transitive) to carry</li></ol>
bengezela	<i>verb</i><br><ol><li>to sparkle</li></ol>
betha	<i>verb</i><br><ol><li>to hit, to strike</li></ol>
bethelela	<i>verb</i><br><ol><li>(transitive) to hammer</li></ol>
bhabha	<i>verb</i><br><ol><li>to fly</li></ol>
bhabhazela	<i>verb</i><br><ol><li>to float</li></ol>
bhadla	<i>verb</i><br><ol><li>simmer</li></ol>
bhadula	<i>verb</i><br><ol><li>(intransitive) to wander</li></ol>
bhaka	<i>verb</i><br><ol><li>(transitive) to bake</li></ol>
bhala	<i>verb</i><br><ol><li>to write</li></ol>
bhanxeka	<i>verb</i><br><ol><li>(intransitive) to be mad</li></ol>
bhanyabhanya	<i>verb</i><br><ol><li>to flicker</li></ol>
bhaqa	<i>verb</i><br><ol><li>(transitive) to discover</li></ol>
bhatala	<i>verb</i><br><ol><li>to pay</li></ol>
bhatalisa	<i>verb</i><br><ol><li>(transitive) to charge</li></ol>
bheda	<i>verb</i><br><ol><li>(intransitive) to not be serious</li></ol>
bheja	<i>verb</i><br><ol><li>to bet</li></ol>
bheka	<i>verb</i><br><ol><li>to look at</li></ol>
bhengeza	<i>verb</i><br><ol><li>advertise</li></ol>
bhentsisa	<i>verb</i><br><ol><li>to present</li></ol>
bhetele|azibhetele|awubhetele|ezibhetele|ongebhetele|okubhetele|esingebhetele|enibhetele|elingebhetele|andibhetele|ibhetele|zibhetele|akabhetele|bubhetele|sibhetele|ebhetele|okungebhetele|angebhetele|eningebhetele|anibhetele|alubhetele|endibhetele|akubhetele|abubhetele|endingebhetele|obubhetele|babhetele|ababhetele|esibhetele|obhetele|ubhetele|asibhetele|nibhetele|abangebhetele|ayibhetele|libhetele|olubhetele|olungebhetele|ezingebhetele|engebhetele|lubhetele|elibhetele|abhetele|obungebhetele|kubhetele|awabhetele|alibhetele|ndibhetele	<i>conj</i><br><ol><li>better</li></ol>
bhexesha	<i>verb</i><br><ol><li>(transitive) to facilitate</li></ol>
bhida	<i>verb</i><br><ol><li>confuse</li></ol>
bhinqa	<i>verb</i><br><ol><li>to wear clothing around the waist</li></ol>
bhitya	<i>verb</i><br><ol><li>to be lean</li></ol>
bhiyoza	<i>verb</i><br><ol><li>to party</li></ol>
bhoda	<i>verb</i><br><ol><li>board</li></ol>
bhodla	<i>verb</i><br><ol><li>(intransitive) to burp</li></ol>
bhola	<i>verb</i><br><ol><li>to drill</li></ol>
bhotisa	<i>verb</i><br><ol><li>(transitive) to greet</li></ol>
bhoxa	<i>verb</i><br><ol><li>(transitive) to annoy</li></ol>
bhubha	<i>verb</i><br><ol><li>to die</li></ol>
bhuca	<i>verb</i><br><ol><li>(transitive) to knead</li><li>(transitive) to mix</li></ol>
bhuda	<i>verb</i><br><ol><li>to rave</li></ol>
bhudla	<i>verb</i><br><ol><li>to blow</li></ol>
bhukuqa	<i>verb</i><br><ol><li>capsize</li></ol>
bhula	<i>verb</i><br><ol><li>to smother</li></ol>
bhuqabhuqa	<i>verb</i><br><ol><li>to wallow</li></ol>
bhutyubhutyu|lubhutyubhutyu|okungebhutyubhutyu|olubhutyubhutyu|elingebhutyubhutyu|elibhutyubhutyu|obungebhutyubhutyu|akubhutyubhutyu|bubhutyubhutyu|engebhutyubhutyu|esingebhutyubhutyu|ibhutyubhutyu|enibhutyubhutyu|esibhutyubhutyu|endibhutyubhutyu|andibhutyubhutyu|ezibhutyubhutyu|alubhutyubhutyu|sibhutyubhutyu|babhutyubhutyu|ayibhutyubhutyu|ebhutyubhutyu|abangebhutyubhutyu|abubhutyubhutyu|ubhutyubhutyu|endingebhutyubhutyu|kubhutyubhutyu|zibhutyubhutyu|libhutyubhutyu|awabhutyubhutyu|ababhutyubhutyu|anibhutyubhutyu|nibhutyubhutyu|abhutyubhutyu|obhutyubhutyu|ongebhutyubhutyu|akabhutyubhutyu|eningebhutyubhutyu|asibhutyubhutyu|azibhutyubhutyu|obubhutyubhutyu|olungebhutyubhutyu|ezingebhutyubhutyu|okubhutyubhutyu|angebhutyubhutyu|awubhutyubhutyu|ndibhutyubhutyu|alibhutyubhutyu	<i>conj</i><br><ol><li>clumsy</li></ol>
bi|asisibi|eningebabi|abangebabi|akambi|esibi|imbi|abababi|emibi|ayimibi|asibabi|esibabi|enibabi|mibi|alilibi|ababi|engembi|olungelubi|ayiyimbi|amabi|nibabi|angemabi|awumbi|libi|azizimbi|mabi|okubi|endingembi|ongembi|sibi|bubi|obungebubi|obubi|endimbi|embi|umbi|esingesibi|awamabi|zimbi|akukubi|ezingezimbi|lubi|kubi|mbi|andimbi|anibabi|esingebabi|sibabi|ombi|ezimbi|elibi|engemibi|ndimbi|abububi|okungekubi|alulubi|olubi|elingelibi|babi	<i>adj</i><br><ol><li>bad</li><li>evil</li><li>ugly</li></ol>
bika	<i>verb</i><br><ol><li>to report</li></ol>
bila	<i>verb</i><br><ol><li>(intransitive) to boil</li></ol>
bilisa	<i>verb</i><br><ol><li>(transitive) to boil, to make boil</li></ol>
