Seʙieskej sojuus	<i>name</i><br><ol><li>1929–1939 Latin form of Советскай союз (Sovetskay soyuz, “the Soviet Union”)</li></ol>
barɯ a:n dɔjdu ylehit:ere qɔlbɔhuŋ	<i>phrase</i><br><ol><li>workers of the world, unite! (1917—1929 Latin spelling)</li></ol>
barь dojdular proletarijdara, qolbohuꞑ|barь dojdular proletarijdara|bar’ dojdular proletarijdara|qolbohuꞑ	<i>phrase</i><br><ol><li>workers of the world, unite! (1929—1939 Latin spelling)</li></ol>
А|а	<i>character</i><br><ol><li>The first letter of the Yakut alphabet, written in the Cyrillic script.</li></ol>
Алтынньы|Altınńı	<i>name</i><br><ol><li>October</li></ol>
Арассыыйа|Arassııya	<i>name</i><br><ol><li>Russia</li></ol>
Арктика|Arktika	<i>name</i><br><ol><li>(geography) the Arctic</li></ol>
Атырдьах ыйа|Atırcax ıya	<i>name</i><br><ol><li>August</li></ol>
Ахсынньы|Axsınńı	<i>name</i><br><ol><li>December</li></ol>
Балаҕан ыйа|Balağan ıya	<i>name</i><br><ol><li>September</li></ol>
Братислава|Bratislava	<i>name</i><br><ol><li>Bratislava (the capital and largest city of Slovakia)</li></ol>
Бэс ыйа|Bes ıya	<i>name</i><br><ol><li>June</li></ol>
ДЬ|c|Дь|D’|дь|ДЬ	<i>character</i><br><ol><li>The seventh letter of the Sakhan (Yakutian) alphabet.</li></ol>
Далай Лаама|Dalay Laama	<i>name</i><br><ol><li>(religion) Dalai Lama</li></ol>
Дь|c|Дь|D’|дь|ДЬ	<i>character</i><br><ol><li>The seventh letter of the Sakhan (Yakutian) alphabet.</li></ol>
Дьокуускай|Дьокуускайтан|Cokuuskaydaağı|Cokuuskaytan|Cokuuskay|Дьокуускайдааҕы	<i>name</i><br><ol><li>Yakutsk (the capital city of Yakutia, Russia)</li></ol>
Дьокуускайга|Cokuuskayga	<i>name</i><br><ol><li>dative-lative-locative of Дьокуускай (Cokuuskay, “Yakutsk”)</li></ol>
Енисей|Yenisey	<i>name</i><br><ol><li>Yenisei (a major river in Russia)</li></ol>
Иркутскай|İrkutskay	<i>name</i><br><ol><li>Irkutsk (city in Russia)</li></ol>
Киин Азия|Kiin Aziya	<i>noun</i><br><ol><li>Central Asia</li></ol>
Куба|Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Кулун тутар|Kulun tutar	<i>name</i><br><ol><li>March</li></ol>
Кытай|Kitay|Kıtay|Китай	<i>name</i><br><ol><li>China</li></ol>
Минскэй|Minskey	<i>name</i><br><ol><li>Minsk (capital of Belarus)</li></ol>
Муус устар|Muus ustar	<i>name</i><br><ol><li>April</li></ol>
НЬ|Нь|НЬ|Ń|нь|ń|N’	<i>character</i><br><ol><li>The nineteenth letter of the Sakhan (Yakutian) alphabet.</li></ol>
Нь|Нь|НЬ|Ń|нь|ń|N’	<i>character</i><br><ol><li>The nineteenth letter of the Sakhan (Yakutian) alphabet.</li></ol>
Огайо|Ogayo	<i>name</i><br><ol><li>Ohio (a state of the United States)</li><li>Ohio (a river in the central United States)</li></ol>
Олунньу|Olunńu	<i>name</i><br><ol><li>February</li></ol>
Орто Азия|Orto Aziya	<i>noun</i><br><ol><li>(historical) Soviet Central Asia</li></ol>
От ыйа|Ot ıya	<i>name</i><br><ol><li>July</li></ol>
Российскай Федерация|Rossiyskay Federatsiya|РФ	<i>name</i><br><ol><li>Russian Federation</li></ol>
Саха|Saxa	<i>name</i><br><ol><li>(attributive only) Sakha, Yakutia</li></ol>
Саха сиригэр|Saxa siriger	<i>name</i><br><ol><li>lative and adverbial locative forms of Саха сирэ (Saxa sire, “Yakutia”)</li></ol>
Саха сирэ|Saxa sirineeği|Саха сириттэн|Saxa sire|Saxa siritten|Саха сиринээҕи	<i>name</i><br><ol><li>Yakutia</li></ol>
Саха Өрөспүүбүлүкэтэ|СӨ|Saxa Öröspüübülükete	<i>name</i><br><ol><li>the Republic of Sakha (Yakutia) (subject of the Russian Federation)</li></ol>
Сир|Sir	<i>name</i><br><ol><li>(astronomy) Earth</li></ol>
Советскай Социалистическай Республикалар Союзтара|Sovetskay Sotsialistiçeskay Respublikalar Soyuztara	<i>name</i><br><ol><li>the Union of Soviet Socialist Republics (former state)</li></ol>
Сэтинньи|Setinńi	<i>name</i><br><ol><li>November</li></ol>
Тохсунньу|Toxsunńu	<i>name</i><br><ol><li>January</li></ol>
Туймаада|Tuymaada	<i>name</i><br><ol><li>A river valley on the left bank of the Lena (Yakutia, Russia), where the city of Yakutsk is located</li></ol>
Халлаан Сиигэ|Xallaan Siige	<i>noun</i><br><ol><li>(astronomy) the Milky Way</li></ol>
Халыма|Xalıma	<i>name</i><br><ol><li>Kolyma (river)</li></ol>
Ыам ыйа|Iam ıya	<i>name</i><br><ol><li>May</li></ol>
аа|aa	<i>intj</i><br><ol><li>oh, ah</li></ol>
аадырыс|aadırıs	<i>noun</i><br><ol><li>(postal, IP) address</li></ol>
аазимут|aazimut	<i>noun</i><br><ol><li>(astronomy) azimuth</li></ol>
аайы|aayı	<i>postp</i><br><ol><li>each, every</li><li>(with a verb) every time, whenever</li></ol>
аал|aal	<i>noun</i><br><ol><li>(nautical) ship, barge</li></ol><br><i>verb</i><br><ol><li>(transitive) to rub</li></ol>
аалыс|aalıs	<i>verb</i><br><ol><li>to socialize, to mingle (with)</li></ol>
аан|aan	<i>noun</i><br><ol><li>door</li></ol>
аан бастаан|aan bastaan	<i>adv_phrase</i><br><ol><li>for the first time</li></ol>
аан дойду|aan doydu	<i>noun</i><br><ol><li>world</li></ol>
аармыйа|aarmıya	<i>noun</i><br><ol><li>(military) army</li></ol>
аас|aaspıt|aas|ааспыт	<i>verb</i><br><ol><li>(intransitive) to pass, drive through, proceed, move on, to go past</li><li>(intransitive) to pass, flow, go by</li><li>(intransitive) to pass, stop, cease</li><li>(intransitive) to starve, hunger</li></ol><br><i>noun</i><br><ol><li>hunger</li></ol>
ааспыт|aaspıt	<i>verb</i><br><ol><li>past</li></ol>
ааспыт кэм|aaspıt kem	<i>noun</i><br><ol><li>(grammar) the past tense</li></ol>
аат|aat	<i>noun</i><br><ol><li>name</li><li>fame</li></ol>
аат тыл|aat tıl	<i>noun</i><br><ol><li>(grammar) noun, substantive</li></ol>
аат-суол|aat-suol	<i>noun</i><br><ol><li>fame</li></ol>
ааттаа|aattaa	<i>verb</i><br><ol><li>to call, to name</li><li>to consider (view as having a given quality)</li><li>(transitive) to soothe, to comfort</li></ol>
ааттаах|aattaax	<i>adj</i><br><ol><li>having a name</li><li>(as диэн ааттаах) named</li><li>famous</li></ol>
ааттас|aattas	<i>verb</i><br><ol><li>(religion) to pray, to beg (for mercy, forgiveness, etc.</li><li>to beg (someone to do something), to exhort, to implore</li></ol>
аах|aax	<i>verb</i><br><ol><li>(transitive or intransitive) to read</li><li>to count</li><li>to consider (view as having a given quality)</li></ol>
аах-маах|aax-maax	<i>adj</i><br><ol><li>stupid, clueless</li></ol>
ааҕыс|aağıs	<i>verb</i><br><ol><li>(transitive) to reckon with, to take into account (someone or something)</li><li>to pay off</li></ol>
ааһыган|aahıgan	<i>adj</i><br><ol><li>(time) transient, transitory, fleeting</li></ol>
аба|aba	<i>noun</i><br><ol><li>(medicine) poison</li><li>(figuratively) bitterness, outrage, rancor</li></ol>
абаасы|abaası	<i>noun</i><br><ol><li>(religion) Alternative form of абааһы (abaahı)</li></ol>
абааһы|abaahı	<i>adj</i><br><ol><li>ugly, monstrous</li></ol><br><i>noun</i><br><ol><li>(religion) (by personification of the above) an evil spirit, demon, devil</li><li>(a person or animal with a severe genetic anomaly) freak, monster</li></ol>
абааһы көр|abaahı kör	<i>verb</i><br><ol><li>(transitive) to dislike</li></ol>
абылаа|abılaa	<i>verb</i><br><ol><li>(transitive) (religion) to bewitch, to cast a spell upon</li><li>(figuratively) to beguile, to captivate, to enchant, to fascinate</li></ol>
абыраа|abıraa	<i>noun</i><br><ol><li>(transitive) to save, to rescue</li><li>(transitive) to help out</li></ol>
абырах|abırax	<i>noun</i><br><ol><li>(general) repair</li><li>(clothing) patch</li></ol>
абытай|abıtay	<i>adj</i><br><ol><li>burning, scorching</li></ol><br><i>intj</i><br><ol><li>ouch</li></ol>
абыычай|abııçay	<i>noun</i><br><ol><li>custom, habit</li></ol>
автобус|avtobus	<i>noun</i><br><ol><li>(vehicles) bus</li></ol>
адьас|acas	<i>adv</i><br><ol><li>(with a positive verb) just, simply, completely, etc.</li><li>(with a negative verb) (not) at all</li><li>Intensifies an adjective.</li><li>See synonyms at наһаа (nahaa).</li><li>quite, very</li></ol>
ай|ay	<i>verb</i><br><ol><li>(transitive) to create</li></ol>
айа|aya	<i>noun</i><br><ol><li>(archery) crossbow</li></ol><br><i>intj</i><br><ol><li>oh, ah (exclamation, expresses shock or awe)</li></ol>
айаа|ayaa	<i>verb</i><br><ol><li>(intransitive) to act, to behave</li></ol>
айаас|ayaas	<i>adj</i><br><ol><li>(equestrianism) untamed, untrained, unbroken (not accustomed to the saddle or harness)</li></ol>
айака|ayaka	<i>intj</i><br><ol><li>ouch</li></ol>
айан|ayan	<i>noun</i><br><ol><li>long road, long journey</li></ol>
айанньыт|ayanńıt	<i>noun</i><br><ol><li>traveler</li></ol>
айах|ayax	<i>noun</i><br><ol><li>(anatomy) mouth. gullet</li></ol>
айдаан|aydaan	<i>noun</i><br><ol><li>noise, uproar, commotion</li><li>turmoil, bustle, panic, scandal</li></ol>
айдааннаах|aydaannaax	<i>adj</i><br><ol><li>(sound) noisy</li><li>scandalous</li><li>restless, nervous, anxious</li></ol>
айдаар|aydaar	<i>verb</i><br><ol><li>(intransitive) to make noise</li><li>to make a scene, to brawl</li></ol>
аймах|aymax	<i>noun</i><br><ol><li>relative (can be used collectively), family member</li></ol>
аймахтыы|aymaxtıı	<i>verb</i><br><ol><li>kindredly</li></ol>
айран|ayran	<i>noun</i><br><ol><li>airan</li></ol>
айхал|ayxal	<i>intj</i><br><ol><li>(with dat.) glory</li></ol><br><i>noun</i><br><ol><li>(with dat.) glory (to), praise</li></ol>
айылҕа|ayılğa	<i>adj</i><br><ol><li>natural</li></ol><br><i>noun</i><br><ol><li>nature (the natural world)</li></ol>
айыы|ayıı	<i>intj</i><br><ol><li>oh my God</li></ol><br><i>noun</i><br><ol><li>(religion, general) creation, production</li><li>(religion) (by personification) a good spirit</li></ol>
ак|ak	<i>adj</i><br><ol><li>white</li></ol>
акаары|akaarı	<i>adj</i><br><ol><li>foolish, stupid</li></ol><br><i>noun</i><br><ol><li>an idiot, fool, ninny</li><li>stupidity</li></ol>
аккаас|akkaas	<i>noun</i><br><ol><li>denial, refusal, rejection</li></ol>
аккаастаа|akkaastaa	<i>verb</i><br><ol><li>(transitive) to deny, to refuse, to reject</li></ol>
ала|ala	<i>adj</i><br><ol><li>piebald</li></ol><br><i>noun</i><br><ol><li>(dialectal) strap (for a reindeer sled)</li></ol>
ала тураах|ala turaax	<i>noun</i><br><ol><li>hooded crow</li></ol>
алаадьы|alaacı	<i>noun</i><br><ol><li>oladyi, pancake</li></ol>
алаас|alaas	<i>noun</i><br><ol><li>(geology) alas, glade</li></ol>
аламай|alamay	<i>adj</i><br><ol><li>(poetic) (of the sun) radiant, clear</li><li>affectionate</li></ol>
аламаҕай|alamağay	<i>adj</i><br><ol><li>affable, cordial, friendly</li><li>accommodating, affectionate, gentle</li></ol>
