־אַק	<i>suffix</i><br><ol><li>denotes a person with a given characteristic, usually colloquial and/or derogatory in nature</li></ol>
־דיק	<i>suffix</i><br><ol><li>Forms present participles.</li><li>-ish; -y (forms adjectives from nouns)</li></ol>
־ה	<i>suffix</i><br><ol><li>The singular suffix for feminine nouns derived from Hebrew.</li></ol>
־הייט	<i>suffix</i><br><ol><li>-ness; -ity; -hood; -ship</li></ol>
־ו	<i>pron</i><br><ol><li>(immediately following a second-person singular present tense verb) Alternative form of דו (du, “you”)</li></ol>
־וואַרג	
־ונג	<i>suffix</i><br><ol><li>-ing</li></ol>
־ות	<i>suffix</i><br><ol><li>The plural suffix for feminine nouns derived from Hebrew.</li></ol>
־ט	<i>suffix</i><br><ol><li>Regular termination of the third-person plural singular indicative form of verbs.</li><li>Regular termination of the second-person plural present indicative form of verbs.</li><li>Regularly forms past participles of verbs stressed on the final syllable of the stem.</li><li>Forms ordinal numbers.</li></ol>
־טום	<i>suffix</i><br><ol><li>A suffix used to derive abstract nouns: -dom.</li></ol>
־טע	<i>suffix</i><br><ol><li>Sometimes used to form feminine equivalents of masculine nouns.</li></ol>
־יג	<i>suffix</i><br><ol><li>(Daytshmerish) Alternative form of ־יק (-ik)</li></ol>
־יזם	<i>suffix</i><br><ol><li>-ism (denotes an ideology or belief system)</li></ol>
־ים	<i>suffix</i><br><ol><li>The plural suffix for masculine nouns derived from Hebrew.</li></ol>
־ין	<i>suffix</i><br><ol><li>Suffixed to animate nouns to create a feminine form</li></ol>
־יסט	<i>suffix</i><br><ol><li>-ist (one who follows a particular ideology, doctrine, belief system or theory)</li><li>-ist (a member of a profession, or someone who uses something)</li></ol>
־יק	<i>suffix</i><br><ol><li>-y, -ic (forming adjectives from nouns)</li></ol>
־ירן	<i>suffix</i><br><ol><li>forming verbs from borrowed words</li></ol>
־יש	<i>suffix</i><br><ol><li>-ish, -ic, -y (for an adjective)</li><li>-ian (for an adjective)</li><li>-ish, -ese (for a language name or demonym)</li></ol>
־ל|־לעך|plural ־לעך|־עלע	<i>suffix</i><br><ol><li>Forms diminutive nouns when added to a noun, with umlaut where applicable.</li><li>Forms fractional numerals when added to the stem of an ordinal numeral.</li></ol>
־לאָז	<i>suffix</i><br><ol><li>-less</li></ol>
־לעך|־לעכער|־לעכס|־לעכן|־לעכע	<i>suffix</i><br><ol><li>-ly, -like (adjectival suffix)</li><li>-ly, -like (adverbial suffix)</li></ol>
־ן|־ן|plural ־נים|־ען	<i>suffix</i><br><ol><li>The infinitive marker for verbs, which can be appended to a noun or adjective that means X to create a verb that means "to make X" or "to do X"</li><li>A plural marker for regular nouns not ending in an unstressed ־ר (-r), ־ם (-m), ־ן (-n), or a vowel.</li><li>Used to indicate the dative and accusative in the masculine form of adjectives and masculine declined nouns, and the dative in the neuter form of adjectives and feminine declined nouns.</li><li>Used to form nouns denoting people of a certain profession or who perform certain habitual actions.</li><li>Regular termination of the first-person plural present indicative form of verbs.</li><li>Regular termination of the third-person plural present indicative form of verbs.</li></ol>
־ניק	<i>suffix</i><br><ol><li>(added to nouns) -nik, -er: Denoting persons by membership, occupation or attribute.</li></ol>
־ניש	<i>suffix</i><br><ol><li>-ness.</li></ol>
־ס	<i>suffix</i><br><ol><li>Marks the plurals form of regular nouns ending in an unstressed ־ר (-r), ־ם (-m), ־ן (-n), or a vowel.</li><li>Marks the possessive form of nouns used for people.</li></ol>
־סט|־שט	<i>suffix</i><br><ol><li>Regular termination of the second-person singular present indicative form of verbs.</li><li>Forms the superlative of adjectives: -est</li><li>Forms ordinal numbers: -th</li></ol>
־סטו	<i>suffix</i><br><ol><li>Contraction of ־סט דו (-st du).</li></ol>
־עכץ	<i>suffix</i><br><ol><li>Forms a gerund</li></ol>
־עלע	<i>suffix</i><br><ol><li>Used to express an emphasised diminutive, to indicate that something is extremely small.</li></ol>
־עניו	<i>suffix</i><br><ol><li>Used to form endearing diminutives</li></ol>
־ער	<i>suffix</i><br><ol><li>-er (one who does something)</li><li>-er (a resident or inhabitant of a place)</li></ol>
־קייט	<i>suffix</i><br><ol><li>-ness; -ity; -hood; -ship</li></ol>
־קע	<i>suffix</i><br><ol><li>Forms feminine derivatives of animate nouns.</li><li>Irregularly forms diminutives of nouns, often accompanied by stem change or addition to the stem.</li></ol>
־קײַט	<i>suffix</i><br><ol><li>Non-standard form of of ־קייט (-keyt)</li></ol>
־שאַפֿט	<i>suffix</i><br><ol><li>-ship, -hood</li></ol>
־ײַ	<i>suffix</i><br><ol><li>Place where characteristic activity is conducted.</li><li>Used to create abstract nouns denoting a state, condition, or quality.</li></ol>
א	<i>character</i><br><ol><li>The first letter in the Yiddish alphabet, shtumer alef (precedes ו or י to indicate a word-initial vowel)</li></ol>
אַ|a	<i>det</i><br><ol><li>a, an</li></ol>
אַ ביסל|a bisl	<i>adv</i><br><ol><li>a little, a bit</li></ol><br><i>det</i><br><ol><li>a little, a bit</li></ol>
אַ בראָך|a brokh	<i>intj</i><br><ol><li>damn, dammit</li></ol>
אַ בראָך איז מיר|a brokh iz mir	<i>intj</i><br><ol><li>woe is me</li></ol>
אַ גוט געבענטשט יאָר|a gut gebentsht yor	<i>intj</i><br><ol><li>"A good blessed year" (a greeting used around Rosh Hashanah)</li></ol>
אַ גוט יאָר|a gut yor	<i>intj</i><br><ol><li>goodbye (used in response to a good-bye; used all morning, day, and evening)</li></ol>
אַ גוט קוויטל|a gut kvitl	<i>intj</i><br><ol><li>A greeting used on and during the weeks after Yom Kippur.</li></ol>
אַ גוטן|a gutn	<i>intj</i><br><ol><li>Clipping of אַ גוטן טאָג (a gutn tog).</li></ol>
אַ גוטן אָוונט|a gutn ovnt	<i>intj</i><br><ol><li>good evening (greeting said in the evening)</li></ol>
אַ גוטן טאָג|a gutn tog	<i>intj</i><br><ol><li>good day</li><li>goodbye (used by the first person to say good-bye; used all day until nightfall)</li></ol>
אַ גוטע וואָך|a gute vokh	<i>phrase</i><br><ol><li>shavua tov (good wishes for the week following the Jewish sabbath)</li></ol>
אַ גוטע נאַכט|a gute nakht	<i>intj</i><br><ol><li>goodbye (used in the evening and night), goodnight</li></ol>
אַ דאַנק	<i>intj</i><br><ol><li>thank you</li></ol>
אַ דאַנק דיר	<i>intj</i><br><ol><li>thank you</li></ol>
אַ זייגער|a zeyger|אַזייגער|azeyger	<i>adv</i><br><ol><li>o'clock</li></ol>
אַ זיסן פּסח|a zisn peysekh!|אַ זיסן פּסח!	<i>intj</i><br><ol><li>have a sweet Passover!</li></ol>
אַ חוץ פֿון|a khuts fun	<i>prep</i><br><ol><li>besides, except</li></ol>
אַ חזיר בלײַבט אַ חזיר|a khazer blaybt a khazer	<i>proverb</i><br><ol><li>a leopard cannot change its spots</li></ol>
אַ טאָרע טאָן	<i>verb</i><br><ol><li>to nudge</li></ol>
אַ יישר|a yasher	<i>intj</i><br><ol><li>(dialectal, New York Hasidic) you're welcome (reply to שכּ׳ח (shkoyekh))</li></ol>
אַ כּלל|a klal	<i>adv</i><br><ol><li>in short, in sum</li></ol>
אַ לונג און לעבער אויף דער נאָז|a lung un leber oyf der noz	<i>phrase</i><br><ol><li>(idiomatic) An illness brought on by hypochondria. (literally, "a lung and liver on the nose")</li></ol>
אַ לעבן אויף דײַן קאָפּ|a lebn oyf dayn kop	<i>intj</i><br><ol><li>(idiomatic) well done, well said (exclamation of praise)</li></ol>
אַ מאָל|אַמאָל|amol|a mol	<i>adv</i><br><ol><li>once</li><li>sometimes</li><li>once upon a time</li></ol>
אַ משל קאַבאַק|a moshl kabak	<i>intj</i><br><ol><li>Interjection used in reply to an illogical and unrelated statement. What's that got to do with anything?</li></ol>
אַ סך|a sakh	<i>det</i><br><ol><li>many; much; a lot</li></ol>
אַ סך מאָל|a sakh mol	<i>adv</i><br><ol><li>many times, oft, repeatedly</li></ol>
אַ פּאָר|a por	<i>det</i><br><ol><li>a few, a couple of</li></ol><br><i>pron</i><br><ol><li>a few, a couple</li></ol>
אַ פּנים|a ponem	<i>adv</i><br><ol><li>apparently, seemingly, on the face of it</li></ol>
אַ פֿולע|a fule	<i>det</i><br><ol><li>(dialectal, Litvish) many; much; a lot</li></ol>
אַ פֿריילעכן חנוכה|a freylekhn khanike	<i>intj</i><br><ol><li>happy Hanukkah</li></ol>
אַ פֿריילעכן יום־טובֿ|a freylekhn yontev	<i>intj</i><br><ol><li>(Judaism) have a happy holiday</li></ol>
אַ פֿריילעכן פּסח|a freylekhn peysekh	<i>intj</i><br><ol><li>(Judaism) have a happy Passover</li></ol>
אַ צונג אויף רעדער|a tsung oyf reder	<i>noun</i><br><ol><li>gift of the gab</li></ol>
אַ צונג און ביינער|a tsung un beyner	<i>noun</i><br><ol><li>gift of the gab</li></ol>
אַ צײַט|a tsayt	<i>adv</i><br><ol><li>for a while, for some time</li></ol>
אַ קיצור|a kitser	<i>adv</i><br><ol><li>in short, in a word, in brief</li></ol>
אַ קלאָג איז מיר|a klog iz mir	<i>intj</i><br><ol><li>woe is me</li></ol>
אַ רוח אין דײַן טאַטן אַרײַן|אַ רוח אין דײַן טאַטן אַרײַן!|a ruekh in dayn tatn arayn!	<i>intj</i><br><ol><li>A curse, literally "a devil into your father!"</li></ol>
