Byernis	<i>name</i><br><ol><li>Friday</li></ol>
Disyembre	<i>name</i><br><ol><li>December</li></ol>
Filipinas	<i>name</i><br><ol><li>Philippines</li></ol>
Gassilang	<i>name</i><br><ol><li>Spanish (person)</li><li>Spanish (language)</li></ol>
abaga|abagá	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
abak|abák	<i>noun</i><br><ol><li>sleeping mat</li></ol>
abang|abáng	<i>noun</i><br><ol><li>boat</li></ol>
abbay|abbáy	<i>noun</i><br><ol><li>female carabao</li></ol>
abbung|abbúng	<i>noun</i><br><ol><li>cover</li></ol>
abbut|abbút	<i>noun</i><br><ol><li>hole</li></ol>
abu|abú	<i>noun</i><br><ol><li>ash</li></ol>
abugadu	<i>noun</i><br><ol><li>lawyer</li></ol>
abungubungu|abúngubúngu	<i>noun</i><br><ol><li>(anatomy) fontanelle</li></ol>
addan|addán	<i>noun</i><br><ol><li>ladder</li><li>stairs; stairway; staircase</li></ol>
addu|addú	<i>num</i><br><ol><li>two</li></ol>
addug|addúg	<i>noun</i><br><ol><li>thunder</li></ol>
adwafulu|adwáfulu	<i>num</i><br><ol><li>twenty</li></ol>
afu|afú	<i>noun</i><br><ol><li>grandchild</li></ol>
afungat|afungát	<i>noun</i><br><ol><li>chicken louse</li></ol>
afuy|afúy	<i>noun</i><br><ol><li>fire</li></ol>
agal|agál	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
agatul|agatúl	<i>noun</i><br><ol><li>crab</li></ol>
agaw|agáw	<i>noun</i><br><ol><li>ginger</li><li>day</li></ol>
agirerattan|agirérattán	<i>noun</i><br><ol><li>doormat</li></ol>
akakawa|akákawa	<i>noun</i><br><ol><li>spider</li></ol>
akkawangan|akkáwangan	<i>noun</i><br><ol><li>waist</li></ol>
alag|alág	<i>noun</i><br><ol><li>scabbard</li></ol>
alambri	<i>noun</i><br><ol><li>wire</li></ol>
alinak	<i>adj</i><br><ol><li>short</li></ol>
alinta	<i>noun</i><br><ol><li>leech</li></ol>
alipappat|alipappát	<i>noun</i><br><ol><li>firefly</li></ol>
alit|alít	<i>noun</i><br><ol><li>snot; mucus</li></ol>
alladdu	<i>noun</i><br><ol><li>key</li></ol>
allak	<i>noun</i><br><ol><li>pity; mercy</li></ol>
allalatang	<i>noun</i><br><ol><li>poison ivy</li></ol>
alugganakan|aluggánakán	<i>noun</i><br><ol><li>(anatomy) uterus</li></ol>
alwang|alwáng	<i>adj</i><br><ol><li>wide</li></ol>
anak|anák	<i>noun</i><br><ol><li>child</li></ol>
anay	<i>noun</i><br><ol><li>termite</li></ol>
andagwak	<i>noun</i><br><ol><li>heron</li></ol>
anggi	<i>noun</i><br><ol><li>body odor</li></ol>
angulolu	<i>noun</i><br><ol><li>tadpole</li></ol>
anibib|ánibib	<i>noun</i><br><ol><li>whisper</li></ol>
aninu	<i>noun</i><br><ol><li>shadow; reflection</li></ol>
annab|annáb	<i>noun</i><br><ol><li>flood</li></ol>
annam|annám	<i>num</i><br><ol><li>six</li></ol>
annamafulu|annamáfulu	<i>num</i><br><ol><li>fifty</li></ol>
annun|annún	<i>noun</i><br><ol><li>locust</li></ol>
anup|annúp	<i>noun</i><br><ol><li>hunt</li></ol>
aparador|aparadór	<i>noun</i><br><ol><li>cabinet</li></ol>
apili|apilí	<i>noun</i><br><ol><li>pin</li></ol>
apilyidu	<i>noun</i><br><ol><li>surname</li></ol>
appan|appán	<i>noun</i><br><ol><li>bait; trap</li></ol>
appat|appát	<i>num</i><br><ol><li>four</li></ol>
appin|appín	<i>noun</i><br><ol><li>diaper</li></ol>
aradu	<i>noun</i><br><ol><li>plow</li></ol>
arak|arák	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
aranggok|aranggók	<i>noun</i><br><ol><li>snore</li></ol>
aresga	<i>noun</i><br><ol><li>effort</li></ol>
arigi|arigí	<i>noun</i><br><ol><li>post (of a house)</li></ol>
arimusal|arimusál	<i>noun</i><br><ol><li>breakfast</li></ol>
arina	<i>noun</i><br><ol><li>flour</li></ol>
aritus	<i>noun</i><br><ol><li>earring</li></ol>
asada	<i>noun</i><br><ol><li>hoe</li></ol>
asil|asíl	<i>noun</i><br><ol><li>(anatomy) vulva</li></ol>
asin|asín	<i>noun</i><br><ol><li>salt</li></ol>
asit|asít	<i>noun</i><br><ol><li>thorn</li></ol>
asitu	<i>noun</i><br><ol><li>puppy</li></ol>
assamal|assamál	<i>noun</i><br><ol><li>flea</li></ol>
assimban	<i>noun</i><br><ol><li>church</li></ol>
assip|assíp	<i>noun</i><br><ol><li>rice crust; burnt rice sticking to the bottom of the pot</li></ol>
assup|assúp	<i>noun</i><br><ol><li>steam; vapor</li></ol>
