'cha|ch'ave	<i>abbrev</i><br><ol><li>I have</li></ol>
'cham|ch'am	<i>abbrev</i><br><ol><li>I am</li></ol>
'chas|chas	<i>abbrev</i><br><ol><li>I was</li></ol>
'chote|chote	<i>abbrev</i><br><ol><li>I know</li></ol>
'chull|c'hull|ichul|chul|ch'ull	<i>abbrev</i><br><ol><li>I will</li></ol>
'ngish	<i>noun</i><br><ol><li>anguish</li></ol>
'ote	<i>verb</i><br><ol><li>to know</li></ol>
'tell	<i>prep</i><br><ol><li>until</li></ol>
'twas|'tus	<i>abbrev</i><br><ol><li>it was</li></ol>
'twode	<i>abbrev</i><br><ol><li>that would</li></ol>
Baak|Bake	<i>name</i><br><ol><li>A well-known townland near Kilmore Quay.</li></ol>
Ballymore	<i>name</i><br><ol><li>Ballymoe</li></ol>
Bargee	<i>name</i><br><ol><li>Bargy</li></ol>
Bearlough|Barlough	<i>name</i><br><ol><li>A townland in Rosslare parish.</li></ol>
Burstheoune	<i>name</i><br><ol><li>Bridge's town</li></ol>
Cargun	<i>name</i><br><ol><li>Distant point from Choure of the Barony.</li></ol>
Chour Hill	<i>name</i><br><ol><li>A well-known elevation near Carnsore Point.</li></ol>
Choure	<i>name</i><br><ol><li>Distant point from Cargun of the Barony. A hill in the Barony</li></ol>
Cress Farnogue	<i>name</i><br><ol><li>Cross Farnogue, in County Wexford.</li></ol>
Cross o Shad	<i>name</i><br><ol><li>A well-known cross-roads near Lady's Island.</li></ol>
Cullpaak|Culpake	<i>name</i><br><ol><li>Summerseat, near Drinagh</li></ol>
Deruse	<i>name</i><br><ol><li>Devereux</li></ol>
Eeerish	<i>noun</i><br><ol><li>Irish</li></ol>
Eerish	<i>adj</i><br><ol><li>Irish</li></ol>
Engelhoan	<i>name</i><br><ol><li>England</li></ol>
Erelhoan|Irelonde	<i>name</i><br><ol><li>Ireland</li></ol>
Excellencie|Eccellencie	<i>noun</i><br><ol><li>Excellency</li></ol>
Fearde	<i>name</i><br><ol><li>The bar of Forth, a dangerous salt water inlet.</li></ol>
Fearnee Hill	<i>name</i><br><ol><li>Ferny Hill</li></ol>
Forlorn|Furlorn	<i>name</i><br><ol><li>The extreme point of Carne, the south-eastern parish of Forth.</li></ol>
Forthe|Vorth|Forth	<i>name</i><br><ol><li>Forth</li></ol>
Hel-teoun	<i>name</i><br><ol><li>The farmstead in the hollow, which is in Ballymore, Forth.</li></ol>
Horsloan	<i>name</i><br><ol><li>A townland in Rathangan parish.</li></ol>
Ich	<i>pron</i><br><ol><li>I</li></ol>
Irishmen	<i>noun</i><br><ol><li>Irishmen</li></ol>
Jaunaan	<i>name</i><br><ol><li>Judy</li><li>Joan</li></ol>
Kilmannan	<i>name</i><br><ol><li>Kilmanaghan</li></ol>
Kilmoor	<i>name</i><br><ol><li>Kilmore, in south County Wexford, Ireland.</li></ol>
Lhygt Wadher	<i>name</i><br><ol><li>A place in the Barony of Forth.</li></ol>
Lough	<i>name</i><br><ol><li>Of Ballymacushin, near the Commons.</li></ol>
Michaulmas	<i>name</i><br><ol><li>Michaelmas</li></ol>
Michaulmas Die	<i>noun</i><br><ol><li>Michaelmas-day</li></ol>
Misteare	<i>noun</i><br><ol><li>Mister</li></ol>
Mondei	<i>noun</i><br><ol><li>Monday</li></ol>
Parick	<i>name</i><br><ol><li>Patrick</li></ol>
Potteran Hullès	<i>name</i><br><ol><li>The Potter's Holes, in the parish of Maglass, Forth.</li></ol>
Sank|Saan	<i>noun</i><br><ol><li>Saint</li></ol>
Shanaan	<i>name</i><br><ol><li>Shannon</li></ol>
Shaneen	<i>noun</i><br><ol><li>shoneen, little John</li></ol>
Sleedaugh	<i>name</i><br><ol><li>A place name</li></ol>
Slut	<i>name</i><br><ol><li>Sloven</li></ol>
Sparrowe's Naesth	<i>name</i><br><ol><li>A place so called in the Barony of Forth. The sparrows are a numerous family in and near Wexford.</li></ol>
Thorsdei	<i>name</i><br><ol><li>Thursday</li></ol>
Tollis Park|Tullies Park	<i>name</i><br><ol><li>A place in the parish of Kilmanan, Bargy.</li></ol>
Tusedei	<i>noun</i><br><ol><li>Tuesday</li></ol>
Vearnee-hile	<i>name</i><br><ol><li>Fernyhill, in Killinick, Forth.</li></ol>
Vreedie|Vridei	<i>noun</i><br><ol><li>Friday</li></ol>
Weisforthe	<i>name</i><br><ol><li>Wexford</li></ol>
Wennesdei	<i>noun</i><br><ol><li>Wednesday</li></ol>
Whithele	<i>name</i><br><ol><li>Whitehill, in Tomhaggard Parish, Bargy.</li></ol>
Yola Haul	<i>name</i><br><ol><li>Old Hall, the name of a place.</li></ol>
Zathardei	<i>noun</i><br><ol><li>Saturday</li></ol>
Zindei	<i>noun</i><br><ol><li>Sunday</li></ol>
a|ee|ye|y'|tha|the|th'|eee|thay|e	<i>article</i><br><ol><li>the, in later times the.</li><li>one</li></ol>
a kernt	<i>adj</i><br><ol><li>ripening</li></ol>
a masled	<i>adj</i><br><ol><li>rotten</li></ol>
a voorneen	<i>noun</i><br><ol><li>my dear</li></ol>
a-danceen	<i>adv</i><br><ol><li>on dancing</li></ol>
aagar	<i>adj</i><br><ol><li>eager</li></ol>
aager	<i>noun</i><br><ol><li>acre of land.</li></ol>
aake	<i>noun</i><br><ol><li>ache</li></ol>
aalhouse	<i>noun</i><br><ol><li>alehouse</li></ol>
aam|am	<i>pron</i><br><ol><li>them</li></ol><br><i>verb</i><br><ol><li>am</li></ol>
aamzil|aamezil|aamezill|amezil|amezill	<i>pron</i><br><ol><li>themselves.</li></ol>
aany|any	<i>adj</i><br><ol><li>any</li></ol>
aar|thaare|thoare|th'ar|'ar|thaar|thar	<i>det</i><br><ol><li>their</li></ol><br><i>pron</i><br><ol><li>there</li></ol>
aar's	<i>abbrev</i><br><ol><li>there is</li></ol>
aare	<i>noun</i><br><ol><li>air</li></ol>
aboo	<i>prep</i><br><ol><li>above</li></ol>
abut|abuth|abouten	<i>prep</i><br><ol><li>about</li></ol>
acte	<i>noun</i><br><ol><li>act</li></ol>
ad	<i>verb</i><br><ol><li>simple past tense of ha (“have”)</li></ol>
adee	<i>intj</i><br><ol><li>ha!</li></ol>
adh|ad	<i>prep</i><br><ol><li>at</li></ol>
af|o|of|av|ov|o'	<i>prep</i><br><ol><li>of</li></ol>
aferdth|afear'd	<i>adj</i><br><ol><li>afraid</li></ol>
agone	<i>adv</i><br><ol><li>ago</li></ol>
agyne	<i>adv</i><br><ol><li>again</li></ol>
agyther	<i>adv</i><br><ol><li>together, on-gather</li></ol>
aim	<i>noun</i><br><ol><li>intent</li></ol>
alane	<i>adj</i><br><ol><li>alone</li></ol>
albeit|albiet|abeit	<i>conj</i><br><ol><li>unless, except</li></ol>
alike	<i>adv</i><br><ol><li>alike</li></ol>
almostly	<i>adv</i><br><ol><li>mostly, almost</li></ol>
aloghe	<i>prep</i><br><ol><li>below, on-low.</li></ol>
alomes	<i>noun</i><br><ol><li>alms</li></ol>
amach|ammache	
amain	<i>intj</i><br><ol><li>amen</li></ol>
amang|mang	<i>prep</i><br><ol><li>among</li></ol>
ameal	<i>noun</i><br><ol><li>ashes, what is in a meal state, or in a mingled lot.</li></ol>
ameing	<i>verb</i><br><ol><li>aiming</li></ol>
ameve	<i>verb</i><br><ol><li>to move</li></ol>
amhyne|amyne	<i>adv</i><br><ol><li>mighty, with might</li></ol>
amize|amaze	<i>noun</i><br><ol><li>wonder, amazement</li></ol>
an|and|on|a|an'|ana	<i>conj</i><br><ol><li>and</li></ol><br><i>prep</i><br><ol><li>on</li></ol>
angerth	<i>adj</i><br><ol><li>angry</li></ol>
angish	<i>noun</i><br><ol><li>poverty</li></ol>
anoor	<i>pron</i><br><ol><li>another</li></ol>
anooree|anoree|aneure|anure	<i>det</i><br><ol><li>another</li></ol>
ap|up	<i>adv</i><br><ol><li>up</li></ol>
apan|upan|apaa|upa|pa|apa	<i>prep</i><br><ol><li>upon</li></ol>
ar|o'|or	<i>conj</i><br><ol><li>or</li></ol>
arent	<i>prep</i><br><ol><li>around</li></ol>
arich	<i>noun</i><br><ol><li>morning</li></ol>
arkagh	<i>adj</i><br><ol><li>eager</li></ol>
armeen	<i>noun</i><br><ol><li>The side-lace of a car.</li></ol>
arnaauneen	<i>verb</i><br><ol><li>working at night.</li></ol>
arraugh	<i>noun</i><br><ol><li>spring</li></ol>
arrm	<i>noun</i><br><ol><li>arm</li></ol>
arum	<i>adv</i><br><ol><li>within the house</li></ol>
ashen|oaskean	<i>noun</i><br><ol><li>ashes</li></ol>
aslepe	<i>adv</i><br><ol><li>asleep</li></ol>
astarte	<i>verb</i><br><ol><li>run away</li></ol>
