A|a	<i>character</i><br><ol><li>The first letter of the Yoruba alphabet, called á and written in the Latin script.</li></ol>
Aarẹ-ọna-kakanfo|Ààrẹ-ọ̀nà-kakaǹfò	<i>name</i><br><ol><li>The title of the highest ranking chief in Yorubaland. Historically, he was the commander of the Ọ̀yọ́ empire's military.</li></ol>
Abikẹ|Àbíkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One who is born to be cared for".</li></ol>
Abimbọla|Abím̄bọ́lá	<i>name</i><br><ol><li>a unisex given name</li></ol>
Abiọdun|Abíọ́dún	<i>name</i><br><ol><li>a unisex given name meaning "Born a festival"</li></ol>
Abuja|Àbújá	<i>name</i><br><ol><li>Abuja (the capital city of Nigeria)</li></ol>
Aburahamu|Ábúráhámù	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
Abẹkẹ|Àbẹ̀kẹ́	<i>noun</i><br><ol><li>A female oríkì name, meaning "One we beg to care for".</li></ol>
Abẹni|Àbẹ̀ní	<i>name</i><br><ol><li>A female oríkì name, meaning "One pleaded to be had".</li></ol>
Abẹokuta|Abẹ́òkúta	<i>name</i><br><ol><li>Abeokuta (a city in Nigeria)</li></ol>
Adedire|Adédire	<i>name</i><br><ol><li>a unisex given name meaning "Royalty has become good fortune"</li></ol>
Adedure|Adédure	<i>name</i><br><ol><li>(Ekiti) a unisex given name meaning "Royalty has become good fortune"</li></ol>
Adeyẹmi|Adéyẹmí	<i>name</i><br><ol><li>a unisex given name meaning "Royalty befits me"</li><li>a unisex given name meaning "One who arrives me befits me"</li></ol>
Ado|Àdó|Adó	<i>name</i><br><ol><li>Benin City (a city in Nigeria)</li><li>Ado Ekiti (a city in Nigeria)</li></ol>
Ado Ekiti|Adó Èkìtì	<i>name</i><br><ol><li>Ado Ekiti (a city, the state capital of Ekiti State, Nigeria)</li></ol>
Adubi|Àdùbí	<i>name</i><br><ol><li>A female oríkì name, meaning "One we struggled to give birth to".</li><li>A unisex oríkì name., given to children named Ìgè</li></ol>
Adunni|Adùnní	<i>name</i><br><ol><li>A unisex oríkì name, meaning "One that is pleasant to have".</li></ol>
Afirika|Afrika|Áfríkà|Afíríkà	<i>name</i><br><ol><li>Africa (continent)</li></ol>
Aganju|Aganjú	<i>name</i><br><ol><li>A former Aláàfin, believed to be the son of Àjàká and grandson of Ọ̀rànmíyàn, he was deified as an orisha upon his death</li><li>The orisha of volcanoes, the wilderness, and the desert</li></ol>
Agbaakin|Àgbàakin	<i>name</i><br><ol><li>A senior traditional chieftaincy title in Ọ̀yọ́, a member of the Ọ̀yọ́mèsì, and the high priest of the worship of the Oyo ancestor and orisha Ọ̀rànmíyàn</li></ol>
Agbọnniregun|Àgbọnmìrègún|Agbọnmiregun|Àgbọnnìrègún	<i>name</i><br><ol><li>A praise name (oríkì) or nickname for the orisha Ọ̀rúnmìlà and Ifa</li></ol>
Aguala|Àgùàlà	<i>name</i><br><ol><li>(astronomy) Venus; the second planet in the solar system. Symbol: ♀.</li></ol>
Aguda|Àgùdà	<i>name</i><br><ol><li>(historical) Afro-Brazilian Yoruba people who were sold into slavery and upon being freed returned to Nigeria, often characterized by the maintaning of Portuguese names</li><li>Catholic (many Afro-Brazilian returnees were Catholic)</li><li>Portuguese people</li></ol>
Agura|Agùrá	<i>name</i><br><ol><li>the title of the traditional ruler of the Gbágùrá subsection of the Ẹ̀gbá people in Abeokuta</li></ol>
Agẹmọ	<i>name</i><br><ol><li>a primordial orisha primarily worshipped as an ancestral spirit by the Ìjẹ̀bú people. They are believed to be an orisha of fertility, childbirth, and protector of children. It is closely associated with Egúngún, Gẹ̀lẹ̀dẹ́, and Èlùkú.</li><li>(by extension) an annual Ìjẹ̀bú festival held in honor of the orisha Agẹmọ</li><li>(by extension) July, the second month of the traditional Yoruba calendar, the Kọ́jọ́dá; the Agẹmọ festival is held during this month</li></ol>
Aisaya|Aísáyà	<i>name</i><br><ol><li>(biblical) the book of Isaiah</li><li>Isaiah (biblical)</li></ol>
Ajaja|Àjàjá	<i>name</i><br><ol><li>(Ekiti) A male oríkì name, meaning "One who fights and breaks free".</li></ol>
Ajala|Àjàlá	<i>name</i><br><ol><li>A male oríkì name, meaning "One who fights to survive". or "one who fights to lick."</li><li>an orisha identified as a potter who molds the heads (orí) and forms the consciousness and soul of a human being before birth; he works closely with Ọbàtálá</li></ol>
Ajalemogun|Àjàlémògún	<i>name</i><br><ol><li>(Ekiti) an Earth spirit (imọlẹ̀) or orisha. He is the guardian spirit of the town of Ìlárá-Mọ̀kín and other Èkìtì towns</li><li>(by extension) a festival held in honor of Àjàlémògún.</li></ol>
Ajalọrun|Àjàlọ́run	<i>name</i><br><ol><li>title of the traditional ruler of Ìjẹ̀bú-Ifẹ̀ town</li></ol>
Ajapada|Àjàpadà	<i>name</i><br><ol><li>(historical) a nickname for the legendary founder of the town of Àkúrẹ́ and descendant of Odùduwà, Aṣọdẹbóyèdé</li><li>(historical) title of the traditional ruler of the Àkúrẹ́ kingdom, replaced with title Déjì.</li></ol>
Ajari|Àjàrí	<i>name</i><br><ol><li>(Ekiti) a unisex given name given to children born facing downwards</li><li>(Ekiti) A unisex oríkì name. given to children born facing downwards</li></ol>
Ajayi|Àjàyí	<i>name</i><br><ol><li>a unisex given name meaning "One we fight to turn", an orúkọ àmútọ̀runwá given to a child born sideways or facing downwards</li><li>A unisex oríkì name, meaning "One we fight to turn"., given to a child born facing downwards.</li></ol>
Ajaṣẹ|Àjàṣẹ́	<i>name</i><br><ol><li>Porto-Novo (a city in Benin)</li><li>Ajasse Ipo (a city in Nigeria)</li></ol>
Aje|Ajé	<i>name</i><br><ol><li>The orisha of wealth, economic enterprise, business, economic success in the Yoruba religion, believed to be a daughter of Olókun.</li></ol>
Ajero|Ajerò	<i>name</i><br><ol><li>The traditional ruler of Ìjerò-Èkìtì town in Èkìtì State of Nigeria</li></ol>
Ajikẹ|Àjíkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One who wakes up to be cherished".</li></ol>
Ajogun	<i>name</i><br><ol><li>In the Yoruba mythology, the personification of malevolent forces as six hundred and one warriors that wage war against humanity. The eight leaders of these forces include Ikú (“personification of death”), Àrùn (“personification of disease”), Ẹ̀gbà (“personification of paralysis”), Èpè (“personification of curses”), Òfò (“personification of loss”), Ẹ̀wọ̀n (“personification of imprisonment”), Ọ̀ràn (“personification of trouble, problems”), and Èṣe (“personification of affliction”).</li></ol>
Ajẹntina|Ajẹn̄tínà|Ajẹntínà	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Ajọkẹ|Àjọkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One who we jointly care for".</li></ol>
Akamara|Àkámarà	<i>name</i><br><ol><li>(Ìṣẹ̀ṣe) the spirit and creator of the universe, the initiator of the Big Bang, regarded as the most superior and powerful being in the universe</li></ol>
Akankẹ|Àkànkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One we touch and care for".</li></ol>
Akarigbo|Àkárìgbò	<i>name</i><br><ol><li>official title of the traditional ruler of Ṣàgámù town in Ògùn State of Nigeria, the paramount ruler of the Rẹ́mọ people</li></ol>
Akiniku|Akíníkù	<i>name</i><br><ol><li>A senior traditional chieftaincy title in Ọ̀yọ́, a member of the Ọ̀yọ́mèsì</li></ol>
Akire|Akirè	<i>name</i><br><ol><li>The traditional ruler of Ìkirè town in Ọ̀ṣun State of Nigeria</li></ol>
Akirun|Akìrun	<i>name</i><br><ol><li>the traditional ruler of Ìkirùn town in Ọ̀ṣun State of Nigeria</li></ol>
Akoko|Àkókó	<i>name</i><br><ol><li>The Akoko sub-group of Yoruba</li><li>The Akoko dialects of Yoruba, comprising of the western and eastern Akoko dialects and the Ào dialect.</li></ol>
Akurẹ|Àkúrẹ́	<i>name</i><br><ol><li>Akure (a city in Nigeria)</li><li>(historical) the Àkúrẹ́ kingdom</li><li>A subgroup of the Èkìtì people</li><li>A subdialect of the Èkìtì dialect spoken by the people of Àkúrẹ́ and its surrounding towns (sometimes categorized as a distinct dialect of Yoruba)</li></ol>
Akọsẹjaye|Àkọsẹ̀jayé	<i>name</i><br><ol><li>(Ìṣẹ̀ṣe) An important Yoruba religious process and ceremony performed for a newborn child.</li></ol>
Alaadi|Àlàádì	<i>noun</i><br><ol><li>Sunday</li></ol>
Alaafin|Aláàfin	<i>name</i><br><ol><li>The monarch of Oyo, and historically of the Oyo Empire.</li></ol>
Alaaye|Alààyè	<i>name</i><br><ol><li>The title of the traditional monarch of the town of Ẹfọ̀n-Alààyè in Èkìtì State of Nigeria</li></ol>
Alaba|Àlàbá	<i>name</i><br><ol><li>a unisex given name, an orúkọ àmútọ̀runwá given to the second child born after twins, born after a child named Ìdòwú</li></ol>
Alabi|Àlàbí	<i>name</i><br><ol><li>A unisex oríkì name, meaning "One born of purity, One born of the white cloth".</li></ol>
Alake|Aláké	<i>noun</i><br><ol><li>Title of the traditional ruler of the Egba people, and historically the traditional ruler of the Ẹ̀gbá Aké section of the Ẹ̀gbá people.</li></ol>
Alaketu|Alákétu	<i>name</i><br><ol><li>traditional ruler of the town of Ketou in Benin and paramount ruler of the Kétu Yoruba people</li></ol>
Alamisi|Àlàmísì	<i>noun</i><br><ol><li>Thursday</li></ol>
Alapinni|Alápinni	<i>name</i><br><ol><li>A senior traditional chieftaincy title in Ọ̀yọ́, a member of the Ọ̀yọ́mèsì and the head of the Egúngún cult</li></ol>
Alara|Alárá	<i>name</i><br><ol><li>In Yoruba history, a name of a great-great grandchild of Odùduwà and son of Obonba, he was a brother of Ajerò, Ẹlẹ́kọ̀lé and is an important figure in Egúngún and the Odù Ifá.</li><li>Title of the traditional monarch of the town of Ìlárá-Mọ̀kín</li><li>Title of the traditional monarch of the town of Ará-Èkìtì</li></ol>
Alaruba|Àlàrùba	<i>noun</i><br><ol><li>Wednesday</li></ol>
Alaye|Alayé	<i>name</i><br><ol><li>The title of the traditional ruler of the town of Òde-Rẹ́mọ</li></ol>
Alepata|Alèpata	<i>name</i><br><ol><li>The official title of the traditional ruler Ìgbòho town in present day Ọ̀yọ́ State of Nigeria</li></ol>
Alibenia|Alibéníà	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Amawomaro|Amawomárò	<i>name</i><br><ol><li>an oríkì name or nickname for the orisha Ọ̀ṣun</li></ol>
Amenia|Àméníà	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Amẹrika|Amẹ́ríkà	<i>name</i><br><ol><li>United States of America (a country in North America)</li><li>America (the Americas)</li></ol>
Anago|Ànàgó	<i>noun</i><br><ol><li>A subgroup of the Yoruba people mainly living in the town of Kétu in the Republic of Benin and southwest Yorubaland</li><li>The Ànàgó dialect spoken by the Ànàgó people of Kétu</li></ol>
Andọra|Àǹdọ́rà	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Angola|Àǹgólà	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Anikẹ|Àníkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One you have and care for".</li></ol>
Anlugbua|Ańlùgbuà	<i>name</i><br><ol><li>(Òwu) An orisha worshipped among the Òwu people, deified from three important figures among the Òwu whom all bore the nickname Ańlùgbuà. These are the legendary warrior Akíndélé, a grandson or great-grandson of Odùduwà, who founded the town of Òwu-Kúta, his foster father, who was an ancient hero of the Òwu, and his real father, Ajíbọ́sìn, who served as the first Olówu. All Owu settlements claim that Ańlùgbuà died and descended into the ground in their respective towns, and have yearly festivals honoring him.</li></ol>
Anupe|Ànùpe	<i>name</i><br><ol><li>(Owe) Nupe people</li></ol>
Ao|Ào	<i>name</i><br><ol><li>A Yoruba dialect spoken by some members of the Àkókó subethnic group, consisting of several subdialects including Amùsìgbó, (spoken by the people of Ìdóàní). It is also spoken by the Àfò, Ìpèsì, Ikún, Imerì, Ìdógún, and Ìfira towns in Ondo State.</li></ol>
Apekẹ|Àpèkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "one who is called to be cared for".</li></ol>
Apetumodu|Àpetumodù	<i>name</i><br><ol><li>The official title of the traditional ruler of the town of Ìpetumodù in Ọ̀ṣun State of Nigeria</li></ol>
Apẹtẹbi|Apẹ̀tẹ̀bí	<i>name</i><br><ol><li>title held by the wife of a babalawo (Ifá priest)</li></ol>
Aragberi|Àrágberí	<i>name</i><br><ol><li>The title of the traditional ruler of the town of Ìrágberí</li><li>a Yoruba chieftaincy title</li><li>an ancient clan within the Aresa royal house of the Oyo Empire. Leaders who came from this clan were noted for their deep knowledge in Yoruba herbal medicine and magic.</li></ol>
Aragbiji|Arágbìjí	<i>name</i><br><ol><li>The title of the traditional ruler of Ìrágbìjí town in Ọ̀ṣun State of Nigeria</li></ol>
Arikẹ|Àríkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "one who is seen and cared for".</li></ol>
Aringiya|Aringíyà	<i>name</i><br><ol><li>(Eastern Akoko) a female water deity associated with fertility, chastity, and the harvest. She is worshipped by the people of Ìkàrẹ́</li></ol>
Arọni|Àrọ̀nì	<i>noun</i><br><ol><li>An orisha of the forest, including the use of herbs and medicinal charms. She is said to have the head and tail of a dog, a single leg, with the rest of her body being human. She is a close associate of Ọ̀sanyìn.</li></ol>
Asabuta|اسَبُتَ|Àsàbùta	<i>noun</i><br><ol><li>Saturday</li></ol>
Asẹyin|Asẹ́yìn	<i>name</i><br><ol><li>The title of the traditional ruler of the town of traditional ruler of Ìsẹ́yìn in Ọ̀yọ́ State of Nigeria</li></ol>
Atalaata|اتَلَاتَ|Àtàláátà	<i>noun</i><br><ol><li>Tuesday</li></ol>
Atanda|Àtàndá	<i>name</i><br><ol><li>A unisex oríkì name, meaning "One who was created to brighten (the world)".</li></ol>
Ataọja|Àtáọ́ja	<i>name</i><br><ol><li>The official title of the traditional ruler of the town of Òṣogbo</li></ol>
Atini|Àtìní	<i>noun</i><br><ol><li>Monday</li></ol>
Atinukẹ|Atinúkẹ́	<i>name</i><br><ol><li>A female oríkì name, meaning "One who is cherished from the womb".</li></ol>
Awo	<i>name</i><br><ol><li>A title used by babalawos, a babalawo</li></ol>
Awori|Àwórì	<i>name</i><br><ol><li>Awori tribe, a subgroup of the Yoruba people, the original inhabitants of Lagos, and who speak the Àwórì dialect</li><li>A dialect of the Yoruba language</li></ol>
Awujalẹ|Awùjalẹ̀	<i>name</i><br><ol><li>Title of the paramount monarch of the Ìjẹ̀bú people and the traditional ruler of the town of Ìjẹ̀bú Òde</li></ol>
Awusa|اوُسَ|Awúsá	<i>noun</i><br><ol><li>Hausa (language)</li><li>Hausa people</li></ol>
Ayan|Àyàn	<i>name</i><br><ol><li>The Yoruba orisha of drumming and drums.</li><li>The title of a talking drum player</li></ol>
Ayanfẹ|Àyànfẹ́	<i>name</i><br><ol><li>A unisex oríkì name, meaning "One that we specifically chose to love".</li></ol>
Ayangalu|Àyàngalú	<i>name</i><br><ol><li>A praise name of the Yoruba orisha of drumming Àyàn, traditionally believed to have been the first drummer.</li></ol>
Ayangburẹn|Àyángbùrẹ̀n	<i>name</i><br><ol><li>The official title of the traditional ruler of the town of Ìkòròdú in Lagos State, Nigeria</li></ol>
Aye|Ayé	<i>name</i><br><ol><li>Earth</li><li>The personification of Earth as a female primordial divinity, an orisha and imọlẹ̀.</li></ol>
Ayelala|Ayélála	<i>name</i><br><ol><li>A female orisha of justice and prosecution widely feared for her harsh punishments for those who commit criminal offences.</li></ol>
