Alemania	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Egipto	<i>name</i><br><ol><li>Egypt (a country in Africa)</li></ol>
Joʼ	<i>name</i><br><ol><li>Mérida, city of Yucatán.</li></ol>
Malawi	<i>name</i><br><ol><li>Malawi (a country in Africa)</li></ol>
Mauritania	<i>name</i><br><ol><li>Mauritania (a country in Africa)</li></ol>
Meejiko	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Panamá	<i>name</i><br><ol><li>Panama (a country in Central America)</li></ol>
Portugal	<i>name</i><br><ol><li>Portugal (a country in Southern Europe)</li></ol>
a	<i>pron</i><br><ol><li>you (second-person singular pronoun)</li></ol>
aak	<i>noun</i><br><ol><li>grass</li></ol>
aakʼ	<i>noun</i><br><ol><li>tongue</li><li>vine</li></ol>
aakʼal|áakʼal	<i>noun</i><br><ol><li>lagoon</li><li>swamp</li></ol>
aal|aaloʼob	<i>noun</i><br><ol><li>son or daughter of a woman (only said of a mother or used by her to refer to her children)</li></ol>
aalakʼ|aalakʼoʼob	<i>noun</i><br><ol><li>domestic animal</li></ol>
aax	<i>noun</i><br><ol><li>wart</li></ol>
abalkan	<i>noun</i><br><ol><li>sorrel (Rumex acetosa)</li></ol>
achak	<i>noun</i><br><ol><li>nephew</li></ol><br><i>prep</i><br><ol><li>without, except</li></ol>
aiikʼ|aiikʼoʼob	<i>noun</i><br><ol><li>wing</li></ol>
aj koo	<i>adj</i><br><ol><li>bold, brave, daring</li></ol>
aj kʼiin|aj kʼiinoʼob	<i>noun</i><br><ol><li>priest</li></ol>
alux|aluxoʼob	<i>noun</i><br><ol><li>alux</li></ol>
am|amoʼob	<i>noun</i><br><ol><li>spider</li></ol>
asukaar	<i>noun</i><br><ol><li>sugar</li></ol>
atan|atanoʼob	<i>noun</i><br><ol><li>wife</li></ol>
ayikʼal	<i>adj</i><br><ol><li>rich, wealthy</li></ol>
aʼal|kin waʼalik|ta waʼalaj|tu yaʼalajoʼob|ta waʼalajeʼex|t k aʼalaj|k aʼalik|tu yaʼalaj|tin waʼalaj|ku yaʼalik|ka waʼalik|ku yaʼalikoʼob|ka waʼalikeʼex	<i>verb</i><br><ol><li>to say</li></ol>
baach	<i>noun</i><br><ol><li>plain chachalaca (Ortalis vetula)</li></ol>
baaj|baajnak|bajmaj|báajal|bajik|bajaj|báajak|baajnaj|baʼajal|baʼaj|baajal|baj|baʼajak|bajej|bajaʼan|baajnajaʼan|baajnen|báaj	<i>verb</i><br><ol><li>to nail</li><li>to knock in, to bang in</li><li>to drive, to stick</li><li>to pierce, to prick</li></ol>
baak|baakoʼob	<i>noun</i><br><ol><li>bone</li><li>horn</li></ol>
baakʼ|báakʼ|bakʼik|báakʼak|baakʼnajaʼan|báakʼal|baakʼnen|baakʼnak|bakʼaʼan|bakʼej|baʼakʼ|bakʼmaj|bakʼaj|baʼakʼal|bakʼ|baakʼal|baakʼnaj|baʼakʼak	<i>verb</i><br><ol><li>to tangle up, to entangle</li><li>to roll up, to wind</li><li>to interweave, to interlace</li></ol>
baal|baalnak|baʼalal|balej|balaʼan|bal|baalal|baʼalak|baʼal|balik|balaj|báal|báalal|balmaj|báalak|baalnaj|baalnajaʼan|baalnen	<i>verb</i><br><ol><li>to hide, to conceal</li><li>to protect, to shelter, to shield</li><li>to guard, to keep</li></ol>
baan|baʼanal|banej|banik|banaʼan|baannak|baannajaʼan|banaj|baʼanak|baʼan|banmaj|baannaj|baanal|baannen|báanal|báan|báanak|ban	<i>verb</i><br><ol><li>to get down, to bring down fruits froms a tree</li><li>to fall down</li><li>to remove, to detach, to release</li><li>to scatter, to spread</li></ol>
baats'|baʼatsʼ|batsʼej|baatsʼal|batsʼik|báatsʼak|baʼatsʼal|baatsʼnen|baʼatsʼak|baatsʼnajaʼan|báatsʼal|batsʼaj|baatsʼ|báatsʼ|batsʼ|baatsʼnaj|batsʼaʼan|baatsʼnak|batsʼmaj	<i>verb</i><br><ol><li>to smooth, to polish</li><li>to flatten, to level</li><li>to cover</li></ol>
baax|baʼax|baaxnen|baxik|baxaʼan|baxmaj|baxaj|bax|baaxnaj|baaxnak|baʼaxal|baʼaxak|baxej|baaxnajaʼan	<i>verb</i><br><ol><li>to hit, to strike, to knock</li><li>to beat, to pound, to hammer</li><li>to punch</li></ol>
balcheʼ|balché	<i>noun</i><br><ol><li>A kind of tree (Lonchocarpus violaceus), the bark of which is used to make an alcoholic beverage.</li></ol>
bat|batoʼob	<i>noun</i><br><ol><li>hail, hailstone</li></ol>
baʼal|baʼaloʼob	<i>noun</i><br><ol><li>thing, object</li></ol>
baʼalcheʼ|balchè|baʼalcheʼoʼob	<i>noun</i><br><ol><li>wild animal</li></ol>
baʼatsʼ|baatzʼ	<i>noun</i><br><ol><li>mantled howler, howler monkey (Alouatta palliata)</li></ol>
baʼaxten	<i>adv</i><br><ol><li>why, for what reason</li></ol>
beechʼ	<i>noun</i><br><ol><li>quail</li></ol>
bejlaʼeʼ|behlaʼeʼ	<i>adv</i><br><ol><li>now</li><li>today</li></ol>
bolon	<i>num</i><br><ol><li>(obsolete) nine</li></ol>
boox	<i>adj</i><br><ol><li>black</li></ol>
boox chʼooj	<i>adj</i><br><ol><li>blue marine</li></ol>
bo’oy	<i>noun</i><br><ol><li>shadow</li></ol>
buluk|buluc	<i>num</i><br><ol><li>(obsolete) eleven</li></ol>
buul	<i>noun</i><br><ol><li>game of chance</li></ol><br><i>verb</i><br><ol><li>play a game of chance</li><li>win or lose a bet; gamble</li><li>dive</li></ol>
buus	<i>noun</i><br><ol><li>bus</li></ol>
báalam|báalamoʼob	<i>noun</i><br><ol><li>jaguar (Panthera onca)</li></ol><br><i>verb</i><br><ol><li>(Mérida, Valladolid) to stalk like a cat</li></ol>
báaxal|báaxtmaj|báaxtaʼab|báaxtik|báaxalnen|báaxtaʼak|báaxalnak|báaxalnajaʼan|báaxtej|báaxtaʼan|báaxalnaj|báaxt|báaxtaj|báaxtaʼal	<i>verb</i><br><ol><li>to play</li><li>to frolic, to romp</li><li>to joke</li></ol>
chaak|cháakoʼob|chaakoʼob|cháak	<i>noun</i><br><ol><li>rain</li><li>(in the plural) the spirits who bring rain</li></ol>
chaan	<i>adj</i><br><ol><li>small</li></ol>
chaanbeel|chaanbéel	<i>adj</i><br><ol><li>slow</li></ol><br><i>adv</i><br><ol><li>slowly</li></ol>
chaanpal|chaanpaloʼob	<i>noun</i><br><ol><li>baby</li></ol>
chab	<i>noun</i><br><ol><li>anteater</li></ol>
chak|chaktak	<i>adj</i><br><ol><li>red</li></ol>
