A	<i>character</i><br><ol><li>The first letter of the Zazaki alphabet, called a and written in the Latin script.</li></ol>
Ala	<i>name</i><br><ol><li>Allah</li></ol>
Ameriqa	<i>name</i><br><ol><li>America, the United States of America</li></ol>
Bab	<i>noun</i><br><ol><li>the big daddy</li></ol>
Behram	<i>name</i><br><ol><li>Bahram</li><li>(astronomy) Bahram</li></ol>
Beran	<i>name</i><br><ol><li>(astronomy, astrology) Aries</li></ol>
Capon	<i>name</i><br><ol><li>A Japanese</li></ol>
Car	<i>name</i><br><ol><li>God</li></ol>
Ellah	<i>name</i><br><ol><li>God</li></ol>
Erd	<i>noun</i><br><ol><li>earth</li><li>the world</li></ol>
Erzırım	<i>name</i><br><ol><li>Erzurum (the capital and largest city of Erzurum Province, in eastern Turkey)</li></ol>
Ewropa	<i>name</i><br><ol><li>Europe (continent)</li></ol>
Feridun	<i>name</i><br><ol><li>(mythology) Fereydun, Thraitauna/Thraetaona</li></ol>
Finlanda	<i>name</i><br><ol><li>Finland</li></ol>
Kerkınc	<i>name</i><br><ol><li>(astrology) Cancer</li></ol>
Qıbris	<i>name</i><br><ol><li>Cyprus</li></ol>
Sos	<i>name</i><br><ol><li>Lily</li></ol>
Telete|selase	<i>noun</i><br><ol><li>Tuesday</li></ol>
Tırkiya	<i>name</i><br><ol><li>Turkey</li></ol>
Xırvatıstan	<i>name</i><br><ol><li>Croatia</li></ol>
ZDA|ZDA'de|ZDA'yi|ZDA'd|ZDA're|ZDA'ra	<i>name</i><br><ol><li>USA (a country in North America); initialism of Zewbiyaye Dewleté Amerika (“United States of America”)</li></ol>
a	<i>character</i><br><ol><li>The first letter of the Zazaki alphabet, written in the Latin script.</li></ol><br><i>pron</i><br><ol><li>she</li></ol>
aba	<i>noun</i><br><ol><li>felt (a non-woven cloth that is produced by matting, condensing and pressing woollen fibres)</li></ol>
abone	<i>noun</i><br><ol><li>subscriber</li></ol>
ada	<i>noun</i><br><ol><li>island</li></ol>
adır	<i>noun</i><br><ol><li>fire</li></ol>
akewtene|akutene|akotene	<i>verb</i><br><ol><li>to rise</li></ol>
altûn	<i>noun</i><br><ol><li>gold</li></ol>
amade	<i>adj</i><br><ol><li>present</li><li>ready</li></ol>
ameyene|amayene	<i>verb</i><br><ol><li>to come</li><li>to arrive</li></ol>
amin	<i>adv</i><br><ol><li>amen (so be it)</li></ol>
