Anhveih|Anƅveiƅ	<i>name</i><br><ol><li>Anhui (a province of China)</li></ol>
Aucouh|Aucouƅ	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Audaliya|澳大利亚|澳大利亞	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Aumwnz|Aumɯnƨ	<i>name</i><br><ol><li>Macau (a special administrative region of China)</li></ol>
Ayuzvuengz|Ayuƨvueŋƨ	<i>name</i><br><ol><li>Ashoka (ancient Indian emperor)</li></ol>
Baekging|Bəkgiŋ	<i>name</i><br><ol><li>Beijing (a direct-administered municipality, the capital city of China)</li></ol>
Bahgihswhdanj|Baƅgiƅsɯƅdanз|巴基斯坦	<i>name</i><br><ol><li>Pakistan (a country in Asia)</li></ol>
Baksaek|Baksək	<i>name</i><br><ol><li>Baise (a prefecture-level city in Guangxi, China)</li></ol>
Bouxcuengh|Bouчcueŋƅ|佈僮	<i>name</i><br><ol><li>the Zhuang people</li></ol>
Bouxdaez|Bouчdəiƨ	<i>name</i><br><ol><li>the Thai people</li></ol>
Bouxdoj|Bouчdoз	<i>name</i><br><ol><li>(dialectal) the Zhuang people</li></ol>
Bouxgun|Bouчgun|俌倱	<i>name</i><br><ol><li>the Han people</li></ol>
Bouxhek|Bouчhek	<i>name</i><br><ol><li>(dialectal, including Wuming) Han Chinese</li></ol>
Bouxmiuz|Bouчmiuƨ	<i>name</i><br><ol><li>the Miao people</li></ol>
Bouxyaej|俌伢|Bouчyəiз	<i>name</i><br><ol><li>the Bouyei people</li></ol>
Buzdauzyaz|Buƨdauƨyaƨ|葡萄牙	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Bwzgingh|Bɯƨgiŋƅ	<i>name</i><br><ol><li>Beijing (a municipality, the capital city of China)</li></ol>
Bwzhaij|Bɯƨhaiз	<i>name</i><br><ol><li>Beihai (a prefecture-level city in Guangxi, China)</li></ol>
Bwzswz|Bɯƨsɯƨ	<i>name</i><br><ol><li>Baise (a prefecture-level city in Guangxi, China)</li></ol>
Cangzcunh|Caŋƨcunƅ	<i>name</i><br><ol><li>Changchun (a prefecture-level city and subprovincial city, the provincial capital of Jilin, in northeastern China)</li></ol>
Cangzsah|Caŋƨsaƅ	<i>name</i><br><ol><li>Changsha (a prefecture-level city, the provincial capital of Hunan, in south-central China)</li></ol>
Cauzsenh|朝鮮|Cauƨsenƅ|朝鲜	<i>name</i><br><ol><li>North Korea (a country in Asia)</li></ol>
Cezgyangh|Ceƨgyaŋƅ	<i>name</i><br><ol><li>Zhejiang (a province of China)</li></ol>
Cinanz|Cinanƨ	<i>name</i><br><ol><li>Jinan (a prefecture-level city and subprovincial city, the provincial capital of Shangdong, in eastern China)</li></ol>
Cinghhaij|Ciŋƅhaiз	<i>name</i><br><ol><li>Qinghai (a province of China)</li></ol>
Cuengh|Cueŋƅ	<i>noun</i><br><ol><li>Zhuang (people)</li></ol><br><i>name</i><br><ol><li>Zhuang language</li></ol>
Cungguek|Cuŋguek	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Cungguek Gungcanjdangj|Cuŋguek Guŋcanзdaŋз	<i>name</i><br><ol><li>Communist Party of China</li></ol>
Cunghgoz|中國|中国|Cuŋƅgoƨ	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Cunghvaz|Cuŋƅvaƨ|中华|中華	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Cunghvaz Yinzminz Gunghozgoz|Cuŋƅvaƨ Yinƨminƨ Guŋhoƨgoƨ	<i>name</i><br><ol><li>People's Republic of China (a country in Asia)</li></ol>
Cungzcoj|Cuŋƨcoз	<i>name</i><br><ol><li>Chongzuo (a prefecture-level city in Guangxi, China)</li></ol>
Cungzging|Cuŋƨgiŋ	<i>name</i><br><ol><li>Chongqing (a direct-administered municipality and city in western China)</li></ol>
Cwngcouh|Cɯŋcouƅ	<i>name</i><br><ol><li>Zhengzhou (a prefecture-level city, the provincial capital of Henan, in central China)</li></ol>
Cwngzduh|Cɯŋƨduƅ	<i>name</i><br><ol><li>Chengdu (a subprovincial city, the provincial capital of Sichuan, in southwestern China)</li></ol>
Daibingzyangz|Daibiŋƨyaŋƨ	<i>noun</i><br><ol><li>Pacific Ocean</li></ol>
Daigoz|Daigoƨ	<i>name</i><br><ol><li>Thailand (a country in Asia)</li></ol>
Daiyenz|Daiyenƨ	<i>name</i><br><ol><li>Taiyuan (a prefecture-level city, the provincial capital of Shanxi, in northern China)</li></ol>
Daizbwz|Daiƨbɯƨ	<i>name</i><br><ol><li>Taipei (a special municipality, the capital city of Taiwan)</li></ol>
Daizvanh|Daiƨvanƅ	<i>name</i><br><ol><li>Taiwan</li></ol>
Denhcinh|Denƅcinƅ	<i>name</i><br><ol><li>Tianjin (a direct-administered municipality and major city in northern China)</li></ol>
Dungcuz|Duŋcuƨ	<i>name</i><br><ol><li>the Dong people</li></ol>
Dwzgoz|德國|德国|Dɯƨgoƨ	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Fangzcwngzgangj|Faŋƨcɯŋƨgaŋз	<i>name</i><br><ol><li>Fangchenggang (a prefecture-level city in Guangxi, China)</li></ol>
Fazgoz|Faƨgoƨ	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Feihcouh|非洲|Feiƅcouƅ	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Feihlizbinh|Feiƅliƨbinƅ	<i>name</i><br><ol><li>Philippines (a country in Asia)</li></ol>
Fuzcouh|Fuƨcouƅ	<i>name</i><br><ol><li>Fuzhou (a prefecture-level city, the provincial capital of Fujian, China)</li></ol>
Fuzgen|Fuƨgen	<i>name</i><br><ol><li>Fujian (a province of China)</li></ol>
Fuzgyau|Fuƨgyau	<i>name</i><br><ol><li>Buddhism</li></ol>
Fuzsanh|Fuƨsanƅ	<i>name</i><br><ol><li>Foshan (a prefecture-level city in Guangdong, China)</li></ol>
Gangjbi|Gaŋзbi	<i>noun</i><br><ol><li>Hong Kong dollar</li></ol>
Ganhsuz|Ganƅsuƨ	<i>name</i><br><ol><li>Gansu (a province of China)</li></ol>
Ginghcuz|Giŋƅcuƨ	<i>name</i><br><ol><li>the Kinh people</li></ol>
Ginhcouh|Ginƅcouƅ	<i>name</i><br><ol><li>Qinzhou (a prefecture-level city in Guangxi, China)</li></ol>
Gizlinz|Giƨlinƨ	<i>name</i><br><ol><li>Jilin (a province of China)</li></ol>
Guengjdoeng|Gueŋзdɵŋ	<i>name</i><br><ol><li>Guangdong (a province of China)</li></ol>
Guengjsae|Gueŋзsəi	<i>name</i><br><ol><li>Guangxi (an autonomous region of China)</li></ol>
Gun|倌|倱|軍	<i>name</i><br><ol><li>Han people</li></ol><br><i>noun</i><br><ol><li>Chinese language</li></ol>
Gunhmingz|Gunƅmiŋƨ	<i>name</i><br><ol><li>Kunming (a prefecture-level city, the provincial capital of Yunnan, in southwestern China)</li></ol>
Gvangjcouh|Gvaŋзcouƅ	<i>name</i><br><ol><li>Guangzhou (the capital and largest city of Guangdong, China)</li></ol>
Gvangjdungh|Gvaŋзduŋƅ	<i>name</i><br><ol><li>Guangdong (a province of China)</li></ol>
Gvangjsih|廣西|Gvaŋзsiƅ|广西	<i>name</i><br><ol><li>Guangxi (an autonomous region of China)</li></ol>
Gveicouh|Gveicouƅ	<i>name</i><br><ol><li>Guizhou (a province of China)</li></ol>
Gveigangj|Gveigaŋз	<i>name</i><br><ol><li>Guigang (a prefecture-level city in Guangxi, China)</li></ol>
Gveilinz|Gveilinƨ	<i>name</i><br><ol><li>Guilin (a prefecture-level city in Guangxi, China)</li></ol>
Gveiyangz|Gveiyaŋƨ	<i>name</i><br><ol><li>Guiyang (a prefecture-level city, the provincial capital of Guizhou, China)</li></ol>
Gwzlaujcuz|Gɯƨlauзcuƨ	<i>name</i><br><ol><li>the Gelao people</li></ol>
Gwzlujgizya|格鲁吉亚|格魯吉亞|Gɯƨluзgiƨya	<i>name</i><br><ol><li>Georgia (a country in Europe)</li></ol>
Gyahnazda|Gyaƅnaƨda	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Gyanghsih|Gyaŋƅsiƅ	<i>name</i><br><ol><li>Jiangxi (a province of China)</li></ol>
Gyanghsuh|Gyaŋƅsuƅ	<i>name</i><br><ol><li>Jiangsu (a province of China)</li></ol>
Hah'wjbinh|Haƅ'ɯзbinƅ	<i>name</i><br><ol><li>Harbin (a prefecture-level city and subprovincial city, the provincial capital of Heilongjiang, in northeastern China)</li></ol>
Haijdai|Haiзdai	<i>name</i><br><ol><li>the Dead Sea</li></ol>
Haijgouj|Haiзgouз	<i>name</i><br><ol><li>Haikou (a prefecture-level city, the provincial capital of Hainan, China)</li></ol>
Haijnanz|Haiзnanƨ	<i>name</i><br><ol><li>Hainan (a province of China)</li></ol>
Hangzcouh|Haŋƨcouƅ	<i>name</i><br><ol><li>Hangzhou (a prefecture-level city, the provincial capital of Zhejiang, in eastern China)</li></ol>
Hanzgoz|韓國|韩国|Hanƨgoƨ	<i>name</i><br><ol><li>Korea (a country in Asia)</li></ol>
Hocouh|Hocouƅ	<i>name</i><br><ol><li>Hezhou (a prefecture-level city in Guangxi, China)</li></ol>
Hozbwz|Hoƨbɯƨ	<i>name</i><br><ol><li>Hebei (a province of China)</li></ol>
Hozciz|Hoƨciƨ	<i>name</i><br><ol><li>Hechi (a prefecture-level city in Guangxi, China)</li></ol>
Hozfeiz|Hoƨfeiƨ	<i>name</i><br><ol><li>Hefei (a prefecture-level city, the provincial capital of Anhui, China)</li></ol>
Hozlanz|Hoƨlanƨ|荷蘭|荷兰	<i>name</i><br><ol><li>Holland; the Netherlands (a country in Europe)</li></ol>
Hoznamz|Hoƨnamƨ	<i>name</i><br><ol><li>Henan (a province of China)</li></ol>
Hoznanz|Hoƨnanƨ	<i>name</i><br><ol><li>Henan (a province of China)</li></ol>
Huhhozhaudwz|Huƅhoƨhaudɯƨ	<i>name</i><br><ol><li>Hohhot (a prefecture-level city, the regional capital of Inner Mongolia, China)</li></ol>
Huzbwz|Huƨbɯƨ	<i>name</i><br><ol><li>Hubei (a province of China)</li></ol>
Huznamz|Huƨnamƨ	<i>name</i><br><ol><li>Hunan (a province of China)</li></ol>
Huznanz|Huƨnanƨ	<i>name</i><br><ol><li>Hunan (a province of China)</li></ol>
Hwzlungzgyangh|Hɯƨluŋƨgyaŋƅ	<i>name</i><br><ol><li>Heilongjiang (a province of China)</li></ol>
Lahsaz|Laƅsaƨ	<i>name</i><br><ol><li>Lhasa (the capital city of the Tibet Autonomous Region, China)</li></ol>
Laizbinh|Laiƨbinƅ	<i>name</i><br><ol><li>Laibin (a prefecture-level city in Guangxi, China)</li></ol>
Lanzcouh|Lanƨcouƅ	<i>name</i><br><ol><li>Lanzhou (a prefecture-level city, the provincial capital of Gansu, in northwestern China)</li></ol>
Laujvoh|Lauзvoƅ	<i>name</i><br><ol><li>Laos (a country in Asia)</li></ol>
Lenzhozgoz|Lenƨhoƨgoƨ	<i>name</i><br><ol><li>United Nations</li></ol>
Linzgvei|Linƨgvei	<i>name</i><br><ol><li>Lingui (a district and former county of Guilin, Guangxi, China)</li></ol>
Liujcouh|Liuзcouƅ	<i>name</i><br><ol><li>Liuzhou (a prefecture-level city in Guangxi, China)</li></ol>
Lozcwngz|Loƨcɯŋƨ	<i>name</i><br><ol><li>Luocheng (a county of Hechi, Guangxi, China)</li></ol>
Lozmajnizya|Loƨmaзniƨya|罗马尼亚|羅馬尼亞	<i>name</i><br><ol><li>Romania (a country in Europe)</li></ol>
Lungzanh|Luŋƨanƅ	<i>name</i><br><ol><li>Long'an (a county of Nanning, Guangxi, China)</li></ol>
Majlaizsihya|Maзlaiƨsiƅya	<i>name</i><br><ol><li>Malaysia (a country in Asia)</li></ol>
Mauznanzcuz|Mauƨnanƨcuƨ	<i>name</i><br><ol><li>the Maonan people</li></ol>
Maxgai|Maчgai	<i>adj</i><br><ol><li>Hakka</li></ol>
Meijgoz|美國|美国|Meiзgoƨ	<i>name</i><br><ol><li>the United States (a country in North America)</li></ol>
Menjden|Menзden|缅甸|緬甸	<i>name</i><br><ol><li>Myanmar (a country in Asia)</li></ol>
Mulaujcuz|Mulauзcuƨ	<i>name</i><br><ol><li>the Mulao people</li></ol>
Munggyahlahgoz|Muŋgyaƅlaƅgoƨ|孟加拉国|孟加拉國	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Mungzguj|Muŋƨguз	<i>name</i><br><ol><li>Mongolia (a country in Asia)</li></ol>
Myauzcuz|Myauƨcuƨ	<i>name</i><br><ol><li>the Miao people</li></ol>
Namzging|Namƨgiŋ	<i>name</i><br><ol><li>Nanjing (a major city, the provincial capital of Jiangsu, China)</li></ol>
